,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,未経験,（相鉄沿線）と多摩あたりで求人を探しています職種は社内システム管理＆保守（前仕事）一般事務・生産管理・購買管理・品質管理・在庫管理・受発注管理・出荷管理など未経験でも働かせていただける正社員（裏方）の仕事四十代前半で学歴が高卒または専門学校卒で,"['（', '相鉄', '沿線', '）', 'と', '多摩', 'あたり', 'で', '求人', 'を', '探し', 'て', 'い', 'ます', '職種', 'は', '社内', 'システム', '管理', '＆', '保守', '（', '前', '仕事', '）', '一般', '事務', '・', '生産', '管理', '・', '購買', '管理', '・', '品質', '管理', '・', '在庫', '管理', '・', '受発注', '管理', '・', '出荷', '管理', 'など', '未', '経験', 'で', 'も', '働か', 'せ', 'て', 'いただける', '正', '社員', '（', '裏方', '）', 'の', '仕事', '四十', '代', '前半', 'で', '学歴', 'が', '高卒', 'また', 'は', '専門', '学校', '卒', 'で']","['未', '経験']",YES,未経験,NO,NO
1,未経験,」という言葉をつかうとき、玄人以上に人の死から遠い距離にありながら、つまり未経験でありながら、あっさりと最後の一線を越える。それはひとつには、玄人ほど,"['」', 'と', 'いう', '言葉', 'を', 'つかう', 'とき', '、', '玄人', '以上', 'に', '人', 'の', '死', 'から', '遠い', '距離', 'に', 'あり', 'ながら', '、', 'つまり', '未', '経験', 'で', 'あり', 'ながら', '、', 'あっさり', 'と', '最後', 'の', '一線', 'を', '越える', '。', 'それ', 'は', 'ひと', 'つ', 'に', 'は', '、', '玄人', 'ほど']","['未', '経験']",YES,未経験,NO,NO
2,未経験,があると言うのが広報部会長の意見だった。私は、この種のことについては未経験なので意見に従うのみだった。広報部会長は「？？？」に変換したもの,"['が', 'ある', 'と', '言う', 'の', 'が', '広報', '部会', '長', 'の', '意見', 'だっ', 'た', '。', '私', 'は', '、', 'この', '種', 'の', 'こと', 'に', 'つい', 'て', 'は', '未', '経験', 'な', 'の', 'で', '意見', 'に', '従う', 'のみ', 'だっ', 'た', '。', '広報', '部会', '長', 'は', '「', '？', '？', '？', '」', 'に', '変換', 'し', 'た', 'もの']","['未', '経験']",YES,未経験,NO,NO
3,未経験,・十七日、十月１日・十五日の水曜日全４回午後２時〜３時三十分【対象・定員】未経験の成人十二人【参加費】三百円（保険料）【持ち物】後日通知●申込往持,"['・', '十', '七', '日', '、', '十', '月', '１日', '・', '十', '五', '日', 'の', '水曜', '日', '全', '４', '回', '午後', '２', '時', '〜', '３', '時', '三十', '分', '【', '対象', '・', '定員', '】', '未', '経験', 'の', '成人', '十', '二', '人', '【', '参加', '費', '】', '三百', '円', '（', '保険', '料', '）', '【', '持ち物', '】', '後日', '通知', '●', '申込', '往持']","['未', '経験']",YES,未経験,NO,NO
4,未経験,派遣初日で落ち込んでしまいました。一般事務でほぼ未経験に近い状態で、派遣で働くのも初めてです。大手での仕事に憧れてい,"['派遣', '初日', 'で', '落ち込ん', 'で', 'しまい', 'まし', 'た', '。', '一般', '事務', 'で', 'ほぼ', '未', '経験', 'に', '近い', '状態', 'で', '、', '派遣', 'で', '働く', 'の', 'も', '初めて', 'です', '。', '大手', 'で', 'の', '仕事', 'に', '憧れ', 'て', 'い']","['未', '経験']",YES,未経験,NO,NO
5,未経験,使用中です。よろしくお願いいたします。リーダー的なパートさん→パートリーダー、チーフ、キャリアさん、ミドルパートさん‥‥未経験のパートさん→ニューパート、ジュニアパートなどなど？,"['使用', '中', 'です', '。', 'よろしく', 'お', '願い', 'いたし', 'ます', '。', 'リーダー', '的', 'な', 'パート', 'さん', '→', 'パート', 'リーダー', '、', 'チーフ', '、', 'キャリア', 'さん', '、', 'ミドル', 'パート', 'さん', '‥', '‥', '未', '経験', 'の', 'パート', 'さん', '→', 'ニュー', 'パート', '、', 'ジュニア', 'パート', 'など', 'など', '？']","['未', '経験']",YES,未経験,NO,NO
6,未経験,の規定も設けておかなかったので、漢代の政治家には、外戚の取扱いは全く未経験であると共に無定見であった訳である。そこで漢の天子は外戚が専横と,"['の', '規定', 'も', '設け', 'て', 'おか', 'なかっ', 'た', 'の', 'で', '、', '漢代', 'の', '政治', '家', 'に', 'は', '、', '外戚', 'の', '取扱い', 'は', '全く', '未', '経験', 'で', 'ある', 'と', '共', 'に', '無', '定見', 'で', 'あっ', 'た', '訳', 'で', 'ある', '。', 'そこ', 'で', '漢', 'の', '天子', 'は', '外戚', 'が', '専横', 'と']","['未', '経験']",YES,未経験,NO,NO
7,未経験,やっぱり経験者がいいんですけど最終的にはやる気の問題ですから。ということで未経験の私を採用してくれました。・・・といってもまだ試用期間中なんですけど,"['やっぱり', '経験', '者', 'が', 'いい', 'ん', 'です', 'けど', '最終', '的', 'に', 'は', 'やる気', 'の', '問題', 'です', 'から', '。', 'と', 'いう', 'こと', 'で', '未', '経験', 'の', '私', 'を', '採用', 'し', 'て', 'くれ', 'まし', 'た', '。', '・', '・', '・', 'と', 'いっ', 'て', 'も', 'まだ', '試用', '期間', '中', 'な', 'ん', 'です', 'けど']","['未', '経験']",YES,未経験,NO,NO
8,未経験,・・さて、アグネスタキオン産駒が代用品になるのか、どうか。マユツバ。◇芝マイルが未経験だったのはジョウテンブレーヴ・コンゴウリキシオーだけ。・・・どっちも、千八百ｍでの良績があり。,"['・', '・', 'さて', '、', 'アグネス', 'タキオン', '産駒', 'が', '代用', '品', 'に', 'なる', 'の', 'か', '、', 'どう', 'か', '。', 'マユツバ', '。', '◇', '芝', 'マイル', 'が', '未', '経験', 'だっ', 'た', 'の', 'は', 'ジョウテンブレーヴ・コンゴウリキシオー', 'だけ', '。', '・', '・', '・', 'どっち', 'も', '、', '千', '八百', 'ｍ', 'で', 'の', '良績', 'が', 'あり', '。']","['未', '経験']",YES,未経験,NO,NO
9,未経験,あり事務職関係たっだのですが年齢範囲外で大卒なので私は応募できないのでくやしいです年齢・学歴関係なく未経験でも挑戦させていただけたら応募してみたいと思うのに・・・二千七年５月に,"['あり', '事務', '職', '関係', 'たっ', 'だ', 'の', 'です', 'が', '年齢', '範囲', '外', 'で', '大卒', 'な', 'の', 'で', '私', 'は', '応募', 'でき', 'ない', 'の', 'で', 'くやしい', 'です', '年齢', '・', '学歴', '関係', 'なく', '未', '経験', 'で', 'も', '挑戦', 'さ', 'せ', 'て', 'いただけ', 'たら', '応募', 'し', 'て', 'み', 'たい', 'と', '思う', 'の', 'に', '・', '・', '・', '二千', '七', '年', '５', '月', 'に']","['未', '経験']",YES,未経験,NO,NO
