,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,無念,に捕虜収容所に勤務することになったといういわくつきの右足に、彼はおそらくいうにいわれぬ無念の思いをこめたものと思われます。血染めの足型は乾燥して茶色に,"['に', '捕虜', '収容', '所', 'に', '勤務', 'する', 'こと', 'に', 'なっ', 'た', 'と', 'いう', 'いわく', 'つき', 'の', '右足', 'に', '、', '彼', 'は', 'おそらく', 'いう', 'に', 'いわ', 'れ', 'ぬ', '無念', 'の', '思い', 'を', 'こめ', 'た', 'もの', 'と', '思わ', 'れ', 'ます', '。', '血染め', 'の', '足型', 'は', '乾燥', 'し', 'て', '茶色', 'に']",['無念'],NO,無念,NO,NO
1,無念,の一大庭園のようであったのである。モンゴルの侵略がアジアに与えた衝撃しかし、無念にも、ジンギスカンの率いる蒙古馬賊がこの文明の庭園を踏みにじり、自分たちの故郷の荒野同然,"['の', '一大', '庭園', 'の', 'よう', 'で', 'あっ', 'た', 'の', 'で', 'ある', '。', 'モンゴル', 'の', '侵略', 'が', 'アジア', 'に', '与え', 'た', '衝撃', 'しかし', '、', '無念', 'に', 'も', '、', 'ジンギス', 'カン', 'の', '率いる', '蒙古', '馬賊', 'が', 'この', '文明', 'の', '庭園', 'を', '踏みにじり', '、', '自分', 'たち', 'の', '故郷', 'の', '荒野', '同然']",['無念'],NO,無念,NO,NO
2,無念,はボードマン、ポランドー組が、ルーズベルト飛行場ではパングボーン、ハーンドン組が、お互い先を越された無念の表情を浮かべつつも、彼らの記録をまだ破ることができるとの期待を胸に,"['は', 'ボードマン', '、', 'ポランド', 'ー', '組', 'が', '、', 'ルーズベルト', '飛行', '場', 'で', 'は', 'パングボーン', '、', 'ハーンドン', '組', 'が', '、', 'お', '互い先', 'を', '越さ', 'れ', 'た', '無念', 'の', '表情', 'を', '浮かべ', 'つつ', 'も', '、', '彼', 'ら', 'の', '記録', 'を', 'まだ', '破る', 'こと', 'が', 'できる', 'と', 'の', '期待', 'を', '胸', 'に']",['無念'],NO,無念,NO,NO
3,無念,、「あまりにも魅力的で可愛い笑顔なので、どうしてもカメラに収めたかった」と無念そうだ。確かに本当に可愛かった。泣きだしそうな笑顔もまた、いたいけで,"['、', '「', 'あまり', 'に', 'も', '魅力', '的', 'で', '可愛い', '笑顔', 'な', 'の', 'で', '、', 'どう', 'し', 'て', 'も', 'カメラ', 'に', '収め', 'たかっ', 'た', '」', 'と', '無念', 'そう', 'だ', '。', '確か', 'に', '本当', 'に', '可愛かっ', 'た', '。', '泣き', 'だし', 'そう', 'な', '笑顔', 'も', 'また', '、', 'いたいけ', 'で']",['無念'],NO,無念,NO,NO
4,無念,笠原親景、中山為重たちが必死に防戦を繰り返したが、やがて屋敷に火が放たれ、無念にも一族は幼い一幡を目の前にして次々と自害し、一幡も炎,"['笠原', '親景', '、', '中山', '為重', 'たち', 'が', '必死', 'に', '防戦', 'を', '繰り返し', 'た', 'が', '、', 'やがて', '屋敷', 'に', '火', 'が', '放た', 'れ', '、', '無念', 'に', 'も', '一族', 'は', '幼い', '一', '幡', 'を', '目', 'の', '前', 'に', 'し', 'て', '次々', 'と', '自害', 'し', '、', '一幡', 'も', '炎']",['無念'],NO,無念,NO,NO
5,無念,？」「生け捕れとの、頭領様の御指図だ」与助の声には、無念のおもいがこもっている。与助は十名の忍びを指揮して、山林の中へ,"['？', '」', '「', '生け捕れ', 'と', 'の', '、', '頭領', '様', 'の', '御', '指図', 'だ', '」', '与助', 'の', '声', 'に', 'は', '、', '無念', 'の', 'おもい', 'が', 'こもっ', 'て', 'いる', '。', '与助', 'は', '十', '名', 'の', '忍び', 'を', '指揮', 'し', 'て', '、', '山林', 'の', '中', 'へ']",['無念'],NO,無念,NO,NO
6,無念,正しく分析し、デマンド・プル・インフレーションへの警戒心を強めることは可能であったように思われる。その無念の思いが白書の「認知ラグ」短縮という発想を生み出したといっていい。こうした,"['正しく', '分析', 'し', '、', 'デマンド', '・', 'プル', '・', 'インフレーション', 'へ', 'の', '警戒', '心', 'を', '強める', 'こと', 'は', '可能', 'で', 'あっ', 'た', 'よう', 'に', '思わ', 'れる', '。', 'その', '無念', 'の', '思い', 'が', '白書', 'の', '「', '認知', 'ラグ', '」', '短縮', 'と', 'いう', '発想', 'を', '生み出し', 'た', 'と', 'いっ', 'て', 'いい', '。', 'こう', 'し', 'た']",['無念'],NO,無念,NO,NO
7,無念,。男はちっと舌打ちして、天を仰ぎ、歯を食いしばり、しばらくして心底無念そうに、もう一枚一リュー硬貨を入れた。二人は礼を言い、ノエルを,"['。', '男', 'は', 'ちっと', '舌打ち', 'し', 'て', '、', '天', 'を', '仰ぎ', '、', '歯', 'を', '食いしばり', '、', 'しばらく', 'し', 'て', '心底', '無念', 'そう', 'に', '、', 'もう', '一', '枚', '一', 'リュ', 'ー', '硬貨', 'を', '入れ', 'た', '。', '二人', 'は', '礼', 'を', '言い', '、', 'ノエル', 'を']",['無念'],NO,無念,NO,NO
8,無念,うなずける。（竹内誠一郎）フリーで華麗な舞を見せ、逆転で初優勝した安藤無念プラスに○…４連覇を逃した村主は淡々とした様子で「悔しさ,"['うなずける', '。', '（', '竹内', '誠一郎', '）', 'フリー', 'で', '華麗', 'な', '舞', 'を', '見せ', '、', '逆転', 'で', '初', '優勝', 'し', 'た', '安藤', '無念', 'プラス', 'に', '○', '…', '４', '連覇', 'を', '逃し', 'た', '村主', 'は', '淡々', 'と', 'し', 'た', '様子', 'で', '「', '悔し', 'さ']",['無念'],NO,無念,NO,NO
9,無念,兄君を挑戦的に眺め、皆様に御挨拶されました。摂政様は流石に動揺され、無念の表情も凄じくお父上を睨まれました。中納言宗輔様は不満気に「前関白様、摂政様御養女に,"['兄', '君', 'を', '挑戦', '的', 'に', '眺め', '、', '皆', '様', 'に', '御', '挨拶', 'さ', 'れ', 'まし', 'た', '。', '摂政', '様', 'は', '流石', 'に', '動揺', 'さ', 'れ', '、', '無念', 'の', '表情', 'も', '凄じく', 'お', '父', '上', 'を', '睨ま', 'れ', 'まし', 'た', '。', '中', '納言', '宗輔', '様', 'は', '不満', '気', 'に', '「', '前', '関白', '様', '、', '摂政', '様', '御', '養女', 'に']",['無念'],NO,無念,NO,NO
10,無念,その押さえている指の隙間からも、赤い血がどくどくと噴き出していた。「無念でござる」「大丈夫だ、傷は浅いぞ」と、隆之は思わず言っ,"['その', '押さえ', 'て', 'いる', '指', 'の', '隙間', 'から', 'も', '、', '赤い', '血', 'が', 'どくどく', 'と', '噴き出し', 'て', 'い', 'た', '。', '「', '無念', 'で', 'ござる', '」', '「', '大丈夫', 'だ', '、', '傷', 'は', '浅い', 'ぞ', '」', 'と', '、', '隆之', 'は', '思わ', 'ず', '言っ']",['無念'],NO,無念,NO,NO
11,無念,という気にはなれなかった。逆に、どちらかといえば、いかにすれば無念の中で散っていった者の魂を鎮められるかと、まるで僧侶のような,"['と', 'いう', '気', 'に', 'は', 'なれ', 'なかっ', 'た', '。', '逆', 'に', '、', 'どちら', 'か', 'と', 'いえ', 'ば', '、', 'いかに', 'すれ', 'ば', '無念', 'の', '中', 'で', '散っ', 'て', 'いっ', 'た', '者', 'の', '魂', 'を', '鎮め', 'られる', 'か', 'と', '、', 'まるで', '僧侶', 'の', 'よう', 'な']",['無念'],NO,無念,NO,NO
