,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,無駄,建ちゃん…無駄な１点があったけど。誰が何と言おうが内容は悪くなかったけど。てか,"['建', 'ちゃん', '…', '無駄', 'な', '１', '点', 'が', 'あっ', 'た', 'けど', '。', '誰', 'が', '何', 'と', '言おう', 'が', '内容', 'は', '悪く', 'なかっ', 'た', 'けど', '。', 'て', 'か']",['無駄'],NO,無駄,NO,NO
1,無駄,その人自身が救われない。だから、若い人をつかまえて、「キミ、人生に無駄はないんだよ」といっているにすぎないのだ。無駄ばかりの遠回り人生が役立つのは,"['その', '人', '自身', 'が', '救わ', 'れ', 'ない', '。', 'だ', 'から', '、', '若い', '人', 'を', 'つかまえ', 'て', '、', '「', 'キミ', '、', '人生', 'に', '無駄', 'は', 'ない', 'ん', 'だ', 'よ', '」', 'と', 'いっ', 'て', 'いる', 'に', 'すぎ', 'ない', 'の', 'だ', '。', '無駄', 'ばかり', 'の', '遠回り', '人生', 'が', '役立つ', 'の', 'は']",['無駄'],NO,無駄,NO,NO
2,無駄,その人自身が救われない。だから、若い人をつかまえて、「キミ、人生に無駄はないんだよ」といっているにすぎないのだ。無駄ばかりの遠回り人生が役立つのは,"['その', '人', '自身', 'が', '救わ', 'れ', 'ない', '。', 'だ', 'から', '、', '若い', '人', 'を', 'つかまえ', 'て', '、', '「', 'キミ', '、', '人生', 'に', '無駄', 'は', 'ない', 'ん', 'だ', 'よ', '」', 'と', 'いっ', 'て', 'いる', 'に', 'すぎ', 'ない', 'の', 'だ', '。', '無駄', 'ばかり', 'の', '遠回り', '人生', 'が', '役立つ', 'の', 'は']",['無駄'],NO,無駄,NO,NO
3,無駄,とも見え、その上に舷側板を付けた半構造船とも思える。しかし、木材を無駄にする丸木船を造ったか、は疑問である。構造船の技術が確立していた中国,"['と', 'も', '見え', '、', 'その', '上', 'に', '舷側', '板', 'を', '付け', 'た', '半', '構造', '船', 'と', 'も', '思える', '。', 'しかし', '、', '木材', 'を', '無駄', 'に', 'する', '丸', '木船', 'を', '造っ', 'た', 'か', '、', 'は', '疑問', 'で', 'ある', '。', '構造', '船', 'の', '技術', 'が', '確立', 'し', 'て', 'い', 'た', '中国']",['無駄'],NO,無駄,NO,NO
4,無駄,を許さないので、浪費しなくて済む。すなわちキリシタンになれば、それらの費用を無駄にしなくて済む、と思われた。第三に、彼には身体の健康,"['を', '許さ', 'ない', 'の', 'で', '、', '浪費', 'し', 'なく', 'て', '済む', '。', 'すなわち', 'キリシタン', 'に', 'なれ', 'ば', '、', 'それ', 'ら', 'の', '費用', 'を', '無駄', 'に', 'し', 'なく', 'て', '済む', '、', 'と', '思わ', 'れ', 'た', '。', '第', '三', 'に', '、', '彼', 'に', 'は', '身体', 'の', '健康']",['無駄'],NO,無駄,NO,NO
5,無駄,もしめぐりめぐってきたチャンスをしっかりとつかんで自分のものとし、きれぎれの時間を無駄にせず利用していたら、自分の研究を新しい分野にまでおしひろげ、不朽の名声,"['もし', 'めぐりめぐっ', 'て', 'き', 'た', 'チャンス', 'を', 'しっかり', 'と', 'つかん', 'で', '自分', 'の', 'もの', 'と', 'し', '、', 'きれぎれ', 'の', '時間', 'を', '無駄', 'に', 'せ', 'ず', '利用', 'し', 'て', 'い', 'たら', '、', '自分', 'の', '研究', 'を', '新しい', '分野', 'に', 'まで', 'おしひろげ', '、', '不朽', 'の', '名声']",['無駄'],NO,無駄,NO,NO
6,無駄,たか？オークションに出ているということは、使わないってこと。はっきりいって、無駄なお金ですよ。友達が、八十万かけて、英語教材買ったけど、３歳になる,"['た', 'か', '？', 'オークション', 'に', '出', 'て', 'いる', 'と', 'いう', 'こと', 'は', '、', '使わ', 'ない', 'って', 'こと', '。', 'はっきり', 'いっ', 'て', '、', '無駄', 'な', 'お', '金', 'です', 'よ', '。', '友達', 'が', '、', '八十', '万', 'かけ', 'て', '、', '英語', '教材', '買っ', 'た', 'けど', '、', '３', '歳', 'に', 'なる']",['無駄'],NO,無駄,NO,NO
7,無駄,を温愛でねむらせようとしても無駄だきみたちのすべてに肯定をもとめても無駄だぼくは拒絶された思想としてその意味のために生きよううすぐらい秩序の段階を底,"['を', '温', '愛', 'で', 'ねむら', 'せよう', 'と', 'し', 'て', 'も', '無駄', 'だ', 'きみ', 'たち', 'の', 'すべて', 'に', '肯定', 'を', 'もとめ', 'て', 'も', '無駄', 'だ', 'ぼく', 'は', '拒絶', 'さ', 'れ', 'た', '思想', 'と', 'し', 'て', 'その', '意味', 'の', 'ため', 'に', '生きよう', 'うすぐらい', '秩序', 'の', '段階', 'を', '底']",['無駄'],NO,無駄,NO,NO
8,無駄,を温愛でねむらせようとしても無駄だきみたちのすべてに肯定をもとめても無駄だぼくは拒絶された思想としてその意味のために生きよううすぐらい秩序の段階を底,"['を', '温', '愛', 'で', 'ねむら', 'せよう', 'と', 'し', 'て', 'も', '無駄', 'だ', 'きみ', 'たち', 'の', 'すべて', 'に', '肯定', 'を', 'もとめ', 'て', 'も', '無駄', 'だ', 'ぼく', 'は', '拒絶', 'さ', 'れ', 'た', '思想', 'と', 'し', 'て', 'その', '意味', 'の', 'ため', 'に', '生きよう', 'うすぐらい', '秩序', 'の', '段階', 'を', '底']",['無駄'],NO,無駄,NO,NO
9,無駄,往ってみよう）と、小屋を出た。往って、途中、入れちがう可能性もあり、無駄でなくもないが、無駄なら二人のために喜悦すべきことであった。ともかくも、,"['往っ', 'て', 'みよう', '）', 'と', '、', '小屋', 'を', '出', 'た', '。', '往っ', 'て', '、', '途中', '、', '入れちがう', '可能', '性', 'も', 'あり', '、', '無駄', 'で', 'なく', 'も', 'ない', 'が', '、', '無駄', 'なら', '二人', 'の', 'ため', 'に', '喜悦', 'す', 'べき', 'こと', 'で', 'あっ', 'た', '。', 'ともかく', 'も', '、']",['無駄'],NO,無駄,NO,NO
