,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,総会,の事項を組合員に通知して、総会を招集することができる。（総会の議事等）第二十九条総会は、総組合員の半数以上の出席がなければ議事を開くことができず、その議事は、,"['の', '事項', 'を', '組合', '員', 'に', '通知', 'し', 'て', '、', '総会', 'を', '招集', 'する', 'こと', 'が', 'できる', '。', '（', '総会', 'の', '議事', '等', '）', '第', '二十', '九', '条', '総会', 'は', '、', '総', '組合', '員', 'の', '半数', '以上', 'の', '出席', 'が', 'なけれ', 'ば', '議事', 'を', '開く', 'こと', 'が', 'でき', 'ず', '、', 'その', '議事', 'は', '、']",['総会'],NO,総会,NO,NO
1,総会,の事項を組合員に通知して、総会を招集することができる。（総会の議事等）第二十九条総会は、総組合員の半数以上の出席がなければ議事を開くことができず、その議事は、,"['の', '事項', 'を', '組合', '員', 'に', '通知', 'し', 'て', '、', '総会', 'を', '招集', 'する', 'こと', 'が', 'できる', '。', '（', '総会', 'の', '議事', '等', '）', '第', '二十', '九', '条', '総会', 'は', '、', '総', '組合', '員', 'の', '半数', '以上', 'の', '出席', 'が', 'なけれ', 'ば', '議事', 'を', '開く', 'こと', 'が', 'でき', 'ず', '、', 'その', '議事', 'は', '、']",['総会'],NO,総会,NO,NO
2,総会,の事項を組合員に通知して、総会を招集することができる。（総会の議事等）第二十九条総会は、総組合員の半数以上の出席がなければ議事を開くことができず、その議事は、,"['の', '事項', 'を', '組合', '員', 'に', '通知', 'し', 'て', '、', '総会', 'を', '招集', 'する', 'こと', 'が', 'できる', '。', '（', '総会', 'の', '議事', '等', '）', '第', '二十', '九', '条', '総会', 'は', '、', '総', '組合', '員', 'の', '半数', '以上', 'の', '出席', 'が', 'なけれ', 'ば', '議事', 'を', '開く', 'こと', 'が', 'でき', 'ず', '、', 'その', '議事', 'は', '、']",['総会'],NO,総会,NO,NO
3,総会,高さ制限、遊技施設も禁止環境改善へ住民協定春日市桜ケ丘地区春日市の桜ケ丘地区自治会（約千五百六十世帯）は二十八日、総会を開き、住環境改善を目指した住民ルール「桜ケ丘地区まちづくり協定」を決めた。,"['高', 'さ', '制限', '、', '遊技', '施設', 'も', '禁止', '環境', '改善', 'へ', '住民', '協定', '春日', '市', '桜ケ丘', '地区', '春日', '市', 'の', '桜ケ丘', '地区', '自治', '会', '（', '約', '千', '五百', '六十', '世帯', '）', 'は', '二十', '八', '日', '、', '総会', 'を', '開き', '、', '住', '環境', '改善', 'を', '目指し', 'た', '住民', 'ルール', '「', '桜ケ丘', '地区', 'まちづくり', '協定', '」', 'を', '決め', 'た', '。']",['総会'],NO,総会,NO,NO
4,総会,に報告をすること。四前号の報告をするため必要があるときは、総会を招集すること。（通常総会）第二十条法人である職員団体等の理事は、少なくとも毎年一回、,"['に', '報告', 'を', 'する', 'こと', '。', '四', '前号', 'の', '報告', 'を', 'する', 'ため', '必要', 'が', 'ある', 'とき', 'は', '、', '総会', 'を', '招集', 'する', 'こと', '。', '（', '通常', '総会', '）', '第', '二十', '条', '法人', 'で', 'ある', '職員', '団体', '等', 'の', '理事', 'は', '、', '少なく', 'とも', '毎年', '一', '回', '、']",['総会'],NO,総会,NO,NO
5,総会,に報告をすること。四前号の報告をするため必要があるときは、総会を招集すること。（通常総会）第二十条法人である職員団体等の理事は、少なくとも毎年一回、,"['に', '報告', 'を', 'する', 'こと', '。', '四', '前号', 'の', '報告', 'を', 'する', 'ため', '必要', 'が', 'ある', 'とき', 'は', '、', '総会', 'を', '招集', 'する', 'こと', '。', '（', '通常', '総会', '）', '第', '二十', '条', '法人', 'で', 'ある', '職員', '団体', '等', 'の', '理事', 'は', '、', '少なく', 'とも', '毎年', '一', '回', '、']",['総会'],NO,総会,NO,NO
6,総会,ます。招集通知には、総会の日時、場所、議題（報告事項・決議事項）を記載し、総会の開催と目的を知らせます。また同時に、計算書類と会計監査人・監査役会のそれぞれの,"['ます', '。', '招集', '通知', 'に', 'は', '、', '総会', 'の', '日時', '、', '場所', '、', '議題', '（', '報告', '事項', '・', '決議', '事項', '）', 'を', '記載', 'し', '、', '総会', 'の', '開催', 'と', '目的', 'を', '知ら', 'せ', 'ます', '。', 'また', '同時', 'に', '、', '計算', '書類', 'と', '会計', '監査', '人', '・', '監査', '役', '会', 'の', 'それぞれ', 'の']",['総会'],NO,総会,NO,NO
7,総会,ます。招集通知には、総会の日時、場所、議題（報告事項・決議事項）を記載し、総会の開催と目的を知らせます。また同時に、計算書類と会計監査人・監査役会のそれぞれの,"['ます', '。', '招集', '通知', 'に', 'は', '、', '総会', 'の', '日時', '、', '場所', '、', '議題', '（', '報告', '事項', '・', '決議', '事項', '）', 'を', '記載', 'し', '、', '総会', 'の', '開催', 'と', '目的', 'を', '知ら', 'せ', 'ます', '。', 'また', '同時', 'に', '、', '計算', '書類', 'と', '会計', '監査', '人', '・', '監査', '役', '会', 'の', 'それぞれ', 'の']",['総会'],NO,総会,NO,NO
8,総会,、１団体名はこれまでどおり「航空労組連絡会」（略称・航空連）とする、２決議・執行機関として、総会―中央委員会―幹事会―三役会議を置く、３事務局体制の充実、専従役職員（会計担当を含む）,"['、', '１', '団体', '名', 'は', 'これ', 'まで', 'どおり', '「', '航空', '労組', '連絡', '会', '」', '（', '略称', '・', '航空', '連', '）', 'と', 'する', '、', '２', '決議', '・', '執行', '機関', 'と', 'し', 'て', '、', '総会', '―', '中央', '委員', '会', '―', '幹事', '会', '―', '三役', '会議', 'を', '置く', '、', '３', '事務', '局', '体制', 'の', '充実', '、', '専従', '役職員', '（', '会計', '担当', 'を', '含む', '）']",['総会'],NO,総会,NO,NO
9,総会,結びつけ、全国飴菓子工業協同組合（全飴協）関東地区部会が「ホワイトデー」として催事化した。そして千九百七十八年、全飴協の総会で「キャンデーを贈る日」として制定され、２年の準備期間を経て千九百八十年,"['結びつけ', '、', '全国', '飴', '菓子', '工業', '協同', '組合', '（', '全', '飴', '協', '）', '関東', '地区', '部会', 'が', '「', 'ホワイト', 'デー', '」', 'と', 'し', 'て', '催事', '化', 'し', 'た', '。', 'そして', '千', '九百', '七十', '八', '年', '、', '全', '飴', '協', 'の', '総会', 'で', '「', 'キャンデー', 'を', '贈る', '日', '」', 'と', 'し', 'て', '制定', 'さ', 'れ', '、', '２', '年', 'の', '準備', '期間', 'を', '経', 'て', '千', '九百', '八十', '年']",['総会'],NO,総会,NO,NO
