,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,諸悪,ライス国務長官は、米屋の娘ですか？はい諸悪の権化の米問屋亜米利加屋の世間知らずの御息女です。箱入り娘なのとお父さん（,"['ライス', '国務', '長官', 'は', '、', '米屋', 'の', '娘', 'です', 'か', '？', 'はい', '諸悪', 'の', '権化', 'の', '米問屋', '亜米利加', '屋', 'の', '世間', '知ら', 'ず', 'の', '御', '息女', 'です', '。', '箱入り', '娘', 'な', 'の', 'と', 'お', '父', 'さん', '（']",['諸悪'],NO,諸悪,NO,NO
1,諸悪,に行っても、なおさら落ち込むだけだ。…大学。大学？クソッ！諸悪の根源。「糞ッ！阿呆めッ！」と思うた。車谷長吉調。クッソッ,"['に', '行っ', 'て', 'も', '、', 'なおさら', '落ち込む', 'だけ', 'だ', '。', '…', '大学', '。', '大学', '？', 'クソッ', '！', '諸悪', 'の', '根源', '。', '「', '糞', 'ッ', '！', '阿呆', 'め', 'ッ', '！', '」', 'と', '思う', 'た', '。', '車谷', '長吉', '調', '。', 'クッソ', 'ッ']",['諸悪'],NO,諸悪,NO,NO
2,諸悪,その責任は重く、けじめを取らなければならない。これは中国共産党政府の圧制と虐殺が諸悪の根源である。,"['その', '責任', 'は', '重く', '、', 'けじめ', 'を', '取ら', 'なけれ', 'ば', 'なら', 'ない', '。', 'これ', 'は', '中国', '共産', '党', '政府', 'の', '圧制', 'と', '虐殺', 'が', '諸悪', 'の', '根源', 'で', 'ある', '。']",['諸悪'],NO,諸悪,NO,NO
3,諸悪,ではなく法的判断であり、変えることはできないと、内閣法制局は抵抗している。「“諸悪の根源”内閣法制局の憲法解釈」という論文の中で櫻井よしこ氏は、「無理な憲法解釈の,"['で', 'は', 'なく', '法的', '判断', 'で', 'あり', '、', '変える', 'こと', 'は', 'でき', 'ない', 'と', '、', '内閣', '法制', '局', 'は', '抵抗', 'し', 'て', 'いる', '。', '「', '“', '諸悪', 'の', '根源', '”', '内閣', '法制', '局', 'の', '憲法', '解釈', '」', 'と', 'いう', '論文', 'の', '中', 'で', '櫻井', 'よしこ', '氏', 'は', '、', '「', '無理', 'な', '憲法', '解釈', 'の']",['諸悪'],NO,諸悪,NO,NO
4,諸悪,か、石野ら組の者に煽動や監督不行届の罪が着せられる恐れもある。新領主が諸悪の根源を旧主時代の悪政になすりつけるのはよくあることだ。〈何としても,"['か', '、', '石野', 'ら', '組', 'の', '者', 'に', '煽動', 'や', '監督', '不', '行届', 'の', '罪', 'が', '着せ', 'られる', '恐れ', 'も', 'ある', '。', '新', '領主', 'が', '諸悪', 'の', '根源', 'を', '旧主', '時代', 'の', '悪政', 'に', 'なすりつける', 'の', 'は', 'よく', 'ある', 'こと', 'だ', '。', '〈', '何', 'と', 'し', 'て', 'も']",['諸悪'],NO,諸悪,NO,NO
5,諸悪,にはボクシングをフェア・プレイの精神と結びつけるような発想はからきしない。それどころか、諸悪の根源と決めつけられている。しかし、われわれとしてはこの両極端の考え方のいずれかのみ,"['に', 'は', 'ボクシング', 'を', 'フェア', '・', 'プレイ', 'の', '精神', 'と', '結びつける', 'よう', 'な', '発想', 'は', 'からきし', 'ない', '。', 'それ', 'どころ', 'か', '、', '諸悪', 'の', '根源', 'と', '決めつけ', 'られ', 'て', 'いる', '。', 'しかし', '、', 'われわれ', 'と', 'し', 'て', 'は', 'この', '両', '極端', 'の', '考え', '方', 'の', 'いずれ', 'か', 'のみ']",['諸悪'],NO,諸悪,NO,NO
6,諸悪,であったが故に、思いのままができたのである。君臣関係がすでに成立し、諸悪が日々にひどくなると、塗炭の苦しみに疲れ果てて、枷から脱け出そうと腕振り廻す,"['で', 'あっ', 'た', 'が', '故', 'に', '、', '思い', 'の', 'まま', 'が', 'でき', 'た', 'の', 'で', 'ある', '。', '君臣', '関係', 'が', 'すでに', '成立', 'し', '、', '諸悪', 'が', '日々', 'に', 'ひどく', 'なる', 'と', '、', '塗炭', 'の', '苦しみ', 'に', '疲れ', '果て', 'て', '、', '枷', 'から', '脱け出そう', 'と', '腕', '振り廻す']",['諸悪'],NO,諸悪,NO,NO
7,諸悪,、それで幕にしようとしているから、腹が立つのです。おまけに、その諸悪の根源の大ボスが好き勝手なことをやって、業者を泣かしている。こんなことは,"['、', 'それ', 'で', '幕', 'に', 'しよう', 'と', 'し', 'て', 'いる', 'から', '、', '腹', 'が', '立つ', 'の', 'です', '。', 'おまけ', 'に', '、', 'その', '諸悪', 'の', '根源', 'の', '大', 'ボス', 'が', '好き勝手', 'な', 'こと', 'を', 'やっ', 'て', '、', '業者', 'を', '泣かし', 'て', 'いる', '。', 'こんな', 'こと', 'は']",['諸悪'],NO,諸悪,NO,NO
8,諸悪,て死んだ。古代王朝殷は、こうして滅亡したのだった。紂の寵姫妲己も、諸悪の根源とばかりに、周の武王によって処刑されたという。歴代皇帝の物量主義,"['て', '死ん', 'だ', '。', '古代', '王朝', '殷', 'は', '、', 'こう', 'し', 'て', '滅亡', 'し', 'た', 'の', 'だっ', 'た', '。', '紂', 'の', '寵姫', '妲己', 'も', '、', '諸悪', 'の', '根源', 'と', 'ばかり', 'に', '、', '周', 'の', '武王', 'に', 'よっ', 'て', '処刑', 'さ', 'れ', 'た', 'と', 'いう', '。', '歴代', '皇帝', 'の', '物量', '主義']",['諸悪'],NO,諸悪,NO,NO
9,諸悪,についていってみたら、してみたら？っていわれた。やっぱ、菓子パンはデブの諸悪の根源なんだって…。あたしが、「食パンにしても意味ないかな？」って,"['に', 'つい', 'て', 'いっ', 'て', 'み', 'たら', '、', 'し', 'て', 'み', 'たら', '？', 'って', 'いわ', 'れ', 'た', '。', 'やっぱ', '、', '菓子', 'パン', 'は', 'デブ', 'の', '諸悪', 'の', '根源', 'な', 'ん', 'だ', 'って', '…', '。', 'あたし', 'が', '、', '「', '食', 'パン', 'に', 'し', 'て', 'も', '意味', 'ない', 'か', 'な', '？', '」', 'って']",['諸悪'],NO,諸悪,NO,NO
