,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,非情,レスリー・チャン×チェン・カイコープレミアムＢＯＸ十一月９日（金）発売兄弟子に恋心を抱き続ける女形の京劇役者、人を愛せない非情のジゴロ。香港の貴公子レスリー・チャンの新たな魅力を引き出した、巨匠チェン・カイコーの傑作２本がセット,"['レスリー', '・', 'チャン', '×', 'チェン', '・', 'カイコープレミアム', 'ＢＯＸ', '十', '一', '月', '９', '日', '（', '金', '）', '発売', '兄弟', '子', 'に', '恋心', 'を', '抱き', '続ける', '女形', 'の', '京劇', '役者', '、', '人', 'を', '愛せ', 'ない', '非情', 'の', 'ジゴロ', '。', '香港', 'の', '貴', '公子', 'レスリー', '・', 'チャン', 'の', '新た', 'な', '魅力', 'を', '引き出し', 'た', '、', '巨匠', 'チェン', '・', 'カイ', 'コー', 'の', '傑作', '２', '本', 'が', 'セット']",['非情'],NO,非情,NO,NO
1,非情,て、危険な殺人者が動きだす。彼のあとには無残な死体が転がる。この非情な殺戮を追う老保安官ベル。突然の血と暴力に染まるフロンティアに、ベルは、そして,"['て', '、', '危険', 'な', '殺人', '者', 'が', '動き', 'だす', '。', '彼', 'の', 'あと', 'に', 'は', '無残', 'な', '死体', 'が', '転がる', '。', 'この', '非情', 'な', '殺戮', 'を', '追う', '老', '保安', '官', 'ベル', '。', '突然', 'の', '血', 'と', '暴力', 'に', '染まる', 'フロンティア', 'に', '、', 'ベル', 'は', '、', 'そして']",['非情'],NO,非情,NO,NO
2,非情,から見ると「非情」に思う人もいるかもしれない。しかし、私としては決して「非情」なのではなく、「ひとり」を基本に考えればこうなるということを書いたつもり,"['から', '見る', 'と', '「', '非情', '」', 'に', '思う', '人', 'も', 'いる', 'か', 'も', 'しれ', 'ない', '。', 'しかし', '、', '私', 'と', 'し', 'て', 'は', '決して', '「', '非情', '」', 'な', 'の', 'で', 'は', 'なく', '、', '「', 'ひとり', '」', 'を', '基本', 'に', '考えれ', 'ば', 'こう', 'なる', 'と', 'いう', 'こと', 'を', '書い', 'た', 'つもり']",['非情'],NO,非情,NO,NO
3,非情,から見ると「非情」に思う人もいるかもしれない。しかし、私としては決して「非情」なのではなく、「ひとり」を基本に考えればこうなるということを書いたつもり,"['から', '見る', 'と', '「', '非情', '」', 'に', '思う', '人', 'も', 'いる', 'か', 'も', 'しれ', 'ない', '。', 'しかし', '、', '私', 'と', 'し', 'て', 'は', '決して', '「', '非情', '」', 'な', 'の', 'で', 'は', 'なく', '、', '「', 'ひとり', '」', 'を', '基本', 'に', '考えれ', 'ば', 'こう', 'なる', 'と', 'いう', 'こと', 'を', '書い', 'た', 'つもり']",['非情'],NO,非情,NO,NO
4,非情,世界だからといっても「情」というものが介在して、どんな場合でも非情にはなり切れないだろうことは容易に推察できる。また、ここは競り合いに持ち込んだ方,"['世界', 'だ', 'から', 'と', 'いっ', 'て', 'も', '「', '情', '」', 'と', 'いう', 'もの', 'が', '介在', 'し', 'て', '、', 'どんな', '場合', 'で', 'も', '非情', 'に', 'は', 'なり', '切れ', 'ない', 'だろう', 'こと', 'は', '容易', 'に', '推察', 'できる', '。', 'また', '、', 'ここ', 'は', '競り合い', 'に', '持ち込ん', 'だ', '方']",['非情'],NO,非情,NO,NO
5,非情,）」またしても声を殺して笑う集団。同じ人間をここまで蔑む非情な十七歳。ストーブの熱でズボンの内ももが熱くなっていたのに気付かないほど,"['）', '」', 'また', 'し', 'て', 'も', '声', 'を', '殺し', 'て', '笑う', '集団', '。', '同じ', '人間', 'を', 'ここ', 'まで', '蔑む', '非情', 'な', '十', '七', '歳', '。', 'ストーブ', 'の', '熱', 'で', 'ズボン', 'の', '内もも', 'が', '熱く', 'なっ', 'て', 'い', 'た', 'の', 'に', '気付か', 'ない', 'ほど']",['非情'],NO,非情,NO,NO
6,非情,。この照会に対する回答書は、いわば事情届の提出に代わるものといえるものであり、非情に重要なものである。６照会等に対し第三債務者が回答する責任についてすでに「Ⅴ,"['。', 'この', '照会', 'に', '対する', '回答', '書', 'は', '、', 'いわば', '事情', '届', 'の', '提出', 'に', '代わる', 'もの', 'と', 'いえる', 'もの', 'で', 'あり', '、', '非情', 'に', '重要', 'な', 'もの', 'で', 'ある', '。', '６', '照会', '等', 'に', '対し', '第', '三', '債務', '者', 'が', '回答', 'する', '責任', 'に', 'つい', 'て', 'すでに', '「', 'Ⅴ']",['非情'],NO,非情,NO,NO
7,非情,要求をのむような情をはさむ余地は、いっさいない。厳しく、ときには非情であるが、最終的には部下に才能を授けて幸福にしてくれる人間が、「,"['要求', 'を', 'のむ', 'よう', 'な', '情', 'を', 'はさむ', '余地', 'は', '、', 'いっさい', 'ない', '。', '厳しく', '、', 'とき', 'に', 'は', '非情', 'で', 'ある', 'が', '、', '最終', '的', 'に', 'は', '部下', 'に', '才能', 'を', '授け', 'て', '幸福', 'に', 'し', 'て', 'くれる', '人間', 'が', '、', '「']",['非情'],NO,非情,NO,NO
8,非情,、白幡を逮捕することで事件を解決できると考えた。だが、犯人はあくまでも非情だった。白幡の役割が終わった途端、口をふさいだ。そこまで,"['、', '白幡', 'を', '逮捕', 'する', 'こと', 'で', '事件', 'を', '解決', 'できる', 'と', '考え', 'た', '。', 'だ', 'が', '、', '犯人', 'は', 'あくまで', 'も', '非情', 'だっ', 'た', '。', '白幡', 'の', '役割', 'が', '終わっ', 'た', '途端', '、', '口', 'を', 'ふさい', 'だ', '。', 'そこ', 'まで']",['非情'],NO,非情,NO,NO
9,非情,おれたちはこいつを引き抜くまで食事なしだからな。いいか、わかったか」その非情な声が山のなかにいやにするどく響き渡るのだった。すると幸治のグループからも,"['おれ', 'たち', 'は', 'こいつ', 'を', '引き抜く', 'まで', '食事', 'なし', 'だ', 'から', 'な', '。', 'いい', 'か', '、', 'わかっ', 'た', 'か', '」', 'その', '非情', 'な', '声', 'が', '山', 'の', 'なか', 'に', 'いや', 'に', 'するどく', '響き', '渡る', 'の', 'だっ', 'た', '。', 'する', 'と', '幸治', 'の', 'グループ', 'から', 'も']",['非情'],NO,非情,NO,NO
