,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,非礼,にはいかないと、あくまでも突っぱった。清十郎が顧客のまえにでて非礼をわびて、ことはおさまったが、あかねはこのとき、（魚半をでよう,"['に', 'は', 'いか', 'ない', 'と', '、', 'あくまで', 'も', '突っぱっ', 'た', '。', '清十郎', 'が', '顧客', 'の', 'まえ', 'に', 'で', 'て', '非礼', 'を', 'わび', 'て', '、', 'こと', 'は', 'おさまっ', 'た', 'が', '、', 'あかね', 'は', 'この', 'とき', '、', '（', '魚半', 'を', 'でよう']",['非礼'],NO,非礼,NO,NO
1,非礼,だろう」と脅迫した。盗人猛々しいと言うべきか。申孝哲は、「このように非礼な書簡は伝達できない。徳山墓所の作変は人事事理に悖る行為ではないか。貴国は不俱戴天,"['だろう', '」', 'と', '脅迫', 'し', 'た', '。', '盗人', '猛々しい', 'と', '言う', 'べき', 'か', '。', '申', '孝哲', 'は', '、', '「', 'この', 'よう', 'に', '非礼', 'な', '書簡', 'は', '伝達', 'でき', 'ない', '。', '徳山', '墓所', 'の', '作変', 'は', '人事', '事理', 'に', '悖る', '行為', 'で', 'は', 'ない', 'か', '。', '貴国', 'は', '不俱', '戴天']",['非礼'],NO,非礼,NO,NO
2,非礼,申孝哲へ大院君（李是応）宛の書簡を突きつけ、「墳墓を暴く事は確かに非礼であるが、人民を苦しめる大院君（李是応の悪政よりましである。開国通商の使節を派遣し,"['申', '孝哲', 'へ', '大院', '君', '（', '李', '是応', '）', '宛', 'の', '書簡', 'を', '突きつけ', '、', '「', '墳墓', 'を', '暴く', '事', 'は', '確か', 'に', '非礼', 'で', 'ある', 'が', '、', '人民', 'を', '苦しめる', '大院', '君', '（', '李', '是応', 'の', '悪政', 'より', 'まし', 'で', 'ある', '。', '開国', '通商', 'の', '使節', 'を', '派遣', 'し']",['非礼'],NO,非礼,NO,NO
3,非礼,、わたしは襟を正したい思いにかられるとともに、多人数で押しかけてきたことの非礼を詫びねばならないような気持になった。しかし、その夜の宴席,"['、', 'わたし', 'は', '襟', 'を', '正し', 'たい', '思い', 'に', 'から', 'れる', 'と', 'とも', 'に', '、', '多', '人数', 'で', '押しかけ', 'て', 'き', 'た', 'こと', 'の', '非礼', 'を', '詫び', 'ね', 'ば', 'なら', 'ない', 'よう', 'な', '気持', 'に', 'なっ', 'た', '。', 'しかし', '、', 'その', '夜', 'の', '宴席']",['非礼'],NO,非礼,NO,NO
4,非礼,て尚実に此の如き敬虔厳粛なるメツカのカルバ参宮を行ふに鑑みて、神州日本国民現今の非礼、無作法、不真面目なる一方を観て、長大息せずんばあらず。三昧法螺声嘗て,"['て', '尚実', 'に', '此', 'の', '如き', '敬虔', '厳粛', 'なる', 'メツカ', 'の', 'カルバ', '参宮', 'を', '行ふ', 'に', '鑑み', 'て', '、', '神州', '日本', '国民', '現今', 'の', '非礼', '、', '無', '作法', '、', '不真面目', 'なる', '一方', 'を', '観', 'て', '、', '長', '大息', 'せ', 'ず', 'ん', 'ば', 'あら', 'ず', '。', '三昧', '法螺', '声', '嘗て']",['非礼'],NO,非礼,NO,NO
5,非礼,のは、つまり、そこをなんとかしていただきたいからなんです」栗栖の食い下がり方に非礼なものを感じて、「そこをなんとかする力は、俺にはないんだ。,"['の', 'は', '、', 'つまり', '、', 'そこ', 'を', 'なん', 'と', 'か', 'し', 'て', 'いただき', 'たい', 'から', 'な', 'ん', 'です', '」', '栗栖', 'の', '食い下がり', '方', 'に', '非礼', 'な', 'もの', 'を', '感じ', 'て', '、', '「', 'そこ', 'を', 'なん', 'と', 'か', 'する', '力', 'は', '、', '俺', 'に', 'は', 'ない', 'ん', 'だ', '。']",['非礼'],NO,非礼,NO,NO
6,非礼,ペンを動かしはじめていた。泣こうにも涙も出ない状態だった。このまま非礼をなじって席を立てばいい、そう思いながらも、彼女には何か得体の,"['ペン', 'を', '動かし', 'はじめ', 'て', 'い', 'た', '。', '泣こう', 'に', 'も', '涙', 'も', '出', 'ない', '状態', 'だっ', 'た', '。', 'この', 'まま', '非礼', 'を', 'なじっ', 'て', '席', 'を', '立て', 'ば', 'いい', '、', 'そう', '思い', 'ながら', 'も', '、', '彼女', 'に', 'は', '何', 'か', '得体', 'の']",['非礼'],NO,非礼,NO,NO
7,非礼,かけつけ，オデットから聞いた彼女たちの身の上話しを話すので，一同は，白鳥たちに自分たちの非礼を深くわび，ふたたび新しい猟場をさがしに出かける。東の空が白んでくる。,"['かけつけ', '，', 'オデット', 'から', '聞い', 'た', '彼女', 'たち', 'の', '身の上', '話し', 'を', '話す', 'の', 'で', '，', '一同', 'は', '，', '白鳥', 'たち', 'に', '自分', 'たち', 'の', '非礼', 'を', '深く', 'わび', '，', 'ふたたび', '新しい', '猟場', 'を', 'さがし', 'に', '出かける', '。', '東', 'の', '空', 'が', '白ん', 'で', 'くる', '。']",['非礼'],NO,非礼,NO,NO
8,非礼,、雨戸を固くとざせ」とも町奉行所から達しがあったのだろう、高い所からの隙見といった非礼もなく、掃き清められた道すじは夏の日ざしの下、カラリと晴れ渡って、警固,"['、', '雨戸', 'を', '固く', 'とざせ', '」', 'と', 'も', '町', '奉行', '所', 'から', '達し', 'が', 'あっ', 'た', 'の', 'だろう', '、', '高い', '所', 'から', 'の', '隙見', 'と', 'いっ', 'た', '非礼', 'も', 'なく', '、', '掃き清め', 'られ', 'た', '道すじ', 'は', '夏', 'の', '日ざし', 'の', '下', '、', 'カラリ', 'と', '晴れ', '渡っ', 'て', '、', '警固']",['非礼'],NO,非礼,NO,NO
9,非礼,でない。小大進殿は皇太后（新院の后）の代理、皇太后様に酌をさせる非礼を犯せば、新院様に対し申し訳が立つまい。若年なれど大学者と言われるそなた。,"['で', 'ない', '。', '小', '大進', '殿', 'は', '皇太后', '（', '新院', 'の', '后', '）', 'の', '代理', '、', '皇太后', '様', 'に', '酌', 'を', 'さ', 'せる', '非礼', 'を', '犯せ', 'ば', '、', '新院', '様', 'に', '対し', '申し訳', 'が', '立つ', 'まい', '。', '若年', 'なれ', 'ど', '大学', '者', 'と', '言わ', 'れる', 'そなた', '。']",['非礼'],NO,非礼,NO,NO
10,非礼,が就任式で登降壇の際、日の丸に一礼をしなかったことが三月の市議会で非礼だと問題になったり、さまざまなことが、日の丸・君が代の法制化が社会的強制の空気を,"['が', '就任', '式', 'で', '登降', '壇', 'の', '際', '、', '日の丸', 'に', '一礼', 'を', 'し', 'なかっ', 'た', 'こと', 'が', '三', '月', 'の', '市', '議会', 'で', '非礼', 'だ', 'と', '問題', 'に', 'なっ', 'たり', '、', 'さまざま', 'な', 'こと', 'が', '、', '日の丸', '・', '君が代', 'の', '法制', '化', 'が', '社会', '的', '強制', 'の', '空気', 'を']",['非礼'],NO,非礼,NO,NO
11,非礼,」と、若者がきめつけるようにいい、書状を大治郎へわたした。そのことばづかいも非礼きわまるものだ。おのれの師を他人の前で「先生」と敬ってよぶ。,"['」', 'と', '、', '若者', 'が', 'きめつける', 'よう', 'に', 'いい', '、', '書状', 'を', '大治郎', 'へ', 'わたし', 'た', '。', 'その', 'ことばづかい', 'も', '非礼', 'きわまる', 'もの', 'だ', '。', 'おのれ', 'の', '師', 'を', '他人', 'の', '前', 'で', '「', '先生', '」', 'と', '敬っ', 'て', 'よぶ', '。']",['非礼'],NO,非礼,NO,NO
12,非礼,なかったという極めて丁重な、しかし必要最小限の内容のみを記した短い手紙を認めて非礼を詫びた。「もし私がパリへと戻らねばならなくなった時,"['なかっ', 'た', 'と', 'いう', '極めて', '丁重', 'な', '、', 'しかし', '必要', '最小', '限', 'の', '内容', 'のみ', 'を', '記し', 'た', '短い', '手紙', 'を', '認め', 'て', '非礼', 'を', '詫び', 'た', '。', '「', 'もし', '私', 'が', 'パリ', 'へ', 'と', '戻ら', 'ね', 'ば', 'なら', 'なく', 'なっ', 'た', '時']",['非礼'],NO,非礼,NO,NO
13,非礼,」と呼んでいた。「みろよ、みろよ、エマヌエル」「馬鹿者、おまえも非礼を詫びるんだ」「いいから、みろってば。百合の花だぜ、百合の,"['」', 'と', '呼ん', 'で', 'い', 'た', '。', '「', 'みろ', 'よ', '、', 'みろ', 'よ', '、', 'エマヌエル', '」', '「', '馬鹿', '者', '、', 'おまえ', 'も', '非礼', 'を', '詫びる', 'ん', 'だ', '」', '「', 'いい', 'から', '、', 'みろ', 'って', 'ば', '。', '百合', 'の', '花', 'だ', 'ぜ', '、', '百合', 'の']",['非礼'],NO,非礼,NO,NO
14,非礼,そして、日本人は、まずは、聞き置く、という態度をとる。上司に反論するのは非礼だと考えるからである。一方、ドイツ人は、自分の提案に主だった反対はない,"['そして', '、', '日本', '人', 'は', '、', 'まず', 'は', '、', '聞き置く', '、', 'と', 'いう', '態度', 'を', 'とる', '。', '上司', 'に', '反論', 'する', 'の', 'は', '非礼', 'だ', 'と', '考える', 'から', 'で', 'ある', '。', '一方', '、', 'ドイツ', '人', 'は', '、', '自分', 'の', '提案', 'に', '主だっ', 'た', '反対', 'は', 'ない']",['非礼'],NO,非礼,NO,NO
