,,unidic,unidic,unidic,unidic,ipadic,ipadic,ipadic,ipadic,jumandic,jumandic,jumandic,jumandic
,,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages
the unit is split,,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES
unit length,compound unit,,,,,,,,,,,,
2,兄弟,583,0,1.0,0.0,583,0,1.0,0.0,583,0,1.0,0.0
2,危険,549,0,1.0,0.0,549,0,1.0,0.0,549,0,1.0,0.0
2,善良,313,0,1.0,0.0,313,0,1.0,0.0,313,0,1.0,0.0
2,大小,504,17,0.9673704414587332,0.03262955854126679,521,0,1.0,0.0,521,0,1.0,0.0
2,姉妹,587,0,1.0,0.0,587,0,1.0,0.0,587,0,1.0,0.0
2,子孫,551,0,1.0,0.0,551,0,1.0,0.0,551,0,1.0,0.0
2,巨大,523,0,1.0,0.0,523,0,1.0,0.0,523,0,1.0,0.0
2,父母,715,2,0.99721059972106,0.002789400278940028,713,4,0.9944211994421199,0.005578800557880056,708,9,0.9874476987447699,0.012552301255230125
2,白黒,201,0,1.0,0.0,201,0,1.0,0.0,201,0,1.0,0.0
2,邪悪,341,0,1.0,0.0,341,0,1.0,0.0,341,0,1.0,0.0
3,上中下,0,14,0.0,1.0,0,14,0.0,1.0,0,14,0.0,1.0
3,年月日,0,165,0.0,1.0,164,1,0.9939393939393939,0.006060606060606061,162,3,0.9818181818181818,0.01818181818181818
3,松竹梅,0,34,0.0,1.0,33,1,0.9705882352941176,0.029411764705882353,34,0,1.0,0.0
3,英独仏,0,16,0.0,1.0,0,16,0.0,1.0,0,16,0.0,1.0
3,雪月花,0,8,0.0,1.0,8,0,1.0,0.0,8,0,1.0,0.0
