,,unidic,unidic,unidic,unidic,ipadic,ipadic,ipadic,ipadic,jumandic,jumandic,jumandic,jumandic
,,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages
unexpected joining,,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES
unit length,compound unit,,,,,,,,,,,,
2,兄弟,581,2,0.9965694682675815,0.003430531732418525,580,3,0.9948542024013722,0.005145797598627788,581,2,0.9965694682675815,0.003430531732418525
2,危険,549,0,1.0,0.0,549,0,1.0,0.0,265,284,0.48269581056466304,0.517304189435337
2,善良,313,0,1.0,0.0,313,0,1.0,0.0,39,274,0.12460063897763578,0.8753993610223643
2,大小,504,17,0.9673704414587332,0.03262955854126679,521,0,1.0,0.0,521,0,1.0,0.0
2,姉妹,584,3,0.9948892674616695,0.005110732538330494,587,0,1.0,0.0,585,2,0.9965928449744463,0.0034071550255536627
2,子孫,551,0,1.0,0.0,551,0,1.0,0.0,551,0,1.0,0.0
2,巨大,523,0,1.0,0.0,523,0,1.0,0.0,7,516,0.01338432122370937,0.9866156787762906
2,父母,630,87,0.8786610878661087,0.12133891213389121,630,87,0.8786610878661087,0.12133891213389121,626,91,0.8730822873082287,0.12691771269177127
2,白黒,201,0,1.0,0.0,201,0,1.0,0.0,201,0,1.0,0.0
2,邪悪,341,0,1.0,0.0,341,0,1.0,0.0,52,289,0.15249266862170088,0.8475073313782991
3,上中下,14,0,1.0,0.0,13,1,0.9285714285714286,0.07142857142857142,13,1,0.9285714285714286,0.07142857142857142
3,年月日,160,5,0.9696969696969697,0.030303030303030304,162,3,0.9818181818181818,0.01818181818181818,162,3,0.9818181818181818,0.01818181818181818
3,松竹梅,33,1,0.9705882352941176,0.029411764705882353,33,1,0.9705882352941176,0.029411764705882353,34,0,1.0,0.0
3,英独仏,16,0,1.0,0.0,16,0,1.0,0.0,16,0,1.0,0.0
3,雪月花,8,0,1.0,0.0,8,0,1.0,0.0,8,0,1.0,0.0
