,,unidic,unidic,ipadic,ipadic,jumandic,jumandic
,,frequencies,percentages,frequencies,percentages,frequencies,percentages
unexpected segmentation,,NO,NO,NO,NO,NO,NO
unit length,compound unit,,,,,,
2,兄弟,583,1.0,583,1.0,583,1.0
2,危険,549,1.0,549,1.0,549,1.0
2,善良,313,1.0,313,1.0,313,1.0
2,大小,521,1.0,521,1.0,521,1.0
2,姉妹,587,1.0,587,1.0,587,1.0
2,子孫,551,1.0,551,1.0,551,1.0
2,巨大,523,1.0,523,1.0,523,1.0
2,父母,717,1.0,717,1.0,717,1.0
2,白黒,201,1.0,201,1.0,201,1.0
2,邪悪,341,1.0,341,1.0,341,1.0
3,上中下,14,1.0,14,1.0,14,1.0
3,年月日,165,1.0,165,1.0,165,1.0
3,松竹梅,34,1.0,34,1.0,34,1.0
3,英独仏,16,1.0,16,1.0,16,1.0
3,雪月花,8,1.0,8,1.0,8,1.0
