,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,大小,、南アジアに大ジャワと小ジャワの二つが描かれていると、とりあえず書いておいた。この大小二つのジャワ島は、ヴァルトゼーミューラーのこの地図以来、それぞれの位置や形や大きさに異同は,"['、', '南', 'アジア', 'に', '大', 'ジャワ', 'と', '小', 'ジャワ', 'の', '二つ', 'が', '描か', 'れ', 'て', 'いる', 'と', '、', 'とりあえず', '書い', 'て', 'おい', 'た', '。', 'この', '大小', '二つ', 'の', 'ジャワ島', 'は', '、', 'ヴァルトゼーミューラー', 'の', 'この', '地図', '以来', '、', 'それぞれ', 'の', '位置', 'や', '形', 'や', '大き', 'さ', 'に', '異同', 'は']",['大小'],NO,大小,NO,NO
1,大小,になどというふうに答えているわけです。このように、多くの市町村長が自治体の大小にかかわらず国の干渉を受けない財源の保障があれば、分権自治は今のままで,"['に', 'など', 'という', 'ふう', 'に', '答え', 'て', 'いる', 'わけ', 'です', '。', 'この', 'よう', 'に', '、', '多く', 'の', '市町村', '長', 'が', '自治体', 'の', '大小', 'に', 'かかわら', 'ず', '国', 'の', '干渉', 'を', '受け', 'ない', '財源', 'の', '保障', 'が', 'あれ', 'ば', '、', '分権', '自治', 'は', '今', 'の', 'まま', 'で']",['大小'],NO,大小,NO,NO
2,大小,天津飯は初登場時かめはめ波が全く効かない敵でしたよね。その大小に関わらず効かない、と亀仙人が言ってました。ということはセルを倒し,"['天津飯', 'は', '初', '登場', '時', 'かめ', 'はめ', '波', 'が', '全く', '効か', 'ない', '敵', 'でし', 'た', 'よ', 'ね', '。', 'その', '大小', 'に', '関わら', 'ず', '効か', 'ない', '、', 'と', '亀', '仙人', 'が', '言っ', 'て', 'まし', 'た', '。', 'という', 'こと', 'は', 'セル', 'を', '倒し']",['大小'],NO,大小,NO,NO
3,大小,のコストに含まれるＮＴＳ（ＮｏｎＴｒａｆｆｉｃＳｅｎｓｉｔｉｖｅ）コスト（トラヒック（通信料）の大小にかかわらず発生するコスト）の回収方法について、従量制の接続料ではなく、定額制の基本料で回収すべきである,"['の', 'コスト', 'に', '含ま', 'れる', 'ＮＴＳ', '（', 'ＮｏｎＴｒａｆｆｉｃＳｅｎｓｉｔｉｖｅ', '）', 'コスト', '（', 'トラヒック', '（', '通信', '料', '）', 'の', '大小', 'に', 'かかわら', 'ず', '発生', 'する', 'コスト', '）', 'の', '回収', '方法', 'について', '、', '従量', '制', 'の', '接続', '料', 'で', 'は', 'なく', '、', '定額', '制', 'の', '基本', '料', 'で', '回収', 'す', 'べき', 'で', 'ある']",['大小'],NO,大小,NO,NO
4,大小,場合には、十八画仙紙本画仙がよいが和画仙でも使える十九タンポ大小二個以上を用意する二十墨拓本用の墨があればよいけれども、市販の書道用の,"['場合', 'に', 'は', '、', '十', '八', '画仙紙', '本', '画', '仙', 'が', 'よい', 'が', '和', '画', '仙', 'で', 'も', '使える', '十', '九', 'タンポ', '大小', '二', '個', '以上', 'を', '用意', 'する', '二', '十', '墨', '拓本', '用', 'の', '墨', 'が', 'あれ', 'ば', 'よい', 'けれども', '、', '市販', 'の', '書道', '用', 'の']",['大小'],NO,大小,NO,NO
5,大小,登りきると雨竜高層湿原に出る。東西約四ｋｍ、南北に約二ｋｍ、標高九百ｍの平坦な湿原に大小百数十にも及ぶ池塘が浮かぶ（南暑寒荘から一時間三十分）。,"['登り', 'きる', 'と', '雨竜', '高層', '湿原', 'に', '出る', '。', '東西', '約', '四', 'ｋｍ', '、', '南北', 'に', '約', '二', 'ｋｍ', '、', '標高', '九', '百', 'ｍ', 'の', '平坦', 'な', '湿原', 'に', '大小', '百', '数', '十', 'に', 'も', '及ぶ', '池塘', 'が', '浮かぶ', '（', '南', '暑寒', '荘', 'から', '一', '時間', '三', '十', '分', '）', '。']",['大小'],NO,大小,NO,NO
6,大小,から対立して全従業員を巻き込んで行われるストライキにいたるまで，内容，規模，職場における影響の大小などにおいて，さまざまなトラブルがあるのです。このトラブルには，賃金や労働時間など,"['から', '対立', 'し', 'て', '全', '従業', '員', 'を', '巻き込ん', 'で', '行わ', 'れる', 'ストライキ', 'に', 'いたる', 'まで', '，', '内容', '，', '規模', '，', '職場', 'における', '影響', 'の', '大小', 'など', 'において', '，', 'さまざま', 'な', 'トラブル', 'が', 'ある', 'の', 'です', '。', 'この', 'トラブル', 'に', 'は', '，', '賃金', 'や', '労働', '時間', 'など']",['大小'],NO,大小,NO,NO
7,大小,研究と外国語研究の意としても用いられる。幕末期、わが国には二百八十五ほどの大小の藩があり、どの藩にも藩士を教育するための機関として、「藩校（黌,"['研究', 'と', '外国', '語', '研究', 'の', '意', 'として', 'も', '用い', 'られる', '。', '幕末', '期', '、', 'わが国', 'に', 'は', '二', '百', '八', '十', '五', 'ほど', 'の', '大小', 'の', '藩', 'が', 'あり', '、', 'どの', '藩', 'に', 'も', '藩士', 'を', '教育', 'する', 'ため', 'の', '機関', 'として', '、', '「', '藩校', '（', '黌']",['大小'],NO,大小,NO,NO
8,大小,社域である。銅葺き屋根を載せた本殿は、神さびた堂々たる建物だし、稲荷社をはじめ大小の末社を境内のあちこちに配して、これも森厳な雰囲気だが、私たちの,"['社', '域', 'で', 'ある', '。', '銅', '葺き', '屋根', 'を', '載せ', 'た', '本殿', 'は', '、', '神さび', 'た', '堂々たる', '建物', 'だ', 'し', '、', '稲荷', '社', 'を', 'はじめ', '大小', 'の', '末社', 'を', '境内', 'の', 'あちこち', 'に', '配し', 'て', '、', 'これ', 'も', '森厳', 'な', '雰囲気', 'だ', 'が', '、', '私', 'たち', 'の']",['大小'],NO,大小,NO,NO
9,大小,。それでもどうにか登りきってみれば、その先は尾根まで続く涸れ沢になっていた。大小の岩のあいだに大小の石がごろごろと積み重なって、空を背にした,"['。', 'それでも', 'どうにか', '登り', 'きっ', 'て', 'みれ', 'ば', '、', 'その', '先', 'は', '尾根', 'まで', '続く', '涸れ', '沢', 'に', 'なっ', 'て', 'い', 'た', '。', '大小', 'の', '岩', 'の', 'あいだ', 'に', '大小', 'の', '石', 'が', 'ごろごろ', 'と', '積み重なっ', 'て', '、', '空', 'を', '背', 'に', 'し', 'た']",['大小'],NO,大小,NO,NO
10,大小,。それでもどうにか登りきってみれば、その先は尾根まで続く涸れ沢になっていた。大小の岩のあいだに大小の石がごろごろと積み重なって、空を背にした,"['。', 'それでも', 'どうにか', '登り', 'きっ', 'て', 'みれ', 'ば', '、', 'その', '先', 'は', '尾根', 'まで', '続く', '涸れ', '沢', 'に', 'なっ', 'て', 'い', 'た', '。', '大小', 'の', '岩', 'の', 'あいだ', 'に', '大小', 'の', '石', 'が', 'ごろごろ', 'と', '積み重なっ', 'て', '、', '空', 'を', '背', 'に', 'し', 'た']",['大小'],NO,大小,NO,NO
11,大小,ようにお話し申し上げているお相手は、篶薑先生でありますが、先生は先生として、それ以外の、大小、幾多の孔子研究会に名を列ね、ただ今、この席にもお見えになっている方々に,"['よう', 'に', 'お話し', '申し上げ', 'て', 'いる', 'お', '相手', 'は', '、', '篶薑', '先生', 'で', 'あり', 'ます', 'が', '、', '先生', 'は', '先生', 'として', '、', 'それ', '以外', 'の', '、', '大小', '、', '幾多', 'の', '孔子', '研究', '会', 'に', '名', 'を', '列ね', '、', 'ただ今', '、', 'この', '席', 'に', 'も', 'お', '見え', 'に', 'なっ', 'て', 'いる', '方々', 'に']",['大小'],NO,大小,NO,NO
12,大小,「勤務医がどうして気楽なんです？」「そりゃそうだろう、開業医は規模の大小はあるが経営者にちがいない。それに較べ、勤務医はサラリーマンだ。診療は昼すぎ,"['「', '勤務', '医', 'が', 'どうして', '気楽', 'な', 'ん', 'です', '？', '」', '「', 'そりゃ', 'そう', 'だろ', 'う', '、', '開業医', 'は', '規模', 'の', '大小', 'は', 'ある', 'が', '経営', '者', 'に', 'ちがい', 'ない', '。', 'それ', 'に', '較べ', '、', '勤務', '医', 'は', 'サラリーマン', 'だ', '。', '診療', 'は', '昼', 'すぎ']",['大小'],NO,大小,NO,NO
13,大小,のですか？？現代音楽だって作曲家の優劣ってあるでしょ、ＣＤの売上の大小って尺度じゃなくても。わたしはＪ・Ｓ・ＢＡＣＨの方がすごいと思います。,"['の', 'です', 'か', '？', '？', '現代', '音楽', 'だって', '作曲', '家', 'の', '優', '劣っ', 'て', 'ある', 'でしょ', '、', 'ＣＤ', 'の', '売上', 'の', '大小', 'って', '尺度', 'じゃ', 'なく', 'て', 'も', '。', 'わたし', 'は', 'Ｊ', '・', 'Ｓ', '・', 'ＢＡＣＨ', 'の', '方', 'が', 'すごい', 'と', '思い', 'ます', '。']",['大小'],NO,大小,NO,NO
14,大小,て上手にオリていくか、で全てが決まってしまう。だから日頃の生活に大小のツキがいろんなかたちで絡んでいるのだろうな、ということをそんな一件からも感じるのだ,"['て', '上手', 'に', 'オリ', 'て', 'いく', 'か', '、', 'で', '全て', 'が', '決まっ', 'て', 'しまう', '。', 'だから', '日頃', 'の', '生活', 'に', '大小', 'の', 'ツキ', 'が', 'いろんな', 'かたち', 'で', '絡ん', 'で', 'いる', 'の', 'だろ', 'う', 'な', '、', 'という', 'こと', 'を', 'そんな', '一', '件', 'から', 'も', '感じる', 'の', 'だ']",['大小'],NO,大小,NO,NO
15,大小,も『雨除け毛布』を敷いて横になった。鳳凰山頂は、草木の代りに大小の岩塊でおおわれている。可能な限り「清掃」したものの、毛布をとおして背中に,"['も', '『', '雨', '除け', '毛布', '』', 'を', '敷い', 'て', '横', 'に', 'なっ', 'た', '。', '鳳凰', '山頂', 'は', '、', '草木', 'の', '代り', 'に', '大小', 'の', '岩', '塊', 'で', 'おおわ', 'れ', 'て', 'いる', '。', '可能', 'な', '限り', '「', '清掃', '」', 'し', 'た', 'ものの', '、', '毛布', 'を', 'とおし', 'て', '背中', 'に']",['大小'],NO,大小,NO,NO
16,大小,の穴場。◇松島と奥松島松島は日本三景の一つ。船めぐりをすると、大小二百七十五余の島が風紋に刻まれて、「白砂青松」といわれる景観を見せる,"['の', '穴場', '。', '◇', '松島', 'と', '奥', '松島', '松島', 'は', '日本', '三景', 'の', '一つ', '。', '船', 'めぐり', 'を', 'する', 'と', '、', '大小', '二', '百', '七', '十', '五', '余', 'の', '島', 'が', '風紋', 'に', '刻ま', 'れ', 'て', '、', '「', '白砂青松', '」', 'と', 'いわ', 'れる', '景観', 'を', '見せる']",['大小'],NO,大小,NO,NO
17,大小,重視するかぎり、けっして衆主となれないとはいえないからである。ただこの戒を大小の二乗にともに制するところだとする解釈が一般であるが、ここに律が,"['重視', 'する', 'かぎり', '、', 'けっして', '衆', '主', 'と', 'なれ', 'ない', 'と', 'は', 'いえ', 'ない', 'から', 'で', 'ある', '。', 'ただ', 'この', '戒', 'を', '大小', 'の', '二', '乗', 'に', 'ともに', '制する', 'ところ', 'だ', 'と', 'する', '解釈', 'が', '一般', 'で', 'ある', 'が', '、', 'ここ', 'に', '律', 'が']",['大小'],NO,大小,NO,NO
18,大小,に乗じて筆にまかせて書いたもの。従って行書、草書がまじり、文字に大小の変化があり、潤渇肥痩の変化があります。唐風の雰囲気が濃厚にあらわれた,"['に', '乗じ', 'て', '筆', 'に', 'まかせ', 'て', '書い', 'た', 'もの', '。', '従って', '行書', '、', '草書', 'が', 'まじり', '、', '文字', 'に', '大小', 'の', '変化', 'が', 'あり', '、', '潤', '渇肥', '痩', 'の', '変化', 'が', 'あり', 'ます', '。', '唐風', 'の', '雰囲気', 'が', '濃厚', 'に', 'あらわれ', 'た']",['大小'],NO,大小,NO,NO
19,大小,どれが可愛いか。これは簡単にいいにくいが、値段の高い安いや、金額の大小ではない。それより、請求書から、一生懸命やっている、という雰囲気がただよってくるのが,"['どれ', 'が', '可愛い', 'か', '。', 'これ', 'は', '簡単', 'に', 'いい', 'にくい', 'が', '、', '値段', 'の', '高い', '安い', 'や', '、', '金額', 'の', '大小', 'で', 'は', 'ない', '。', 'それ', 'より', '、', '請求', '書', 'から', '、', '一生懸命', 'やっ', 'て', 'いる', '、', 'という', '雰囲気', 'が', 'ただよっ', 'て', 'くる', 'の', 'が']",['大小'],NO,大小,NO,NO
20,大小,は，浸透性が良く，生体内にミネラル成分が吸収されやすくなると考えられるのですが，クラスターの大小と水の善し悪しは，別のものです．クラスターの小さい水は生体に良くて,"['は', '，', '浸透', '性', 'が', '良く', '，', '生体', '内', 'に', 'ミネラル', '成分', 'が', '吸収', 'さ', 'れ', 'やすく', 'なる', 'と', '考え', 'られる', 'の', 'です', 'が', '，', 'クラ', 'スター', 'の', '大小', 'と', '水', 'の', '善し悪し', 'は', '，', '別', 'の', 'もの', 'です', '．', 'クラ', 'スター', 'の', '小さい', '水', 'は', '生体', 'に', '良く', 'て']",['大小'],NO,大小,NO,NO
21,大小,。●章の問題●Ａ●１次の各組の数の大小を，不等号を使って表しなさい。２次の数を分母に根号がない形,"['。', '●', '章', 'の', '問題', '●', 'Ａ', '●', '１', '次', 'の', '各組', 'の', '数', 'の', '大小', 'を', '，', '不等号', 'を', '使っ', 'て', '表し', 'なさい', '。', '２', '次', 'の', '数', 'を', '分母', 'に', '根号', 'が', 'ない', '形']",['大小'],NO,大小,NO,NO
22,大小,乗り捨ててきた。そこから反対車線を走るタクシーをつかまえ、さらに乗り継ぐこと四回…。大小の海浜倉庫と事務所棟が建ち並ぶ一帯は、午後八時を回ったいまは人通りもなく、,"['乗り捨て', 'て', 'き', 'た', '。', 'そこ', 'から', '反対', '車線', 'を', '走る', 'タクシー', 'を', 'つかまえ', '、', 'さらに', '乗り継ぐ', 'こと', '四', '回', '…', '。', '大小', 'の', '海浜', '倉庫', 'と', '事務所', '棟', 'が', '建ち並ぶ', '一帯', 'は', '、', '午後', '八', '時', 'を', '回っ', 'た', 'いま', 'は', '人通り', 'も', 'なく', '、']",['大小'],NO,大小,NO,NO
23,大小,が私がもらって帰ったのはキスゴを全部。遠慮なく全部頂いたので、大小いたけど四十匹はいたと思います。塩焼き、フライ、焼いて汁にも,"['が', '私', 'が', 'もらっ', 'て', '帰っ', 'た', 'の', 'は', 'キスゴ', 'を', '全部', '。', '遠慮なく', '全部', '頂い', 'た', 'ので', '、', '大小', 'い', 'た', 'けど', '四', '十', '匹', 'は', 'い', 'た', 'と', '思い', 'ます', '。', '塩焼き', '、', 'フライ', '、', '焼い', 'て', '汁', 'に', 'も']",['大小'],NO,大小,NO,NO
24,大小,が、土地と建物が高騰している時期で無理だった。それまで晴海のホテルや大小の都市ホテルを使っていたが、萌子はこれに倦んでいたようだ。丞,"['が', '、', '土地', 'と', '建物', 'が', '高騰', 'し', 'て', 'いる', '時期', 'で', '無理', 'だっ', 'た', '。', 'それ', 'まで', '晴海', 'の', 'ホテル', 'や', '大小', 'の', '都市', 'ホテル', 'を', '使っ', 'て', 'い', 'た', 'が', '、', '萌子', 'は', 'これ', 'に', '倦ん', 'で', 'い', 'た', 'よう', 'だ', '。', '丞']",['大小'],NO,大小,NO,NO
25,大小,側面を持っています．気管支ファイバースコープによる検査に限りませんが，医療行為にはリスクの大小はあれ，危険が伴うのも事実です．問題となる医療行為（検査）が必要,"['側面', 'を', '持っ', 'て', 'い', 'ます', '．', '気管支', 'ファイバー', 'スコープ', 'による', '検査', 'に', '限り', 'ませ', 'ん', 'が', '，', '医療', '行為', 'に', 'は', 'リスク', 'の', '大小', 'は', 'あれ', '，', '危険', 'が', '伴う', 'の', 'も', '事実', 'です', '．', '問題', 'と', 'なる', '医療', '行為', '（', '検査', '）', 'が', '必要']",['大小'],NO,大小,NO,NO
26,大小,ヘタに向かって剝くと上手に剝ける／「庭の木になる枇杷。実の大小に豊かさが伝わる」神奈川県／紙﨑栄子【鮎あゆ】アユ科。香気のある,"['ヘタ', 'に', '向かっ', 'て', '剝', 'く', 'と', '上手', 'に', '剝', 'ける', '／', '「', '庭', 'の', '木', 'に', 'なる', '枇杷', '。', '実', 'の', '大小', 'に', '豊か', 'さ', 'が', '伝わる', '」', '神奈川', '県', '／', '紙', '﨑栄', '子', '【', '鮎', 'あゆ', '】', 'アユ', '科', '。', '香気', 'の', 'ある']",['大小'],NO,大小,NO,NO
27,大小,家族の監視，異性との交際のための用具（車やお金〉や機会の大小を表しているからであるという。次に，日本性教育協会（千九百九十七）による性行動経験の有無,"['家族', 'の', '監視', '，', '異性', 'と', 'の', '交際', 'の', 'ため', 'の', '用具', '（', '車', 'や', 'お金', '〉', 'や', '機会', 'の', '大小', 'を', '表し', 'て', 'いる', 'から', 'で', 'ある', 'と', 'いう', '。', '次に', '，', '日本', '性', '教育', '協会', '（', '千', '九', '百', '九', '十', '七', '）', 'による', '性', '行動', '経験', 'の', '有無']",['大小'],NO,大小,NO,NO
28,大小,心当たりの方いませんか？解決法は？１．現在のコンセント差込みを変えてみる（大小がありますので逆さにする）２．ＤＶＤレコーダーの電源を別のコンセントから取る３,"['心当たり', 'の', '方', 'い', 'ませ', 'ん', 'か', '？', '解決', '法', 'は', '？', '１', '．', '現在', 'の', 'コンセント', '差込み', 'を', '変え', 'て', 'みる', '（', '大小', 'が', 'あり', 'ます', 'ので', '逆さ', 'に', 'する', '）', '２', '．', 'ＤＶＤ', 'レコーダー', 'の', '電源', 'を', '別', 'の', 'コンセント', 'から', '取る', '３']",['大小'],NO,大小,NO,NO
29,大小,、知恵と情報力が勝負を決するビジネス社会になるだろう。情報力を身につければ、大小に関係なくビジネス・チャンスがある。おそらく、サイバー・マーケティングを採用しない小規模企業はより小規模に、,"['、', '知恵', 'と', '情報', '力', 'が', '勝負', 'を', '決する', 'ビジネス', '社会', 'に', 'なる', 'だろ', 'う', '。', '情報', '力', 'を', '身', 'に', 'つけれ', 'ば', '、', '大小', 'に', '関係', 'なく', 'ビジネス', '・', 'チャンス', 'が', 'ある', '。', 'おそらく', '、', 'サイバー・マーケティング', 'を', '採用', 'し', 'ない', '小規模', '企業', 'は', 'より', '小規模', 'に', '、']",['大小'],NO,大小,NO,NO
30,大小,見て回った。チューリッヒ本部の敷地は六十エーカーあり、その中に十二の製造工場と、大小七十五ものビルディングが建っている。この敷地内だけで自給自足が可能な、ちょっとした自治区,"['見', 'て', '回っ', 'た', '。', 'チューリッヒ', '本部', 'の', '敷地', 'は', '六', '十', 'エーカー', 'あり', '、', 'その', '中', 'に', '十', '二', 'の', '製造', '工場', 'と', '、', '大小', '七', '十', '五', 'も', 'の', 'ビルディング', 'が', '建っ', 'て', 'いる', '。', 'この', '敷地', '内', 'だけ', 'で', '自給自足', 'が', '可能', 'な', '、', 'ちょっとした', '自治', '区']",['大小'],NO,大小,NO,NO
31,大小,若い衆にまじっては、長刈りの長服、お下げや揚巻きは、近所のお子衆。大小あわせて三十人ばかりが見世をとりまき、しかし、ひときわ目を引くは、鼈甲やら珊瑚,"['若い衆', 'に', 'まじっ', 'て', 'は', '、', '長', '刈り', 'の', '長', '服', '、', 'お下げ', 'や', '揚', '巻き', 'は', '、', '近所', 'の', 'お', '子', '衆', '。', '大小', 'あわせ', 'て', '三', '十', '人', 'ばかり', 'が', '見世', 'を', 'とりまき', '、', 'しかし', '、', 'ひときわ', '目', 'を', '引く', 'は', '、', '鼈甲', 'やら', '珊瑚']",['大小'],NO,大小,NO,NO
32,大小,二つのグループに展開し，細い線でゆっくりと静かな調子に。潤渇や文字の大小の変化を加えた。イメージに合った用具用材を工夫する（ここでは，墨色の,"['二つ', 'の', 'グループ', 'に', '展開', 'し', '，', '細い', '線', 'で', 'ゆっくり', 'と', '静か', 'な', '調子', 'に', '。', '潤', '渇', 'や', '文字', 'の', '大小', 'の', '変化', 'を', '加え', 'た', '。', 'イメージ', 'に', '合っ', 'た', '用具', '用材', 'を', '工夫', 'する', '（', 'ここ', 'で', 'は', '，', '墨色', 'の']",['大小'],NO,大小,NO,NO
33,大小,も太く大きな指に頭を挟まれる方が早かった。その指の付け根で大小、様々な水疱が脈打つのを見ながら、少年は逃れようともがいた。が,"['も', '太く', '大きな', '指', 'に', '頭', 'を', '挟ま', 'れる', '方', 'が', '早かっ', 'た', '。', 'その', '指', 'の', '付け根', 'で', '大小', '、', '様々', 'な', '水疱', 'が', '脈打つ', 'の', 'を', '見', 'ながら', '、', '少年', 'は', '逃れよ', 'う', 'と', 'もがい', 'た', '。', 'が']",['大小'],NO,大小,NO,NO
34,大小,．７‐１，２に示す．図３．７‐１の上側の画像は大小の円錐形が投影する影の領域を示している．円錐が１個で平面上に生ずる影を,"['．', '７', '‐', '１', '，', '２', 'に', '示す', '．', '図', '３', '．', '７', '‐', '１', 'の', '上側', 'の', '画像', 'は', '大小', 'の', '円錐', '形', 'が', '投影', 'する', '影', 'の', '領域', 'を', '示し', 'て', 'いる', '．', '円錐', 'が', '１', '個', 'で', '平面', '上', 'に', '生ずる', '影', 'を']",['大小'],NO,大小,NO,NO
35,大小,。が、そんなことを気にする大弥太ではなかった。「人の器の大小など、おのれが決めればよいのだわ。おのれがおのれを一番よく知っておる」と,"['。', 'が', '、', 'そんな', 'こと', 'を', '気', 'に', 'する', '大', '弥太', 'で', 'は', 'なかっ', 'た', '。', '「', '人', 'の', '器', 'の', '大小', 'など', '、', 'おのれ', 'が', '決めれ', 'ば', 'よい', 'の', 'だ', 'わ', '。', 'おのれ', 'が', 'おのれ', 'を', '一番', 'よく', '知っ', 'て', 'おる', '」', 'と']",['大小'],NO,大小,NO,NO
