,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,年月日,「月は単語」で書くクセをつけましょう。例えば十一／十／十二は、年月日全てを間違える可能性があります。Ｎｏｖ．十，二千十二なら間違いようがありません,"['「', '月', 'は', '単語', '」', 'で', '書く', 'クセ', 'を', 'つけ', 'ましょ', 'う', '。', '例えば', '十', '一', '／', '十', '／', '十', '二', 'は', '、', '年月日', '全て', 'を', '間違える', '可能', '性', 'が', 'あり', 'ます', '。', 'Ｎｏｖ', '．', '十', '，', '二', '千', '十', '二', 'なら', '間違い', 'よう', 'が', 'あり', 'ませ', 'ん']",['年月日'],NO,年月日,NO,NO
1,年月日,ます。２本店移転を実施する年月日と新本店の所在地を記載します。３委任した年月日を記載します。４本店、商号、代表取締役の氏名を記載し、押印します。印,"['ます', '。', '２', '本店', '移転', 'を', '実施', 'する', '年月日', 'と', '新', '本店', 'の', '所在地', 'を', '記載', 'し', 'ます', '。', '３', '委任', 'し', 'た', '年月日', 'を', '記載', 'し', 'ます', '。', '４', '本店', '、', '商号', '、', '代表', '取締役', 'の', '氏名', 'を', '記載', 'し', '、', '押印', 'し', 'ます', '。', '印']",['年月日'],NO,年月日,NO,NO
2,年月日,ます。２本店移転を実施する年月日と新本店の所在地を記載します。３委任した年月日を記載します。４本店、商号、代表取締役の氏名を記載し、押印します。印,"['ます', '。', '２', '本店', '移転', 'を', '実施', 'する', '年月日', 'と', '新', '本店', 'の', '所在地', 'を', '記載', 'し', 'ます', '。', '３', '委任', 'し', 'た', '年月日', 'を', '記載', 'し', 'ます', '。', '４', '本店', '、', '商号', '、', '代表', '取締役', 'の', '氏名', 'を', '記載', 'し', '、', '押印', 'し', 'ます', '。', '印']",['年月日'],NO,年月日,NO,NO
3,年月日,「時刻」を、「文字列」にするというものです。「ｔｍ構造体」は「年月日」や「時分秒」「曜日」などのデータをまとめたもので、以下のメンバ,"['「', '時刻', '」', 'を', '、', '「', '文字', '列', '」', 'に', 'する', 'という', 'もの', 'です', '。', '「', 'ｔ', 'ｍ', '構造', '体', '」', 'は', '「', '年月日', '」', 'や', '「', '時分', '秒', '」', '「', '曜日', '」', 'など', 'の', 'データ', 'を', 'まとめ', 'た', 'もの', 'で', '、', '以下', 'の', 'メンバ']",['年月日'],NO,年月日,NO,NO
4,年月日,確実にこれを究明することは困難であるが、現存の『語録』に記された年月日を検したところでは、元文二年閏十一月三日に開かれたものを最古とし,"['確実', 'に', 'これ', 'を', '究明', 'する', 'こと', 'は', '困難', 'で', 'ある', 'が', '、', '現存', 'の', '『', '語録', '』', 'に', '記さ', 'れ', 'た', '年月日', 'を', '検', 'し', 'た', 'ところ', 'で', 'は', '、', '元', '文', '二', '年', '閏', '十一月', '三', '日', 'に', '開か', 'れ', 'た', 'もの', 'を', '最古', 'と', 'し']",['年月日'],NO,年月日,NO,NO
5,年月日,イトキン社が動物愛護協会から千駄谷の土地を購入したわけであります。その購入代金を支払いました年月日と金額を申し上げます。第一回は昭和四十八年十二月三日、これは予備契約時でございますが,"['イトキン', '社', 'が', '動物', '愛護', '協会', 'から', '千', '駄', '谷', 'の', '土地', 'を', '購入', 'し', 'た', 'わけ', 'で', 'あり', 'ます', '。', 'その', '購入', '代金', 'を', '支払い', 'まし', 'た', '年月日', 'と', '金額', 'を', '申し上げ', 'ます', '。', '第', '一', '回', 'は', '昭和', '四', '十', '八', '年', '十二月', '三', '日', '、', 'これ', 'は', '予備', '契約', '時', 'で', 'ござい', 'ます', 'が']",['年月日'],NO,年月日,NO,NO
6,年月日,ない。○物品の受領をするたびに、委託者から受領した物品の数量とその年月日を文書で示されない。●情報提供先茨城労働局労働基準部賃金室〒３１０‐００１５水戸市宮町１‐８‐三十一,"['ない', '。', '○', '物品', 'の', '受領', 'を', 'する', 'たび', 'に', '、', '委託', '者', 'から', '受領', 'し', 'た', '物品', 'の', '数量', 'と', 'その', '年月日', 'を', '文書', 'で', '示さ', 'れ', 'ない', '。', '●', '情報', '提供', '先', '茨城', '労働', '局', '労働', '基準', '部', '賃金', '室', '〒', '３', '１', '０', '‐', '０', '０', '１', '５', '水戸', '市', '宮', '町', '１', '‐', '８', '‐', '三', '十', '一']",['年月日'],NO,年月日,NO,NO
7,年月日,ません。「第何回の誕生日」，「古稀祝賀の日」のように，正確な年月日を知ることができるときは，差し支えがありません。しかし，「平成６年６月吉日」という,"['ませ', 'ん', '。', '「', '第', '何', '回', 'の', '誕生', '日', '」', '，', '「', '古稀', '祝賀', 'の', '日', '」', 'の', 'よう', 'に', '，', '正確', 'な', '年月日', 'を', '知る', 'こと', 'が', 'できる', 'とき', 'は', '，', '差し支え', 'が', 'あり', 'ませ', 'ん', '。', 'しかし', '，', '「', '平成', '６', '年', '６月', '吉日', '」', 'という']",['年月日'],NO,年月日,NO,NO
8,年月日,氏名又は名称及び住所又は居所並びに法人にあつては代表者の氏名二提出の年月日三意匠の創作をした者の氏名及び住所又は居所四意匠に係る,"['氏名', '又は', '名称', '及び', '住所', '又は', '居所', '並びに', '法人', 'に', 'あ', 'つて', 'は', '代表', '者', 'の', '氏名', '二', '提出', 'の', '年月日', '三', '意匠', 'の', '創作', 'を', 'し', 'た', '者', 'の', '氏名', '及び', '住所', '又は', '居所', '四', '意匠', 'に', '係る']",['年月日'],NO,年月日,NO,NO
9,年月日,の登記所に提出します。１受任者の住所・氏名を記載します。２本店移転を実施する年月日と新本店の所在地を記載します。３委任した年月日を記載します。４本店,"['の', '登記', '所', 'に', '提出', 'し', 'ます', '。', '１', '受任', '者', 'の', '住所', '・', '氏名', 'を', '記載', 'し', 'ます', '。', '２', '本店', '移転', 'を', '実施', 'する', '年月日', 'と', '新', '本店', 'の', '所在地', 'を', '記載', 'し', 'ます', '。', '３', '委任', 'し', 'た', '年月日', 'を', '記載', 'し', 'ます', '。', '４', '本店']",['年月日'],NO,年月日,NO,NO
