,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,兄弟,千本安打、二百ホーマーを打ち、打撃成績一位、二位を独占（千九百八十年）したこともある。さらに兄弟で、『ベースボール・ブギ』という歌をうたってレコードまで出した。彼らと並ぶ兄弟は,"['千', '本', '安打', '、', '二百', 'ホーマー', 'を', '打ち', '、', '打撃', '成績', '一', '位', '、', '二', '位', 'を', '独占', '（', '千九百八十', '年', '）', 'した', 'こと', 'も', 'ある', '。', 'さらに', '兄弟', 'で', '、', '『', 'ベースボール', '・', 'ブギ', '』', 'と', 'いう', '歌', 'を', 'うたって', 'レコード', 'まで', '出した', '。', '彼', 'ら', 'と', '並ぶ', '兄弟', 'は']",['兄弟'],NO,兄弟,NO,NO
1,兄弟,千本安打、二百ホーマーを打ち、打撃成績一位、二位を独占（千九百八十年）したこともある。さらに兄弟で、『ベースボール・ブギ』という歌をうたってレコードまで出した。彼らと並ぶ兄弟は,"['千', '本', '安打', '、', '二百', 'ホーマー', 'を', '打ち', '、', '打撃', '成績', '一', '位', '、', '二', '位', 'を', '独占', '（', '千九百八十', '年', '）', 'した', 'こと', 'も', 'ある', '。', 'さらに', '兄弟', 'で', '、', '『', 'ベースボール', '・', 'ブギ', '』', 'と', 'いう', '歌', 'を', 'うたって', 'レコード', 'まで', '出した', '。', '彼', 'ら', 'と', '並ぶ', '兄弟', 'は']",['兄弟'],NO,兄弟,NO,NO
2,兄弟,かどうかわかりませんが）と親王」の関係は何でしょうか？腹違いの兄弟です守貞親王（もりさだしんのう、治承３年２月二十八日（千百七十九年４月６日）‐貞応２年５月十四日（,"['か', 'どう', 'か', 'わかり', 'ませ', 'ん', 'が', '）', 'と', '親王', '」', 'の', '関係', 'は', '何で', 'しょうか', '？', '腹違い', 'の', '兄弟', 'です', '守', '貞', '親王', '（', 'もり', 'さ', 'だ', 'しんのう', '、', '治承', '３', '年', '２', '月', '二十八', '日', '（', '千百七十九', '年', '４', '月', '６', '日', '）', '‐', '貞応', '２', '年', '５', '月', '十四', '日', '（']",['兄弟'],NO,兄弟,NO,NO
3,兄弟,泉の神は夫婦である」、「セッチンの神様と荒（金？）神様は兄弟である」といった伝承もある。これは、厠と倉が対の関係にあった,"['泉', 'の', '神', 'は', '夫婦', 'である', '」', '、', '「', 'セッチン', 'の', '神様', 'と', '荒', '（', '金', '？', '）', '神様', 'は', '兄弟', 'である', '」', 'と', 'いった', '伝承', 'も', 'ある', '。', 'これ', 'は', '、', '厠', 'と', '倉', 'が', '対', 'の', '関係', 'に', 'あった']",['兄弟'],NO,兄弟,NO,NO
4,兄弟,のを激しくいやがるので、行けなくなってしまった…。・周りの子や兄弟と比べ、言葉が遅い気がする。心配だけど、どう接したらいいのかしら？,"['の', 'を', '激しく', 'いや', 'がる', 'ので', '、', '行け', 'なく', 'なって', 'しまった', '…', '。', '・', '周り', 'の', '子', 'や', '兄弟', 'と', '比べ', '、', '言葉', 'が', '遅い', '気', 'が', 'する', '。', '心配だ', 'けど', '、', 'どう', '接したら', 'いい', 'の', 'かしら', '？']",['兄弟'],NO,兄弟,NO,NO
5,兄弟,、すなわち従兄弟たちすべてが同じ「輩」に属するころになる。父とおじ（父の兄弟）の世代は、子どもたちの世代から見れば「先輩」にあたり、反対に父の,"['、', 'すなわち', '従兄弟', 'たち', 'すべて', 'が', '同じ', '「', '輩', '」', 'に', '属する', 'ころ', 'に', 'なる', '。', '父', 'と', 'おじ', '（', '父', 'の', '兄弟', '）', 'の', '世代', 'は', '、', '子ども', 'たち', 'の', '世代', 'から', '見れば', '「', '先輩', '」', 'に', 'あたり', '、', '反対に', '父', 'の']",['従兄弟'],NO,兄弟,NO,YES
6,兄弟,、すなわち従兄弟たちすべてが同じ「輩」に属するころになる。父とおじ（父の兄弟）の世代は、子どもたちの世代から見れば「先輩」にあたり、反対に父の,"['、', 'すなわち', '従兄弟', 'たち', 'すべて', 'が', '同じ', '「', '輩', '」', 'に', '属する', 'ころ', 'に', 'なる', '。', '父', 'と', 'おじ', '（', '父', 'の', '兄弟', '）', 'の', '世代', 'は', '、', '子ども', 'たち', 'の', '世代', 'から', '見れば', '「', '先輩', '」', 'に', 'あたり', '、', '反対に', '父', 'の']",['兄弟'],NO,兄弟,NO,NO
7,兄弟,縉は、大斧をよくつかい、弟の紳は方天戟の妙手として名がある。兄弟しめし合わせて、彼を挾み討ちに、「のがれぬ所だ。はやく降れ」と,"['縉', 'は', '、', '大', '斧', 'を', 'よく', 'つかい', '、', '弟', 'の', '紳', 'は', '方天戟', 'の', '妙手', 'と', 'して', '名', 'が', 'ある', '。', '兄弟', 'しめし合わせて', '、', '彼', 'を', '挾', 'み', '討ち', 'に', '、', '「', 'のがれ', 'ぬ', '所', 'だ', '。', 'はやく', '降れ', '」', 'と']",['兄弟'],NO,兄弟,NO,NO
8,兄弟,お迎えすることができませんでした。天下において初めて催す祝宴の中に、怨讐となった兄弟、怨讐となった男女が、再び神様の法度に従って天道の大道を明らか,"['お迎え', 'する', 'こと', 'が', 'でき', 'ませ', 'ん', 'でした', '。', '天下', 'に', 'おいて', '初めて', '催す', '祝宴', 'の', '中', 'に', '、', '怨讐', 'と', 'なった', '兄弟', '、', '怨讐', 'と', 'なった', '男女', 'が', '、', '再び', '神様', 'の', '法', '度', 'に', '従って', '天', '道', 'の', '大', '道', 'を', '明らか']",['兄弟'],NO,兄弟,NO,NO
9,兄弟,」復刊後の昭和六年ごろから、砧村大蔵西山野の家に来られた時、私たち幼い兄弟を相手に千代紙を折り始められ、さては新聞紙を千代紙代りにされたので、ついに,"['」', '復刊', '後', 'の', '昭和', '六', '年', 'ごろ', 'から', '、', '砧', '村', '大蔵', '西', '山野', 'の', '家', 'に', '来', 'られた', '時', '、', '私', 'たち', '幼い', '兄弟', 'を', '相手', 'に', '千代紙', 'を', '折り', '始め', 'られ', '、', 'さては', '新聞', '紙', 'を', '千', '代', '紙', '代り', 'に', 'さ', 'れた', 'ので', '、', 'ついに']",['兄弟'],NO,兄弟,NO,NO
