,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,父母,長男の嫁です。義理の父母は墓を持ってません。どちらかが、亡くなった時に私たちに建てろ,"['長男', 'の', '嫁', 'です', '。', '義理', 'の', '父母', 'は', '墓', 'を', '持って', 'ませ', 'ん', '。', 'どちら', 'か', 'が', '、', '亡くなった', '時', 'に', '私', 'たち', 'に', '建てろ']",['父母'],NO,父母,NO,NO
1,父母,敷地となっている土地又は借地権でその年１月１日における所有期間が十年を超えるもの（父母又は祖父母（以下「父等」といいます。）が居住の用に供していた,"['敷地', 'と', 'なって', 'いる', '土地', '又は', '借地', '権', 'で', 'その', '年', '１', '月', '１', '日', 'に', 'おける', '所有', '期間', 'が', '十', '年', 'を', '超える', 'もの', '（', '父母', '又は', '祖父母', '（', '以下', '「', '父', '等', '」', 'と', 'いい', 'ます', '。', '）', 'が', '居住', 'の', '用', 'に', '供して', 'いた']",['父母'],NO,父母,NO,NO
2,父母,敷地となっている土地又は借地権でその年１月１日における所有期間が十年を超えるもの（父母又は祖父母（以下「父等」といいます。）が居住の用に供していた,"['敷地', 'と', 'なって', 'いる', '土地', '又は', '借地', '権', 'で', 'その', '年', '１', '月', '１', '日', 'に', 'おける', '所有', '期間', 'が', '十', '年', 'を', '超える', 'もの', '（', '父母', '又は', '祖父母', '（', '以下', '「', '父', '等', '」', 'と', 'いい', 'ます', '。', '）', 'が', '居住', 'の', '用', 'に', '供して', 'いた']",['祖父母'],NO,父母,NO,YES
3,父母,虐待者二十三件中不明（記載からは不明）３件を除くと，虐待者のほとんどは実の父母どちらか（もしくは両方）である。継父，実母の内縁関係の夫（同棲相手）が４件,"['虐待', '者', '二十三', '件', '中', '不明', '（', '記載', 'から', 'は', '不明', '）', '３', '件', 'を', '除く', 'と', '，', '虐待', '者', 'の', 'ほとんど', 'は', '実の', '父母', 'どちら', 'か', '（', 'もしくは', '両方', '）', 'である', '。', '継', '父', '，', '実母', 'の', '内縁', '関係', 'の', '夫', '（', '同棲', '相手', '）', 'が', '４', '件']",['父母'],NO,父母,NO,NO
4,父母,私がふだんに母と呼び父と言うのは、昔も今も育ての父母のことです。私は中学校（男子だけの学校で五年制）に進学できる成績はあっ,"['私', 'が', 'ふだん', 'に', '母', 'と', '呼び', '父', 'と', '言う', 'の', 'は', '、', '昔', 'も', '今', 'も', '育て', 'の', '父母', 'の', 'こと', 'です', '。', '私', 'は', '中学校', '（', '男子', 'だけ', 'の', '学校', 'で', '五', '年', '制', '）', 'に', '進学', 'できる', '成績', 'は', 'あっ']",['父母'],NO,父母,NO,NO
5,父母,社会全体においても、地域社会においても、家庭においても、子どもたちを守ることは、男女（父母）を問わず大人たるものの重大な責任のひとつのはずである。が、こう,"['社会', '全体', 'に', 'おいて', 'も', '、', '地域', '社会', 'に', 'おいて', 'も', '、', '家庭', 'に', 'おいて', 'も', '、', '子ども', 'たち', 'を', '守る', 'こと', 'は', '、', '男女', '（', '父母', '）', 'を', '問わ', 'ず', '大人', 'たる', 'もの', 'の', '重大な', '責任', 'の', 'ひと', 'つ', 'の', 'はずである', '。', 'が', '、', 'こう']",['父母'],NO,父母,NO,NO
6,父母,第五には、精神の集注統一（瞑想）を敬う。６第六には、父母を敬い、すなおに従う。７第七には、勝手気ままにだらけないようにする,"['第', '五', 'に', 'は', '、', '精神', 'の', '集', '注', '統一', '（', '瞑想', '）', 'を', '敬う', '。', '６', '第', '六', 'に', 'は', '、', '父母', 'を', '敬い', '、', 'すなおに', '従う', '。', '７', '第', '七', 'に', 'は', '、', '勝手気ままに', 'だらけ', 'ない', 'ように', 'する']",['父母'],NO,父母,NO,NO
7,父母,と仮定すると、おおよそ二十七代前のご先祖・・・という事になります。二十七代というと父母２人の二十七乗で、私の先祖は単純で１億三千四百二十一万七千七百二十八人の祖先がいる事になり、,"['と', '仮定', 'する', 'と', '、', 'おおよそ', '二十七', '代', '前', 'の', 'ご', '先祖', '・', '・', '・', 'と', 'いう', '事', 'に', 'なり', 'ます', '。', '二十七', '代', 'と', 'いう', 'と', '父母', '２', '人', 'の', '二十七', '乗', 'で', '、', '私', 'の', '先祖', 'は', '単純で', '１億三千四百二十一万七千七百二十八', '人', 'の', '祖先', 'が', 'いる', '事', 'に', 'なり', '、']",['父母'],NO,父母,NO,NO
8,父母,はその『仮名法語』のなかに「白骨無常を示す事」という一条をもうけて、父母、師長、夫婦、兄弟、朋友のすべてが一人残らず白骨となることを繰り返し,"['は', 'その', '『', '仮名', '法', '語', '』', 'の', 'なか', 'に', '「', '白骨', '無常', 'を', '示す', '事', '」', 'と', 'いう', '一', '条', 'を', 'もうけて', '、', '父母', '、', '師', '長', '、', '夫婦', '、', '兄弟', '、', '朋友', 'の', 'すべて', 'が', '一', '人', '残ら', 'ず', '白骨', 'と', 'なる', 'こと', 'を', '繰り返し']",['父母'],NO,父母,NO,NO
9,父母,てしまうのはちょっと早計です。守護霊との関係は、すでに亡くなった曽祖父母、祖父母、父母、兄弟姉妹だけでなく、すでに記憶から消えてしまっている伯父、叔父、伯母、叔母、従兄弟、,"['て', 'しまう', 'の', 'は', 'ちょっと', '早計', 'です', '。', '守護', '霊', 'と', 'の', '関係', 'は', '、', 'すでに', '亡くなった', '曽祖', '父母', '、', '祖父母', '、', '父母', '、', '兄弟', '姉妹', 'だけ', 'で', 'なく', '、', 'すでに', '記憶', 'から', '消えて', 'しまって', 'いる', '伯父', '、', '叔父', '、', '伯母', '、', '叔母', '、', '従兄弟', '、']",['父母'],NO,父母,NO,NO
