,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,英独仏,人口に占める兵員の数では、アメリカとフランスが拮抗している。もちろん日本は英独仏より低い。人口に占める兵員数が最も多い国はイスラエルで、千人に二十五人（二．五％,"['人口', 'に', '占める', '兵員', 'の', '数', 'で', 'は', '、', 'アメリカ', 'と', 'フランス', 'が', '拮抗', 'して', 'いる', '。', 'もちろん', '日本', 'は', '英', '独', '仏', 'より', '低い', '。', '人口', 'に', '占める', '兵員', '数', 'が', '最も', '多い', '国', 'は', 'イスラエル', 'で', '、', '千', '人', 'に', '二十五', '人', '（', '二', '．', '五', '％']","['英', '独', '仏']",YES,英独仏,NO,NO
1,英独仏,独仏より少ない２独仏より多い３だいたい同じ兵員の人口比は？１英独仏より低い２英独仏より高い３英独仏とほぼ同じ◆国防予算では断トツ,"['独', '仏', 'より', '少ない', '２', '独', '仏', 'より', '多い', '３', 'だいたい', '同じ', '兵員', 'の', '人口', '比', 'は', '？', '１', '英', '独', '仏', 'より', '低い', '２', '英', '独', '仏', 'より', '高い', '３', '英', '独', '仏', 'と', 'ほぼ', '同じ', '◆', '国防', '予算', 'で', 'は', '断トツ']","['英', '独', '仏']",YES,英独仏,NO,NO
2,英独仏,独仏より少ない２独仏より多い３だいたい同じ兵員の人口比は？１英独仏より低い２英独仏より高い３英独仏とほぼ同じ◆国防予算では断トツ,"['独', '仏', 'より', '少ない', '２', '独', '仏', 'より', '多い', '３', 'だいたい', '同じ', '兵員', 'の', '人口', '比', 'は', '？', '１', '英', '独', '仏', 'より', '低い', '２', '英', '独', '仏', 'より', '高い', '３', '英', '独', '仏', 'と', 'ほぼ', '同じ', '◆', '国防', '予算', 'で', 'は', '断トツ']","['英', '独', '仏']",YES,英独仏,NO,NO
3,英独仏,独仏より少ない２独仏より多い３だいたい同じ兵員の人口比は？１英独仏より低い２英独仏より高い３英独仏とほぼ同じ◆国防予算では断トツ,"['独', '仏', 'より', '少ない', '２', '独', '仏', 'より', '多い', '３', 'だいたい', '同じ', '兵員', 'の', '人口', '比', 'は', '？', '１', '英', '独', '仏', 'より', '低い', '２', '英', '独', '仏', 'より', '高い', '３', '英', '独', '仏', 'と', 'ほぼ', '同じ', '◆', '国防', '予算', 'で', 'は', '断トツ']","['英', '独', '仏']",YES,英独仏,NO,NO
4,英独仏,です。辞書も、つねに父の関心の的でした。国語、漢和、英独仏、ラテン、ギリシャ、どんな辞書もこれで満足、ということはなかったようです。用途によって,"['です', '。', '辞書', 'も', '、', 'つねに', '父', 'の', '関心', 'の', '的', 'でした', '。', '国語', '、', '漢和', '、', '英', '独', '仏', '、', 'ラテン', '、', 'ギリシャ', '、', 'どんな', '辞書', 'も', 'これ', 'で', '満足', '、', 'と', 'いう', 'こと', 'は', 'なかった', 'ようです', '。', '用途', 'に', 'よって']","['英', '独', '仏']",YES,英独仏,NO,NO
5,英独仏,会える」と明るい声で語った。二十一・四十フセイン政権が崩壊状態になったことについて、英独仏３カ国を訪問する川口外相は９日夜、成田空港で同行記者団に対し「まだ（米英軍が）全土を押さえ,"['会える', '」', 'と', '明るい', '声', 'で', '語った', '。', '二十一・四十', 'フセイン', '政権', 'が', '崩壊', '状態', 'に', 'なった', 'こと', 'に', 'ついて', '、', '英', '独', '仏', '３', 'カ国', 'を', '訪問', 'する', '川口', '外', '相', 'は', '９', '日', '夜', '、', '成田', '空港', 'で', '同行', '記者', '団', 'に', '対し', '「', 'まだ', '（', '米', '英', '軍', 'が', '）', '全土', 'を', '押さえ']","['英', '独', '仏']",YES,英独仏,NO,NO
6,英独仏,みても、大統領制をとるアメリカが約四千六百人のスタッフを擁しているのは別格として、英独仏といった議院内閣制（フランスは「半大統領制」）をとる国々は四百五十人から九百人程度である。確か,"['みて', 'も', '、', '大統領', '制', 'を', 'とる', 'アメリカ', 'が', '約', '四千六百', '人', 'の', 'スタッフ', 'を', '擁して', 'いる', 'の', 'は', '別格', 'と', 'して', '、', '英', '独', '仏', 'と', 'いった', '議院', '内閣', '制', '（', 'フランス', 'は', '「', '半', '大統領', '制', '」', '）', 'を', 'とる', '国々', 'は', '四百五十', '人', 'から', '九百', '人', '程度', 'である', '。', '確か']","['英', '独', '仏']",YES,英独仏,NO,NO
7,英独仏,独仏より多い３だいたい同じ兵員の人口比は？１英独仏より低い２英独仏より高い３英独仏とほぼ同じ◆国防予算では断トツのアメリカだが、,"['独', '仏', 'より', '多い', '３', 'だいたい', '同じ', '兵員', 'の', '人口', '比', 'は', '？', '１', '英', '独', '仏', 'より', '低い', '２', '英', '独', '仏', 'より', '高い', '３', '英', '独', '仏', 'と', 'ほぼ', '同じ', '◆', '国防', '予算', 'で', 'は', '断トツ', 'の', 'アメリカ', 'だ', 'が', '、']","['英', '独', '仏']",YES,英独仏,NO,NO
8,英独仏,独仏より多い３だいたい同じ兵員の人口比は？１英独仏より低い２英独仏より高い３英独仏とほぼ同じ◆国防予算では断トツのアメリカだが、,"['独', '仏', 'より', '多い', '３', 'だいたい', '同じ', '兵員', 'の', '人口', '比', 'は', '？', '１', '英', '独', '仏', 'より', '低い', '２', '英', '独', '仏', 'より', '高い', '３', '英', '独', '仏', 'と', 'ほぼ', '同じ', '◆', '国防', '予算', 'で', 'は', '断トツ', 'の', 'アメリカ', 'だ', 'が', '、']","['英', '独', '仏']",YES,英独仏,NO,NO
9,英独仏,独仏より多い３だいたい同じ兵員の人口比は？１英独仏より低い２英独仏より高い３英独仏とほぼ同じ◆国防予算では断トツのアメリカだが、,"['独', '仏', 'より', '多い', '３', 'だいたい', '同じ', '兵員', 'の', '人口', '比', 'は', '？', '１', '英', '独', '仏', 'より', '低い', '２', '英', '独', '仏', 'より', '高い', '３', '英', '独', '仏', 'と', 'ほぼ', '同じ', '◆', '国防', '予算', 'で', 'は', '断トツ', 'の', 'アメリカ', 'だ', 'が', '、']","['英', '独', '仏']",YES,英独仏,NO,NO
