,,ipadic,ipadic,ipadic,ipadic,jumandic,jumandic,jumandic,jumandic,unidic,unidic,unidic,unidic
,,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages
the unit is split,,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES
,compound unit,,,,,,,,,,,,
wago_nouns_longer,割り引き,338,0,1.0,0.0,335,3,0.9911242603550295,0.008875739644970414,336,2,0.9940828402366864,0.005917159763313609
wago_nouns_longer,取り組み,561,0,1.0,0.0,561,0,1.0,0.0,561,0,1.0,0.0
wago_nouns_longer,受け付け,617,0,1.0,0.0,617,0,1.0,0.0,617,0,1.0,0.0
wago_nouns_longer,売り上げ,622,0,1.0,0.0,0,622,0.0,1.0,622,0,1.0,0.0
wago_nouns_longer,差し出し,21,0,1.0,0.0,21,0,1.0,0.0,21,0,1.0,0.0
wago_nouns_longer,押し売り,49,0,1.0,0.0,49,0,1.0,0.0,49,0,1.0,0.0
wago_nouns_longer,申し込み,681,0,1.0,0.0,681,0,1.0,0.0,681,0,1.0,0.0
wago_nouns_longer,組み立て,387,7,0.9822335025380711,0.017766497461928935,394,0,1.0,0.0,392,2,0.9949238578680203,0.005076142131979695
wago_nouns_longer,飛び込み,79,0,1.0,0.0,0,79,0.0,1.0,79,0,1.0,0.0
wago_nouns_shorter,割引き,278,6,0.9788732394366197,0.02112676056338028,265,19,0.9330985915492958,0.06690140845070422,279,5,0.9823943661971831,0.017605633802816902
wago_nouns_shorter,取組み,533,1,0.99812734082397,0.0018726591760299626,533,1,0.99812734082397,0.0018726591760299626,534,0,1.0,0.0
wago_nouns_shorter,受付け,530,0,1.0,0.0,528,2,0.9962264150943396,0.0037735849056603774,530,0,1.0,0.0
wago_nouns_shorter,売上げ,564,0,1.0,0.0,564,0,1.0,0.0,564,0,1.0,0.0
wago_nouns_shorter,差出し,16,3,0.8421052631578947,0.15789473684210525,19,0,1.0,0.0,19,0,1.0,0.0
wago_nouns_shorter,押売り,0,49,0.0,1.0,49,0,1.0,0.0,49,0,1.0,0.0
wago_nouns_shorter,申込み,407,161,0.7165492957746479,0.2834507042253521,568,0,1.0,0.0,568,0,1.0,0.0
wago_nouns_shorter,組立て,382,6,0.9845360824742269,0.015463917525773196,362,26,0.9329896907216495,0.06701030927835051,384,4,0.9896907216494846,0.010309278350515464
wago_nouns_shorter,飛込み,79,0,1.0,0.0,0,79,0.0,1.0,79,0,1.0,0.0
wago_nouns_shortest,割引,333,5,0.985207100591716,0.014792899408284023,333,5,0.985207100591716,0.014792899408284023,334,4,0.9881656804733728,0.011834319526627219
wago_nouns_shortest,取組,561,0,1.0,0.0,561,0,1.0,0.0,560,1,0.9982174688057041,0.0017825311942959
wago_nouns_shortest,受付,617,0,1.0,0.0,617,0,1.0,0.0,617,0,1.0,0.0
wago_nouns_shortest,売上,619,3,0.9951768488745981,0.00482315112540193,621,1,0.9983922829581994,0.001607717041800643,618,4,0.9935691318327974,0.006430868167202572
wago_nouns_shortest,差出,17,4,0.8095238095238095,0.19047619047619047,21,0,1.0,0.0,20,1,0.9523809523809523,0.047619047619047616
wago_nouns_shortest,押売,49,0,1.0,0.0,49,0,1.0,0.0,49,0,1.0,0.0
wago_nouns_shortest,申込,675,6,0.9911894273127754,0.00881057268722467,681,0,1.0,0.0,681,0,1.0,0.0
wago_nouns_shortest,組立,394,0,1.0,0.0,390,4,0.9898477157360406,0.01015228426395939,394,0,1.0,0.0
wago_nouns_shortest,飛込,3,76,0.0379746835443038,0.9620253164556962,79,0,1.0,0.0,1,78,0.012658227848101266,0.9873417721518988
