,,ipadic,ipadic,ipadic,ipadic,jumandic,jumandic,jumandic,jumandic,unidic,unidic,unidic,unidic
,,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages
unexpected joining,,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES
,compound unit,,,,,,,,,,,,
wago_nouns_longer,割り引き,338,0,1.0,0.0,335,3,0.9911242603550295,0.008875739644970414,336,2,0.9940828402366864,0.005917159763313609
wago_nouns_longer,取り組み,561,0,1.0,0.0,561,0,1.0,0.0,561,0,1.0,0.0
wago_nouns_longer,受け付け,617,0,1.0,0.0,612,5,0.9918962722852512,0.008103727714748784,617,0,1.0,0.0
wago_nouns_longer,売り上げ,622,0,1.0,0.0,621,1,0.9983922829581994,0.001607717041800643,622,0,1.0,0.0
wago_nouns_longer,差し出し,21,0,1.0,0.0,20,1,0.9523809523809523,0.047619047619047616,21,0,1.0,0.0
wago_nouns_longer,押し売り,49,0,1.0,0.0,49,0,1.0,0.0,49,0,1.0,0.0
wago_nouns_longer,申し込み,681,0,1.0,0.0,681,0,1.0,0.0,681,0,1.0,0.0
wago_nouns_longer,組み立て,384,10,0.9746192893401016,0.025380710659898477,380,14,0.9644670050761421,0.03553299492385787,384,10,0.9746192893401016,0.025380710659898477
wago_nouns_longer,飛び込み,78,1,0.9873417721518988,0.012658227848101266,77,2,0.9746835443037974,0.02531645569620253,79,0,1.0,0.0
wago_nouns_shorter,割引き,282,2,0.9929577464788732,0.007042253521126761,271,13,0.954225352112676,0.045774647887323945,282,2,0.9929577464788732,0.007042253521126761
wago_nouns_shorter,取組み,533,1,0.99812734082397,0.0018726591760299626,533,1,0.99812734082397,0.0018726591760299626,534,0,1.0,0.0
wago_nouns_shorter,受付け,530,0,1.0,0.0,525,5,0.9905660377358491,0.009433962264150943,530,0,1.0,0.0
wago_nouns_shorter,売上げ,564,0,1.0,0.0,564,0,1.0,0.0,564,0,1.0,0.0
wago_nouns_shorter,差出し,19,0,1.0,0.0,18,1,0.9473684210526315,0.05263157894736842,19,0,1.0,0.0
wago_nouns_shorter,押売り,49,0,1.0,0.0,49,0,1.0,0.0,49,0,1.0,0.0
wago_nouns_shorter,申込み,567,1,0.9982394366197183,0.0017605633802816902,568,0,1.0,0.0,568,0,1.0,0.0
wago_nouns_shorter,組立て,378,10,0.9742268041237113,0.02577319587628866,374,14,0.9639175257731959,0.03608247422680412,378,10,0.9742268041237113,0.02577319587628866
wago_nouns_shorter,飛込み,79,0,1.0,0.0,59,20,0.7468354430379747,0.25316455696202533,79,0,1.0,0.0
wago_nouns_shortest,割引,333,5,0.985207100591716,0.014792899408284023,333,5,0.985207100591716,0.014792899408284023,333,5,0.985207100591716,0.014792899408284023
wago_nouns_shortest,取組,555,6,0.9893048128342246,0.0106951871657754,554,7,0.9875222816399287,0.012477718360071301,555,6,0.9893048128342246,0.0106951871657754
wago_nouns_shortest,受付,615,2,0.9967585089141004,0.0032414910858995136,610,7,0.9886547811993517,0.011345218800648298,615,2,0.9967585089141004,0.0032414910858995136
wago_nouns_shortest,売上,586,36,0.9421221864951769,0.05787781350482315,572,50,0.9196141479099679,0.08038585209003216,585,37,0.9405144694533762,0.0594855305466238
wago_nouns_shortest,差出,20,1,0.9523809523809523,0.047619047619047616,19,2,0.9047619047619048,0.09523809523809523,20,1,0.9523809523809523,0.047619047619047616
wago_nouns_shortest,押売,49,0,1.0,0.0,49,0,1.0,0.0,49,0,1.0,0.0
wago_nouns_shortest,申込,665,16,0.9765051395007343,0.023494860499265784,665,16,0.9765051395007343,0.023494860499265784,665,16,0.9765051395007343,0.023494860499265784
wago_nouns_shortest,組立,387,7,0.9822335025380711,0.017766497461928935,386,8,0.9796954314720813,0.02030456852791878,379,15,0.9619289340101523,0.03807106598984772
wago_nouns_shortest,飛込,75,4,0.9493670886075949,0.05063291139240506,79,0,1.0,0.0,77,2,0.9746835443037974,0.02531645569620253
