,,ipadic,ipadic,ipadic,ipadic,jumandic,jumandic,jumandic,jumandic,unidic,unidic,unidic,unidic
,,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages
unexpected joining,,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES
,compound unit,,,,,,,,,,,,
wago_verbs_longer,勝ち越す,96,0,1.0,0.0,46,50,0.4791666666666667,0.5208333333333334,96,0,1.0,0.0
wago_verbs_longer,取り組む,524,2,0.9961977186311787,0.0038022813688212928,297,229,0.564638783269962,0.435361216730038,525,1,0.9980988593155894,0.0019011406844106464
wago_verbs_longer,呼び出す,551,0,1.0,0.0,401,150,0.7277676950998185,0.27223230490018147,551,0,1.0,0.0
wago_verbs_longer,差し出す,520,0,1.0,0.0,232,288,0.4461538461538462,0.5538461538461539,520,0,1.0,0.0
wago_verbs_longer,振り込む,628,0,1.0,0.0,422,206,0.6719745222929936,0.32802547770700635,628,0,1.0,0.0
wago_verbs_longer,書き込む,566,6,0.9895104895104895,0.01048951048951049,346,226,0.6048951048951049,0.3951048951048951,566,6,0.9895104895104895,0.01048951048951049
wago_verbs_longer,申し込む,602,1,0.9983416252072969,0.001658374792703151,310,293,0.5140961857379768,0.4859038142620232,602,1,0.9983416252072969,0.001658374792703151
wago_verbs_longer,飛び込む,519,2,0.9961612284069098,0.003838771593090211,151,370,0.28982725527831094,0.710172744721689,521,0,1.0,0.0
wago_verbs_shorter,勝越す,96,0,1.0,0.0,46,50,0.4791666666666667,0.5208333333333334,96,0,1.0,0.0
wago_verbs_shorter,取組む,527,2,0.996219281663516,0.003780718336483932,300,229,0.5671077504725898,0.43289224952741023,493,36,0.9319470699432892,0.06805293005671077
wago_verbs_shorter,呼出す,557,1,0.9982078853046595,0.0017921146953405018,406,152,0.7275985663082437,0.2724014336917563,558,0,1.0,0.0
wago_verbs_shorter,差出す,520,0,1.0,0.0,232,288,0.4461538461538462,0.5538461538461539,520,0,1.0,0.0
wago_verbs_shorter,振込む,683,3,0.9956268221574344,0.004373177842565598,470,216,0.685131195335277,0.31486880466472306,684,2,0.9970845481049563,0.0029154518950437317
wago_verbs_shorter,書込む,567,7,0.9878048780487805,0.012195121951219513,349,225,0.60801393728223,0.39198606271777003,568,6,0.9895470383275261,0.010452961672473868
wago_verbs_shorter,申込む,624,2,0.9968051118210862,0.003194888178913738,331,295,0.5287539936102237,0.4712460063897764,588,38,0.939297124600639,0.06070287539936102
wago_verbs_shorter,飛込む,519,2,0.9961612284069098,0.003838771593090211,195,326,0.3742802303262956,0.6257197696737045,521,0,1.0,0.0
