,,,ipadic,ipadic,ipadic,ipadic,jumandic,jumandic,jumandic,jumandic,unidic,unidic,unidic,unidic
,,,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages
unexpected segmentation,,,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES
postfix,unit length,compound unit,,,,,,,,,,,,
員,2,一員,511,0,1.0,0.0,511,0,1.0,0.0,511,0,1.0,0.0
員,2,人員,633,0,1.0,0.0,633,0,1.0,0.0,633,0,1.0,0.0
員,2,会員,686,0,1.0,0.0,686,0,1.0,0.0,686,0,1.0,0.0
員,2,全員,535,0,1.0,0.0,535,0,1.0,0.0,535,0,1.0,0.0
員,2,委員,797,0,1.0,0.0,797,0,1.0,0.0,797,0,1.0,0.0
員,2,役員,720,0,1.0,0.0,720,0,1.0,0.0,720,0,1.0,0.0
員,2,総員,18,0,1.0,0.0,18,0,1.0,0.0,18,0,1.0,0.0
員,2,職員,721,0,1.0,0.0,721,0,1.0,0.0,721,0,1.0,0.0
員,2,船員,459,0,1.0,0.0,459,0,1.0,0.0,459,0,1.0,0.0
員,2,行員,96,0,1.0,0.0,96,0,1.0,0.0,96,0,1.0,0.0
員,3,会社員,489,0,1.0,0.0,488,1,0.9979550102249489,0.002044989775051125,488,1,0.9979550102249489,0.002044989775051125
員,3,作業員,218,0,1.0,0.0,218,0,1.0,0.0,218,0,1.0,0.0
員,3,従業員,593,0,1.0,0.0,593,0,1.0,0.0,593,0,1.0,0.0
員,3,添乗員,173,0,1.0,0.0,173,0,1.0,0.0,173,0,1.0,0.0
員,3,特派員,113,0,1.0,0.0,113,0,1.0,0.0,113,0,1.0,0.0
員,3,組合員,723,0,1.0,0.0,723,0,1.0,0.0,723,0,1.0,0.0
員,3,通報員,3,0,1.0,0.0,3,0,1.0,0.0,3,0,1.0,0.0
員,3,銀行員,206,0,1.0,0.0,206,0,1.0,0.0,206,0,1.0,0.0
場,2,上場,205,0,1.0,0.0,205,0,1.0,0.0,205,0,1.0,0.0
場,2,会場,577,0,1.0,0.0,577,0,1.0,0.0,577,0,1.0,0.0
場,2,劇場,652,0,1.0,0.0,652,0,1.0,0.0,652,0,1.0,0.0
場,2,地場,51,0,1.0,0.0,51,0,1.0,0.0,51,0,1.0,0.0
場,2,夏場,386,0,1.0,0.0,386,0,1.0,0.0,386,0,1.0,0.0
場,2,工場,662,0,1.0,0.0,662,0,1.0,0.0,662,0,1.0,0.0
場,2,市場,696,0,1.0,0.0,696,0,1.0,0.0,696,0,1.0,0.0
場,2,広場,594,0,1.0,0.0,594,0,1.0,0.0,594,0,1.0,0.0
場,2,式場,195,0,1.0,0.0,195,0,1.0,0.0,195,0,1.0,0.0
場,2,役場,394,0,1.0,0.0,394,0,1.0,0.0,394,0,1.0,0.0
場,2,戦場,534,0,1.0,0.0,534,0,1.0,0.0,534,0,1.0,0.0
場,2,現場,571,0,1.0,0.0,571,0,1.0,0.0,571,0,1.0,0.0
場,2,球場,323,0,1.0,0.0,323,0,1.0,0.0,323,0,1.0,0.0
場,2,登場,539,0,1.0,0.0,539,0,1.0,0.0,539,0,1.0,0.0
場,2,相場,629,0,1.0,0.0,629,0,1.0,0.0,629,0,1.0,0.0
場,2,立場,562,0,1.0,0.0,562,0,1.0,0.0,562,0,1.0,0.0
場,2,職場,552,0,1.0,0.0,552,0,1.0,0.0,552,0,1.0,0.0
場,2,開場,290,0,1.0,0.0,290,0,1.0,0.0,290,0,1.0,0.0
場,2,馬場,404,0,1.0,0.0,404,0,1.0,0.0,404,0,1.0,0.0
場,3,事業場,280,0,1.0,0.0,280,0,1.0,0.0,280,0,1.0,0.0
場,3,処理場,24,0,1.0,0.0,24,0,1.0,0.0,24,0,1.0,0.0
場,3,採取場,34,0,1.0,0.0,34,0,1.0,0.0,34,0,1.0,0.0
場,3,練習場,106,0,1.0,0.0,106,0,1.0,0.0,106,0,1.0,0.0
場,3,運動場,199,0,1.0,0.0,199,0,1.0,0.0,199,0,1.0,0.0
場,3,野球場,99,0,1.0,0.0,98,1,0.98989898989899,0.010101010101010102,98,1,0.98989898989899,0.010101010101010102
場,3,飛行場,414,0,1.0,0.0,414,0,1.0,0.0,414,0,1.0,0.0
場,3,駐車場,596,0,1.0,0.0,596,0,1.0,0.0,596,0,1.0,0.0
場,3,駐輪場,158,0,1.0,0.0,158,0,1.0,0.0,158,0,1.0,0.0
士,2,兵士,607,0,1.0,0.0,607,0,1.0,0.0,607,0,1.0,0.0
士,2,同士,82,0,1.0,0.0,82,0,1.0,0.0,82,0,1.0,0.0
士,2,壮士,52,0,1.0,0.0,52,0,1.0,0.0,52,0,1.0,0.0
士,2,武士,633,0,1.0,0.0,633,0,1.0,0.0,633,0,1.0,0.0
士,2,浪士,53,0,1.0,0.0,53,0,1.0,0.0,53,0,1.0,0.0
士,2,範士,4,0,1.0,0.0,4,0,1.0,0.0,4,0,1.0,0.0
士,2,紳士,564,0,1.0,0.0,564,0,1.0,0.0,564,0,1.0,0.0
士,2,義士,19,0,1.0,0.0,19,0,1.0,0.0,19,0,1.0,0.0
士,2,藩士,125,0,1.0,0.0,125,0,1.0,0.0,125,0,1.0,0.0
士,2,騎士,599,0,1.0,0.0,599,0,1.0,0.0,599,0,1.0,0.0
士,3,代議士,213,0,1.0,0.0,213,0,1.0,0.0,213,0,1.0,0.0
士,3,会計士,80,0,1.0,0.0,80,0,1.0,0.0,80,0,1.0,0.0
士,3,保育士,220,0,1.0,0.0,220,0,1.0,0.0,220,0,1.0,0.0
士,3,弁護士,689,0,1.0,0.0,689,0,1.0,0.0,689,0,1.0,0.0
士,3,技能士,5,0,1.0,0.0,5,0,1.0,0.0,5,0,1.0,0.0
士,3,消防士,137,0,1.0,0.0,137,0,1.0,0.0,137,0,1.0,0.0
士,3,税理士,432,0,1.0,0.0,432,0,1.0,0.0,432,0,1.0,0.0
士,3,管理士,1,0,1.0,0.0,1,0,1.0,0.0,1,0,1.0,0.0
室,2,個室,580,0,1.0,0.0,580,0,1.0,0.0,580,0,1.0,0.0
室,2,側室,186,0,1.0,0.0,186,0,1.0,0.0,186,0,1.0,0.0
室,2,客室,372,0,1.0,0.0,372,0,1.0,0.0,372,0,1.0,0.0
室,2,密室,266,0,1.0,0.0,266,0,1.0,0.0,266,0,1.0,0.0
室,2,教室,595,0,1.0,0.0,595,0,1.0,0.0,595,0,1.0,0.0
室,2,正室,91,0,1.0,0.0,91,0,1.0,0.0,91,0,1.0,0.0
室,2,病室,545,0,1.0,0.0,545,0,1.0,0.0,545,0,1.0,0.0
室,2,皇室,468,0,1.0,0.0,468,0,1.0,0.0,468,0,1.0,0.0
室,2,自室,261,0,1.0,0.0,261,0,1.0,0.0,261,0,1.0,0.0
室,2,茶室,272,0,1.0,0.0,272,0,1.0,0.0,272,0,1.0,0.0
室,3,事務室,187,0,1.0,0.0,187,0,1.0,0.0,187,0,1.0,0.0
室,3,保健室,153,0,1.0,0.0,153,0,1.0,0.0,153,0,1.0,0.0
室,3,冷蔵室,30,0,1.0,0.0,30,0,1.0,0.0,30,0,1.0,0.0
室,3,喫茶室,49,0,1.0,0.0,49,0,1.0,0.0,49,0,1.0,0.0
室,3,図書室,246,0,1.0,0.0,246,0,1.0,0.0,246,0,1.0,0.0
室,3,実験室,195,0,1.0,0.0,195,0,1.0,0.0,195,0,1.0,0.0
室,3,研究室,557,0,1.0,0.0,557,0,1.0,0.0,557,0,1.0,0.0
室,3,美容室,191,0,1.0,0.0,191,0,1.0,0.0,191,0,1.0,0.0
室,3,調理室,80,0,1.0,0.0,80,0,1.0,0.0,80,0,1.0,0.0
家,2,作家,603,0,1.0,0.0,603,0,1.0,0.0,603,0,1.0,0.0
家,2,商家,182,0,1.0,0.0,182,0,1.0,0.0,182,0,1.0,0.0
家,2,画家,575,0,1.0,0.0,575,0,1.0,0.0,575,0,1.0,0.0
家,2,農家,659,0,1.0,0.0,659,0,1.0,0.0,659,0,1.0,0.0
家,3,作曲家,514,0,1.0,0.0,514,0,1.0,0.0,514,0,1.0,0.0
家,3,写真家,263,0,1.0,0.0,263,0,1.0,0.0,263,0,1.0,0.0
家,3,専門家,553,0,1.0,0.0,553,0,1.0,0.0,553,0,1.0,0.0
家,3,小説家,558,0,1.0,0.0,558,0,1.0,0.0,558,0,1.0,0.0
家,3,投資家,606,0,1.0,0.0,606,0,1.0,0.0,606,0,1.0,0.0
家,3,政治家,559,0,1.0,0.0,559,0,1.0,0.0,559,0,1.0,0.0
家,3,研究家,77,0,1.0,0.0,77,0,1.0,0.0,77,0,1.0,0.0
家,3,脚本家,109,0,1.0,0.0,109,0,1.0,0.0,109,0,1.0,0.0
家,3,舞踊家,30,0,1.0,0.0,30,0,1.0,0.0,30,0,1.0,0.0
家,3,音楽家,381,0,1.0,0.0,381,0,1.0,0.0,381,0,1.0,0.0
師,2,医師,639,0,1.0,0.0,639,0,1.0,0.0,639,0,1.0,0.0
師,2,彫師,59,0,1.0,0.0,59,0,1.0,0.0,59,0,1.0,0.0
師,2,恩師,286,0,1.0,0.0,286,0,1.0,0.0,286,0,1.0,0.0
師,2,教師,628,0,1.0,0.0,628,0,1.0,0.0,628,0,1.0,0.0
