,,,ipadic,ipadic,ipadic,ipadic,jumandic,jumandic,jumandic,jumandic,unidic,unidic,unidic,unidic
,,,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages
unexpected segmentation,,,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES
prefix,unit length,compound unit,,,,,,,,,,,,
不,2,不便,524,0,1.0,0.0,524,0,1.0,0.0,524,0,1.0,0.0
不,2,不利,530,0,1.0,0.0,530,0,1.0,0.0,530,0,1.0,0.0
不,2,不和,134,0,1.0,0.0,134,0,1.0,0.0,134,0,1.0,0.0
不,2,不安,593,0,1.0,0.0,593,0,1.0,0.0,593,0,1.0,0.0
不,2,不平,236,0,1.0,0.0,236,0,1.0,0.0,236,0,1.0,0.0
不,2,不明,551,0,1.0,0.0,551,0,1.0,0.0,551,0,1.0,0.0
不,2,不正,571,0,1.0,0.0,571,0,1.0,0.0,571,0,1.0,0.0
不,2,不満,553,0,1.0,0.0,553,0,1.0,0.0,553,0,1.0,0.0
不,2,不要,528,0,1.0,0.0,528,0,1.0,0.0,528,0,1.0,0.0
不,2,不調,491,0,1.0,0.0,491,0,1.0,0.0,491,0,1.0,0.0
不,2,不足,566,0,1.0,0.0,566,0,1.0,0.0,566,0,1.0,0.0
不,3,不勉強,51,0,1.0,0.0,51,0,1.0,0.0,51,0,1.0,0.0
不,3,不参加,50,0,1.0,0.0,50,0,1.0,0.0,50,0,1.0,0.0
不,3,不可能,514,0,1.0,0.0,514,0,1.0,0.0,514,0,1.0,0.0
不,3,不平等,326,0,1.0,0.0,326,0,1.0,0.0,316,10,0.9693251533742331,0.03067484662576687
不,3,不必要,389,0,1.0,0.0,389,0,1.0,0.0,389,0,1.0,0.0
不,3,不正確,109,0,1.0,0.0,109,0,1.0,0.0,109,0,1.0,0.0
不,3,不注意,254,0,1.0,0.0,254,0,1.0,0.0,254,0,1.0,0.0
不,3,不経済,43,0,1.0,0.0,43,0,1.0,0.0,43,0,1.0,0.0
不,3,不自由,529,0,1.0,0.0,529,0,1.0,0.0,529,0,1.0,0.0
不,3,不親切,74,0,1.0,0.0,74,0,1.0,0.0,74,0,1.0,0.0
全,2,全体,557,0,1.0,0.0,557,0,1.0,0.0,557,0,1.0,0.0
全,2,全員,517,0,1.0,0.0,517,0,1.0,0.0,517,0,1.0,0.0
全,2,全国,559,0,1.0,0.0,559,0,1.0,0.0,559,0,1.0,0.0
全,2,全権,76,0,1.0,0.0,76,0,1.0,0.0,76,0,1.0,0.0
全,2,全般,252,0,1.0,0.0,252,0,1.0,0.0,252,0,1.0,0.0
全,2,全部,558,0,1.0,0.0,558,0,1.0,0.0,558,0,1.0,0.0
全,2,全開,166,0,1.0,0.0,166,0,1.0,0.0,166,0,1.0,0.0
全,2,全階,2,0,1.0,0.0,2,0,1.0,0.0,2,0,1.0,0.0
全,2,全集,237,0,1.0,0.0,237,0,1.0,0.0,237,0,1.0,0.0
全,2,全額,492,0,1.0,0.0,492,0,1.0,0.0,492,0,1.0,0.0
全,3,全人類,107,0,1.0,0.0,107,0,1.0,0.0,107,0,1.0,0.0
全,3,全国民,152,0,1.0,0.0,151,1,0.993421052631579,0.006578947368421052,150,2,0.9868421052631579,0.013157894736842105
全,3,全学生,6,0,1.0,0.0,6,0,1.0,0.0,4,2,0.6666666666666666,0.3333333333333333
全,3,全日本,135,0,1.0,0.0,134,1,0.9925925925925926,0.007407407407407408,135,0,1.0,0.0
全,3,全生産,2,0,1.0,0.0,2,0,1.0,0.0,2,0,1.0,0.0
全,3,全産業,161,0,1.0,0.0,161,0,1.0,0.0,161,0,1.0,0.0
全,3,全科目,5,0,1.0,0.0,5,0,1.0,0.0,5,0,1.0,0.0
全,3,全領土,2,0,1.0,0.0,2,0,1.0,0.0,2,0,1.0,0.0
全,3,全領域,17,0,1.0,0.0,17,0,1.0,0.0,17,0,1.0,0.0
各,2,各国,580,0,1.0,0.0,580,0,1.0,0.0,580,0,1.0,0.0
各,2,各地,519,0,1.0,0.0,519,0,1.0,0.0,519,0,1.0,0.0
各,2,各年,182,0,1.0,0.0,182,0,1.0,0.0,182,0,1.0,0.0
各,2,各庁,6,0,1.0,0.0,6,0,1.0,0.0,6,0,1.0,0.0
各,2,各月,39,0,1.0,0.0,39,0,1.0,0.0,39,0,1.0,0.0
各,2,各県,155,0,1.0,0.0,155,0,1.0,0.0,155,0,1.0,0.0
各,2,各種,521,0,1.0,0.0,521,0,1.0,0.0,521,0,1.0,0.0
各,2,各般,125,0,1.0,0.0,125,0,1.0,0.0,125,0,1.0,0.0
各,2,各道,6,0,1.0,0.0,6,0,1.0,0.0,6,0,1.0,0.0
各,2,各部,218,0,1.0,0.0,218,0,1.0,0.0,218,0,1.0,0.0
各,3,各事業,57,0,1.0,0.0,57,0,1.0,0.0,57,0,1.0,0.0
各,3,各会社,24,0,1.0,0.0,24,0,1.0,0.0,24,0,1.0,0.0
各,3,各分野,230,0,1.0,0.0,230,0,1.0,0.0,230,0,1.0,0.0
各,3,各効果,3,0,1.0,0.0,3,0,1.0,0.0,3,0,1.0,0.0
各,3,各大学,182,0,1.0,0.0,182,0,1.0,0.0,182,0,1.0,0.0
各,3,各学校,185,0,1.0,0.0,185,0,1.0,0.0,185,0,1.0,0.0
各,3,各新聞,38,0,1.0,0.0,38,0,1.0,0.0,38,0,1.0,0.0
各,3,各方面,318,0,1.0,0.0,318,0,1.0,0.0,318,0,1.0,0.0
各,3,各条項,7,0,1.0,0.0,7,0,1.0,0.0,7,0,1.0,0.0
未,2,未婚,366,0,1.0,0.0,366,0,1.0,0.0,366,0,1.0,0.0
未,2,未完,97,0,1.0,0.0,97,0,1.0,0.0,97,0,1.0,0.0
未,2,未定,322,0,1.0,0.0,322,0,1.0,0.0,322,0,1.0,0.0
未,2,未満,40,0,1.0,0.0,40,0,1.0,0.0,40,0,1.0,0.0
未,2,未然,399,0,1.0,0.0,399,0,1.0,0.0,399,0,1.0,0.0
未,2,未熟,484,0,1.0,0.0,484,0,1.0,0.0,484,0,1.0,0.0
未,2,未知,518,0,1.0,0.0,518,0,1.0,0.0,518,0,1.0,0.0
未,2,未聞,8,0,1.0,0.0,8,0,1.0,0.0,8,0,1.0,0.0
未,2,未詳,50,0,1.0,0.0,50,0,1.0,0.0,50,0,1.0,0.0
未,2,未進,21,0,1.0,0.0,21,0,1.0,0.0,21,0,1.0,0.0
未,3,未使用,98,0,1.0,0.0,98,0,1.0,0.0,98,0,1.0,0.0
未,3,未分離,5,0,1.0,0.0,5,0,1.0,0.0,5,0,1.0,0.0
未,3,未完了,8,0,1.0,0.0,8,0,1.0,0.0,8,0,1.0,0.0
未,3,未完全,1,0,1.0,0.0,1,0,1.0,0.0,1,0,1.0,0.0
未,3,未就学,10,0,1.0,0.0,10,0,1.0,0.0,9,1,0.9,0.1
未,3,未成年,315,1,0.9968354430379747,0.0031645569620253164,316,0,1.0,0.0,316,0,1.0,0.0
未,3,未曾有,170,0,1.0,0.0,170,0,1.0,0.0,170,0,1.0,0.0
未,3,未発表,111,0,1.0,0.0,111,0,1.0,0.0,111,0,1.0,0.0
未,3,未経験,110,0,1.0,0.0,110,0,1.0,0.0,110,0,1.0,0.0
未,3,未編集,2,0,1.0,0.0,2,0,1.0,0.0,2,0,1.0,0.0
無,2,無効,611,0,1.0,0.0,611,0,1.0,0.0,611,0,1.0,0.0
無,2,無念,331,0,1.0,0.0,331,0,1.0,0.0,331,0,1.0,0.0
無,2,無性,221,0,1.0,0.0,221,0,1.0,0.0,221,0,1.0,0.0
無,2,無数,522,0,1.0,0.0,522,0,1.0,0.0,522,0,1.0,0.0
無,2,無料,552,0,1.0,0.0,552,0,1.0,0.0,552,0,1.0,0.0
無,2,無理,524,0,1.0,0.0,524,0,1.0,0.0,524,0,1.0,0.0
無,2,無職,256,0,1.0,0.0,256,0,1.0,0.0,256,0,1.0,0.0
無,2,無視,404,0,1.0,0.0,404,0,1.0,0.0,404,0,1.0,0.0
無,2,無量,26,0,1.0,0.0,26,0,1.0,0.0,26,0,1.0,0.0
無,2,無駄,536,0,1.0,0.0,536,0,1.0,0.0,536,0,1.0,0.0
無,3,無意味,516,0,1.0,0.0,516,0,1.0,0.0,516,0,1.0,0.0
無,3,無教養,16,0,1.0,0.0,16,0,1.0,0.0,16,0,1.0,0.0
無,3,無条件,458,0,1.0,0.0,458,0,1.0,0.0,458,0,1.0,0.0
無,3,無気力,198,0,1.0,0.0,198,0,1.0,0.0,195,3,0.9848484848484849,0.015151515151515152
無,3,無計画,41,0,1.0,0.0,41,0,1.0,0.0,41,0,1.0,0.0
無,3,無試験,9,0,1.0,0.0,9,0,1.0,0.0,9,0,1.0,0.0
無,3,無関係,511,0,1.0,0.0,511,0,1.0,0.0,511,0,1.0,0.0
無,3,無関心,528,0,1.0,0.0,528,0,1.0,0.0,528,0,1.0,0.0
無,3,無防備,258,0,1.0,0.0,258,0,1.0,0.0,258,0,1.0,0.0
総,2,総会,780,0,1.0,0.0,780,0,1.0,0.0,780,0,1.0,0.0
総,2,総則,138,0,1.0,0.0,138,0,1.0,0.0,138,0,1.0,0.0
総,2,総勢,204,0,1.0,0.0,204,0,1.0,0.0,204,0,1.0,0.0
