,,ipadic,ipadic,ipadic,ipadic,jumandic,jumandic,jumandic,jumandic,unidic,unidic,unidic,unidic
,,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages
unexpected segmentation,,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES
,compound unit,,,,,,,,,,,,
wago_nouns_longer,割り引き,338,0.0,1.0,0.0,336,2.0,0.9940828402366864,0.005917159763313609,338,0.0,1.0,0.0
wago_nouns_longer,取り組み,561,0.0,1.0,0.0,561,0.0,1.0,0.0,561,0.0,1.0,0.0
wago_nouns_longer,受け付け,617,0.0,1.0,0.0,617,0.0,1.0,0.0,617,0.0,1.0,0.0
wago_nouns_longer,売り上げ,622,0.0,1.0,0.0,613,9.0,0.9855305466237942,0.014469453376205787,622,0.0,1.0,0.0
wago_nouns_longer,差し出し,21,0.0,1.0,0.0,21,0.0,1.0,0.0,21,0.0,1.0,0.0
wago_nouns_longer,押し売り,49,0.0,1.0,0.0,49,0.0,1.0,0.0,49,0.0,1.0,0.0
wago_nouns_longer,申し込み,681,0.0,1.0,0.0,681,0.0,1.0,0.0,681,0.0,1.0,0.0
wago_nouns_longer,組み立て,387,7.0,0.9822335025380711,0.017766497461928935,394,0.0,1.0,0.0,392,2.0,0.9949238578680203,0.005076142131979695
wago_nouns_longer,飛び込み,79,0.0,1.0,0.0,78,1.0,0.9873417721518988,0.012658227848101266,79,0.0,1.0,0.0
wago_nouns_shorter,割引き,284,0.0,1.0,0.0,271,13.0,0.954225352112676,0.045774647887323945,284,0.0,1.0,0.0
wago_nouns_shorter,取組み,533,1.0,0.99812734082397,0.0018726591760299626,533,1.0,0.99812734082397,0.0018726591760299626,534,0.0,1.0,0.0
wago_nouns_shorter,受付け,530,0.0,1.0,0.0,529,1.0,0.9981132075471698,0.0018867924528301887,530,0.0,1.0,0.0
wago_nouns_shorter,売上げ,564,0.0,1.0,0.0,564,0.0,1.0,0.0,564,0.0,1.0,0.0
wago_nouns_shorter,差出し,19,0.0,1.0,0.0,19,0.0,1.0,0.0,19,0.0,1.0,0.0
wago_nouns_shorter,押売り,0,49.0,0.0,1.0,49,0.0,1.0,0.0,49,0.0,1.0,0.0
wago_nouns_shorter,申込み,568,0.0,1.0,0.0,568,0.0,1.0,0.0,568,0.0,1.0,0.0
wago_nouns_shorter,組立て,388,0.0,1.0,0.0,388,0.0,1.0,0.0,384,4.0,0.9896907216494846,0.010309278350515464
wago_nouns_shorter,飛込み,79,0.0,1.0,0.0,11,68.0,0.13924050632911392,0.8607594936708861,79,0.0,1.0,0.0
wago_nouns_shortest,割引,338,0.0,1.0,0.0,338,0.0,1.0,0.0,338,0.0,1.0,0.0
wago_nouns_shortest,取組,561,0.0,1.0,0.0,561,0.0,1.0,0.0,561,0.0,1.0,0.0
wago_nouns_shortest,受付,617,0.0,1.0,0.0,617,0.0,1.0,0.0,617,0.0,1.0,0.0
wago_nouns_shortest,売上,622,0.0,1.0,0.0,622,0.0,1.0,0.0,622,0.0,1.0,0.0
wago_nouns_shortest,差出,21,0.0,1.0,0.0,21,0.0,1.0,0.0,21,0.0,1.0,0.0
wago_nouns_shortest,押売,49,0.0,1.0,0.0,49,0.0,1.0,0.0,49,0.0,1.0,0.0
wago_nouns_shortest,申込,681,0.0,1.0,0.0,681,0.0,1.0,0.0,681,0.0,1.0,0.0
wago_nouns_shortest,組立,394,0.0,1.0,0.0,394,0.0,1.0,0.0,394,0.0,1.0,0.0
wago_nouns_shortest,飛込,79,0.0,1.0,0.0,79,0.0,1.0,0.0,79,0.0,1.0,0.0
