,,ipadic,ipadic,ipadic,ipadic,jumandic,jumandic,jumandic,jumandic,unidic,unidic,unidic,unidic
,,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages,frequencies,frequencies,percentages,percentages
unexpected segmentation,,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES
,compound unit,,,,,,,,,,,,
wago_verbs_longer,勝ち越す,96,0.0,1.0,0.0,96,0.0,1.0,0.0,96,0.0,1.0,0.0
wago_verbs_longer,取り組む,516,10.0,0.9809885931558935,0.019011406844106463,525,1.0,0.9980988593155894,0.0019011406844106464,526,0.0,1.0,0.0
wago_verbs_longer,呼び出す,546,5.0,0.9909255898366606,0.009074410163339383,550,1.0,0.9981851179673321,0.0018148820326678765,551,0.0,1.0,0.0
wago_verbs_longer,差し出す,514,6.0,0.9884615384615385,0.011538461538461539,518,2.0,0.9961538461538462,0.0038461538461538464,520,0.0,1.0,0.0
wago_verbs_longer,振り込む,624,4.0,0.9936305732484076,0.006369426751592357,626,2.0,0.9968152866242038,0.0031847133757961785,628,0.0,1.0,0.0
wago_verbs_longer,書き込む,565,7.0,0.9877622377622378,0.012237762237762238,569,3.0,0.9947552447552448,0.005244755244755245,572,0.0,1.0,0.0
wago_verbs_longer,申し込む,591,12.0,0.9800995024875622,0.01990049751243781,602,1.0,0.9983416252072969,0.001658374792703151,603,0.0,1.0,0.0
wago_verbs_longer,飛び込む,511,10.0,0.980806142034549,0.019193857965451054,519,2.0,0.9961612284069098,0.003838771593090211,521,0.0,1.0,0.0
wago_verbs_shorter,勝越す,96,0.0,1.0,0.0,96,0.0,1.0,0.0,96,0.0,1.0,0.0
wago_verbs_shorter,取組む,518,11.0,0.9792060491493384,0.020793950850661626,527,2.0,0.996219281663516,0.003780718336483932,312,217.0,0.5897920604914934,0.4102079395085066
wago_verbs_shorter,呼出す,552,6.0,0.989247311827957,0.010752688172043012,556,2.0,0.996415770609319,0.0035842293906810036,558,0.0,1.0,0.0
wago_verbs_shorter,差出す,514,6.0,0.9884615384615385,0.011538461538461539,518,2.0,0.9961538461538462,0.0038461538461538464,520,0.0,1.0,0.0
wago_verbs_shorter,振込む,640,46.0,0.9329446064139941,0.06705539358600583,654,32.0,0.9533527696793003,0.04664723032069971,676,10.0,0.9854227405247813,0.014577259475218658
wago_verbs_shorter,書込む,566,8.0,0.9860627177700348,0.013937282229965157,569,5.0,0.9912891986062717,0.008710801393728223,573,1.0,0.9982578397212544,0.0017421602787456446
wago_verbs_shorter,申込む,609,17.0,0.9728434504792333,0.027156549520766772,620,6.0,0.9904153354632588,0.009584664536741214,270,356.0,0.43130990415335463,0.5686900958466453
wago_verbs_shorter,飛込む,511,10.0,0.980806142034549,0.019193857965451054,256,265.0,0.491362763915547,0.508637236084453,521,0.0,1.0,0.0
