,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,取り組み,ない。全てＩＴでリアルタイムに決裁を行なう。一方で、スピードとクオリティを両立するための取り組みも盛ん。その典型例として「発散会議」と「収束会議」の二つがキヤノンにはある,"['ない', '。', '全て', 'ＩＴ', 'で', 'リアルタイム', 'に', '決裁', 'を', '行なう', '。', '一方', 'で', '、', 'スピード', 'と', 'クオリティ', 'を', '両立', 'する', 'ため', 'の', '取り組み', 'も', '盛ん', '。', 'その', '典型', '例', 'と', 'して', '「', '発散', '会議', '」', 'と', '「', '収束', '会議', '」', 'の', '二', 'つ', 'が', 'キヤノン', 'に', 'は', 'ある']",['取り組み'],NO,取り組み,NO,NO
1,取り組み,の発音をじっくり聴き取ったり、海外のドラマや映画を懸命に見たりといったさまざまな取り組みを行うチャンスが現代の日本にはあふれています。本気になればいくらでも,"['の', '発音', 'を', 'じっくり', '聴き', '取ったり', '、', '海外', 'の', 'ドラマ', 'や', '映画', 'を', '懸命に', '見たり', 'と', 'いった', 'さまざまな', '取り組み', 'を', '行う', 'チャンス', 'が', '現代', 'の', '日本', 'に', 'は', 'あふれて', 'い', 'ます', '。', '本気に', 'なれば', 'いくら', 'でも']",['取り組み'],NO,取り組み,NO,NO
2,取り組み,第１号被保険者の保険料を単独で減免する市町村も一部にみられ，再び，徴収に向けた取り組みが行われている。被保険者の負担能力を市町村民税で決めたことによる徴収額やサービス利用者負担額に不公平,"['第', '１', '号', '被', '保険', '者', 'の', '保険', '料', 'を', '単独', 'で', '減免', 'する', '市町村', 'も', '一部', 'に', 'み', 'られ', '，', '再び', '，', '徴収', 'に', '向けた', '取り組み', 'が', '行わ', 'れて', 'いる', '。', '被', '保険', '者', 'の', '負担', '能力', 'を', '市町村', '民', '税', 'で', '決めた', 'こと', 'に', 'よる', '徴収', '額', 'や', 'サービス', '利用', '者', '負担', '額', 'に', '不公平']",['取り組み'],NO,取り組み,NO,NO
3,取り組み,とわたしたち―環境との共生をめざして―なぜ取り組んだのかこれまでの取り組みの中で，先輩から後輩へ「人にやさしい環境」を考えるさまざまな活動が,"['と', 'わたし', 'たち', '―', '環境', 'と', 'の', '共生', 'を', 'めざして', '―', 'なぜ', '取り組んだ', 'の', 'か', 'これ', 'まで', 'の', '取り組み', 'の', '中', 'で', '，', '先輩', 'から', '後輩', 'へ', '「', '人', 'に', 'やさしい', '環境', '」', 'を', '考える', 'さまざまな', '活動', 'が']",['取り組み'],NO,取り組み,NO,NO
4,取り組み,高い取り組み割合を示しているのではないだろうか。図５‐二十一には、そのような取り組みを行った集落を地図上に示したものであるが、県の東部地域（周防地域）で,"['高い', '取り組み', '割合', 'を', '示して', 'いる', 'ので', 'は', 'ない', 'だろう', 'か', '。', '図', '５', '‐', '二十一', 'に', 'は', '、', 'そのような', '取り組み', 'を', '行った', '集落', 'を', '地図', '上', 'に', '示した', 'もの', 'である', 'が', '、', '県', 'の', '東部', '地域', '（', '周防', '地域', '）', 'で']",['取り組み'],NO,取り組み,NO,NO
5,取り組み,高い取り組み割合を示しているのではないだろうか。図５‐二十一には、そのような取り組みを行った集落を地図上に示したものであるが、県の東部地域（周防地域）で,"['高い', '取り組み', '割合', 'を', '示して', 'いる', 'ので', 'は', 'ない', 'だろう', 'か', '。', '図', '５', '‐', '二十一', 'に', 'は', '、', 'そのような', '取り組み', 'を', '行った', '集落', 'を', '地図', '上', 'に', '示した', 'もの', 'である', 'が', '、', '県', 'の', '東部', '地域', '（', '周防', '地域', '）', 'で']",['取り組み'],NO,取り組み,NO,NO
6,取り組み,の保育園・公立幼稚園をこども園として統一することなどが挙げられます。そこで、これらの主な取り組みを今号と３月十五日号で紹介します。地域子育て支援センター・子どもつどいの広場４月から、宮口こども園の開園に,"['の', '保育', '園', '・', '公立', '幼稚園', 'を', 'こども', '園', 'と', 'して', '統一', 'する', 'こと', 'など', 'が', '挙げ', 'られ', 'ます', '。', 'そこ', 'で', '、', 'これ', 'ら', 'の', '主な', '取り組み', 'を', '今', '号', 'と', '３', '月', '十五', '日', '号', 'で', '紹介', 'し', 'ます', '。', '地域', '子育て', '支援', 'センター', '・', '子ども', 'つどい', 'の', '広場', '４', '月', 'から', '、', '宮', '口', 'こども', '園', 'の', '開園', 'に']",['取り組み'],NO,取り組み,NO,NO
7,取り組み,も昨年、この問題については大変貴重な意見として伺っておきたい、これから具体的な取り組みの中でこの問題を検討するというお約束をいただいたのですけれども、その後の取り組み,"['も', '昨年', '、', 'この', '問題', 'に', 'ついて', 'は', '大変', '貴重な', '意見', 'と', 'して', '伺って', 'おき', 'たい', '、', 'これ', 'から', '具体', '的な', '取り組み', 'の', '中', 'で', 'この', '問題', 'を', '検討', 'する', 'と', 'いう', 'お', '約束', 'を', 'いただいた', 'のです', 'けれども', '、', 'その後', 'の', '取り組み']",['取り組み'],NO,取り組み,NO,NO
8,取り組み,も昨年、この問題については大変貴重な意見として伺っておきたい、これから具体的な取り組みの中でこの問題を検討するというお約束をいただいたのですけれども、その後の取り組み,"['も', '昨年', '、', 'この', '問題', 'に', 'ついて', 'は', '大変', '貴重な', '意見', 'と', 'して', '伺って', 'おき', 'たい', '、', 'これ', 'から', '具体', '的な', '取り組み', 'の', '中', 'で', 'この', '問題', 'を', '検討', 'する', 'と', 'いう', 'お', '約束', 'を', 'いただいた', 'のです', 'けれども', '、', 'その後', 'の', '取り組み']",['取り組み'],NO,取り組み,NO,NO
9,取り組み,また、「あらゆる形態の人種差別の撤廃に関する国際条約」批准など少数民族に関する国連での人権伸長に関する取り組みに、わが国の政府ももっと積極的に取り組んでいただきたいと願っております。「アイヌ文化,"['また', '、', '「', 'あらゆる', '形態', 'の', '人種', '差別', 'の', '撤廃', 'に', '関する', '国際', '条約', '」', '批准', 'など', '少数', '民族', 'に', '関する', '国連', 'で', 'の', '人権', '伸長', 'に', '関する', '取り組み', 'に', '、', 'わが国', 'の', '政府', 'も', 'もっと', '積極', '的に', '取り組んで', 'いただき', 'たい', 'と', '願って', 'おり', 'ます', '。', '「', 'アイヌ', '文化']",['取り組み'],NO,取り組み,NO,NO
