,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,売上げ,電気をとめられたこともたびたびあった。そういうときは、今日のあがり（売上げ）で一部でも払うからと、電気会社の人に無理に頼み込んで電気を通し,"['電気', 'を', 'とめ', 'られ', 'た', 'こと', 'も', 'たびたび', 'あっ', 'た', '。', 'そういう', 'とき', 'は', '、', '今日', 'の', 'あがり', '（', '売上げ', '）', 'で', '一部', 'でも', '払う', 'から', 'と', '、', '電気', '会社', 'の', '人', 'に', '無理', 'に', '頼み込ん', 'で', '電気', 'を', '通し']",['売上げ'],NO,売上げ,NO,NO
1,売上げ,改名、千九百九十九年時点にはハービー伯父の約百万ドルから始めたにしては巨額の三十億ドルもの売上げを出すようになった。企業拡大には優秀な法律事務所が不可欠である。ペンゾイル石油が,"['改名', '、', '千', '九', '百', '九', '十', '九', '年', '時点', 'に', 'は', 'ハービー', '伯父', 'の', '約', '百', '万', 'ドル', 'から', '始め', 'た', 'に', 'し', 'て', 'は', '巨額', 'の', '三', '十', '億', 'ドル', 'も', 'の', '売上げ', 'を', '出す', 'よう', 'に', 'なっ', 'た', '。', '企業', '拡大', 'に', 'は', '優秀', 'な', '法律', '事務所', 'が', '不可欠', 'で', 'ある', '。', 'ペンゾイル', '石油', 'が']",['売上げ'],NO,売上げ,NO,NO
2,売上げ,と収入の点で近いのは二千年度の日産自動車だ。日産は二千年度三月期決算で二兆九千八百一億円の売上げを計上している。ただし、日産自動車のほうは、関連企業を含む連結決算ではなく、日産自動車単独の数字,"['と', '収入', 'の', '点', 'で', '近い', 'の', 'は', '二', '千', '年度', 'の', '日産自動車', 'だ', '。', '日産', 'は', '二', '千', '年度', '三月', '期', '決算', 'で', '二', '兆', '九', '千', '八', '百', '一', '億', '円', 'の', '売上げ', 'を', '計上', 'し', 'て', 'いる', '。', 'ただし', '、', '日産自動車', 'の', 'ほう', 'は', '、', '関連', '企業', 'を', '含む', '連結', '決算', 'で', 'は', 'なく', '、', '日産自動車', '単独', 'の', '数字']",['売上げ'],NO,売上げ,NO,NO
3,売上げ,指標を、総資本回転率といいます。総資本回転率とは、総資本をどれだけ効率よく使って売上げを獲得したかを示すものです。計算結果は％ではなく、回数であらわします。総資本,"['指標', 'を', '、', '総', '資本', '回転', '率', 'と', 'いい', 'ます', '。', '総', '資本', '回転', '率', 'と', 'は', '、', '総', '資本', 'を', 'どれ', 'だけ', '効率', 'よく', '使っ', 'て', '売上げ', 'を', '獲得', 'し', 'た', 'か', 'を', '示す', 'もの', 'です', '。', '計算', '結果', 'は', '％', 'で', 'は', 'なく', '、', '回数', 'で', 'あらわし', 'ます', '。', '総', '資本']",['売上げ'],NO,売上げ,NO,NO
4,売上げ,で、人件費や設備費、家賃、光熱費などが入ります。また、変動費は商品の売上げに応じて増えていく費用、材料費や販売手数料などです。区分がはっきりしない費用については,"['で', '、', '人件', '費', 'や', '設備', '費', '、', '家賃', '、', '光熱', '費', 'など', 'が', '入り', 'ます', '。', 'また', '、', '変動', '費', 'は', '商品', 'の', '売上げ', 'に', '応じ', 'て', '増え', 'て', 'いく', '費用', '、', '材料', '費', 'や', '販売', '手数料', 'など', 'です', '。', '区分', 'が', 'はっきり', 'し', 'ない', '費用', 'について', 'は']",['売上げ'],NO,売上げ,NO,NO
5,売上げ,では、千九百七十年代に清涼飲料のセブンアップが「アンコーラ（コーラではない）」広告キャンペーンを打ち出して売上げを伸ばした。私は、俳優のゼオフレー・ホルダーが白いスーツにフェドラ（中折れ帽）の装い,"['では', '、', '千', '九', '百', '七', '十', '年代', 'に', '清涼', '飲料', 'の', 'セブン', 'アップ', 'が', '「', 'アン', 'コーラ', '（', 'コーラ', 'で', 'は', 'ない', '）', '」', '広告', 'キャンペーン', 'を', '打ち出し', 'て', '売上げ', 'を', '伸ばし', 'た', '。', '私', 'は', '、', '俳優', 'の', 'ゼオフレー・ホルダー', 'が', '白い', 'スーツ', 'に', 'フェドラ', '（', '中', '折れ', '帽', '）', 'の', '装い']",['売上げ'],NO,売上げ,NO,NO
6,売上げ,がとりあえずそのつぎに大事になりますから、どこからも文句が出ないように売上げを伸ばして、会社の市場シェアを大きくして、会社のポストを増やして、昇進,"['が', 'とりあえず', 'その', 'つぎ', 'に', '大事', 'に', 'なり', 'ます', 'から', '、', 'どこ', 'から', 'も', '文句', 'が', '出', 'ない', 'よう', 'に', '売上げ', 'を', '伸ばし', 'て', '、', '会社', 'の', '市場', 'シェア', 'を', '大きく', 'し', 'て', '、', '会社', 'の', 'ポスト', 'を', '増やし', 'て', '、', '昇進']",['売上げ'],NO,売上げ,NO,NO
7,売上げ,とてもとても返済はできませんよ、これを申し上げたいわけです。それから、料金収入、売上げの点も、これは過去十年分いただきました。これもチェックいたしますと、必ずしも売上げ,"['とても', 'とても', '返済', 'は', 'でき', 'ませ', 'ん', 'よ', '、', 'これ', 'を', '申し上げ', 'たい', 'わけ', 'です', '。', 'それから', '、', '料金', '収入', '、', '売上げ', 'の', '点', 'も', '、', 'これ', 'は', '過去', '十', '年', '分', 'いただき', 'まし', 'た', '。', 'これ', 'も', 'チェック', 'いたし', 'ます', 'と', '、', '必ずしも', '売上げ']",['売上げ'],NO,売上げ,NO,NO
8,売上げ,とてもとても返済はできませんよ、これを申し上げたいわけです。それから、料金収入、売上げの点も、これは過去十年分いただきました。これもチェックいたしますと、必ずしも売上げ,"['とても', 'とても', '返済', 'は', 'でき', 'ませ', 'ん', 'よ', '、', 'これ', 'を', '申し上げ', 'たい', 'わけ', 'です', '。', 'それから', '、', '料金', '収入', '、', '売上げ', 'の', '点', 'も', '、', 'これ', 'は', '過去', '十', '年', '分', 'いただき', 'まし', 'た', '。', 'これ', 'も', 'チェック', 'いたし', 'ます', 'と', '、', '必ずしも', '売上げ']",['売上げ'],NO,売上げ,NO,NO
9,売上げ,で安い食事を提供してもらっている信介たちにとって、とても助かることだったし、またトミちゃんが売上げから利益分を劇団にカンパすると申し出てくれたことも、非常にありがたかった。〈,"['で', '安い', '食事', 'を', '提供', 'し', 'て', 'もらっ', 'て', 'いる', '信介', 'たち', 'にとって', '、', 'とても', '助かる', 'こと', 'だっ', 'た', 'し', '、', 'また', 'トミ', 'ちゃん', 'が', '売上げ', 'から', '利益', '分', 'を', '劇団', 'に', 'カンパ', 'する', 'と', '申し出', 'て', 'くれ', 'た', 'こと', 'も', '、', '非常', 'に', 'ありがたかっ', 'た', '。', '〈']",['売上げ'],NO,売上げ,NO,NO
