,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,受付け,物を、８／８（消印有効）までに同会館（〒２４８‐０００２二階堂九百十二‐１、☎２３‐７５３０、受付けは９：００〜十七：００）へ玉縄青少年会館【１かんたん！ビーズ夏】ネックレスを作る。対象,"['物', 'を', '、', '８', '／', '８', '（', '消印', '有効', '）', 'まで', 'に', '同', '会館', '（', '〒', '２４８', '‐', '０００２', '二', '階', '堂', '九百', '十', '二', '‐', '１', '、', '☎', '２３', '‐', '７５３０', '、', '受付け', 'は', '９', '：', '００', '〜', '十', '七', '：', '００', '）', 'へ', '玉縄', '青少年', '会館', '【', '１', 'かんたん', '！', 'ビーズ', '夏', '】', 'ネックレス', 'を', '作る', '。', '対象']",['受付け'],NO,受付け,NO,NO
1,受付け,〜９時※修了時には中学校卒業（昼間と同じ）資格が得られます。受付け／随時問三宿中学校夜間学級☎三千四百二十四‐五千二百五十五（午後１時〜９時三十分）ＦＡＸ三千四百二十四‐五千三百八十ラジオエフエム世田谷「世田谷通信」,"['〜', '９', '時', '※', '修了', '時', 'に', 'は', '中', '学校', '卒業', '（', '昼間', 'と', '同じ', '）', '資格', 'が', '得', 'られ', 'ます', '。', '受付け', '／', '随時', '問', '三宿', '中', '学校', '夜間', '学級', '☎', '三千', '四百', '二十', '四', '‐', '五千', '二百', '五十', '五', '（', '午後', '１', '時', '〜', '９', '時', '三十', '分', '）', 'ＦＡＸ', '三千', '四百', '二十', '四', '‐', '五千', '三百', '八十', 'ラジオ', 'エフエム', '世田谷', '「', '世田谷', '通信', '」']",['受付け'],NO,受付け,NO,NO
2,受付け,。対象未就学児を持つ母親日時２月二十日（水）午後２時〜３時三十分、受付けは午後１時三十分〜場所健康センター３乳幼児救急講座いざという時の子どもの応急処置を学び,"['。', '対象', '未', '就学', '児', 'を', '持つ', '母親', '日時', '２', '月', '二十', '日', '（', '水', '）', '午後', '２', '時', '〜', '３', '時', '三十', '分', '、', '受付け', 'は', '午後', '１', '時', '三十', '分', '〜', '場所', '健康', 'センター', '３', '乳幼児', '救急', '講座', 'いざ', 'と', 'いう', '時', 'の', '子ども', 'の', '応急', '処置', 'を', '学び']",['受付け'],NO,受付け,NO,NO
3,受付け,お早めにお届け願います。※市内転居は一度に手続きできます。※インターネット（ｈｔｔｐ：／／ｗｗｗ．ｗａｔｅｒ．ｃｉｔｙ．ｎａｇｏｙａ．ｊｐ／）での受付けも行っております。【問合】上下水道局守山営業所☎７９１‐６３１１ＦＡＸ７９１‐８５９０ごみ引っ越しごみの処分,"['お', '早め', 'に', 'お', '届け', '願い', 'ます', '。', '※', '市内', '転居', 'は', '一', '度', 'に', '手続き', 'でき', 'ます', '。', '※', 'インターネット', '（', 'ｈｔｔｐ：／／', 'ｗｗｗ．', 'ｗａｔｅｒ', '．', 'ｃｉｔｙ', '．', 'ｎａｇｏｙａ', '．ｊｐ', '／', '）', 'で', 'の', '受付け', 'も', '行っ', 'て', 'おり', 'ます', '。', '【', '問合', '】', '上下水', '道', '局', '守山', '営業', '所', '☎', '７９１', '‐', '６３１１', 'ＦＡＸ', '７９１', '‐', '８５９０', 'ごみ', '引っ越し', 'ごみ', 'の', '処分']",['受付け'],NO,受付け,NO,NO
4,受付け,の町内在住者▼定員十人▼参加費無料▼申込み９月１日（月）９時から受付けＴＥＬ０５６１（３７）５８１３児童館※は未就学児が対象北部児童館ＴＥＬ０５６１（３８）３５３１２日（火）美化運動十二日（金,"['の', '町内', '在住', '者', '▼', '定員', '十', '人', '▼', '参加', '費', '無料', '▼', '申込み', '９', '月', '１日', '（', '月', '）', '９', '時', 'から', '受付け', 'ＴＥＬ', '０５６１', '（', '３７', '）', '５８１３', '児童', '館', '※', 'は', '未', '就学', '児', 'が', '対象', '北部', '児童', '館', 'ＴＥＬ', '０５６１', '（', '３８', '）', '３５３１２', '日', '（', '火', '）', '美化', '運動', '十', '二', '日', '（', '金']",['受付け'],NO,受付け,NO,NO
5,受付け,てみませんか。期日十月二十六日（日）時間午前９時〜午後５時（受付け午前８時三十分〜）対象一般・親子・子ども※小学４年生以下は保護者同伴持ち物昼食、飲み物,"['て', 'み', 'ませ', 'ん', 'か', '。', '期日', '十', '月', '二十', '六', '日', '（', '日', '）', '時間', '午前', '９', '時', '〜', '午後', '５', '時', '（', '受付け', '午前', '８', '時', '三十', '分', '〜', '）', '対象', '一般', '・', '親子', '・', '子ども', '※', '小学', '４', '年', '生', '以下', 'は', '保護', '者', '同伴', '持ち物', '昼食', '、', '飲み物']",['受付け'],NO,受付け,NO,NO
6,受付け,ます。受付期間・場所２月までの毎月１日から十五日の期間に住宅建設課（市役所８階）で受付けを行います。（土・日・祝日を除く８時三十分〜十七時十五分）ただし、十五日が土・日・祝日の,"['ます', '。', '受付', '期間', '・', '場所', '２', '月', 'まで', 'の', '毎月', '１日', 'から', '十', '五', '日', 'の', '期間', 'に', '住宅', '建設', '課', '（', '市', '役所', '８', '階', '）', 'で', '受付け', 'を', '行い', 'ます', '。', '（', '土', '・', '日', '・', '祝日', 'を', '除く', '８', '時', '三十', '分', '〜', '十', '七', '時', '十', '五', '分', '）', 'ただし', '、', '十', '五', '日', 'が', '土', '・', '日', '・', '祝日', 'の']",['受付け'],NO,受付け,NO,NO
7,受付け,３セットマッチ。府立体育館・大山崎町体育館の２会場大会日程（開会式は午前十一時、他の日は午前９時三十分から受付け）難しいことより楽しさ実感を元五輪金メダリスト落陽工高コーチ横田忠義さんに聞く男子バレーボールの日本代表チームで,"['３', 'セット', 'マッチ', '。', '府立', '体育', '館', '・', '大山崎', '町', '体育', '館', 'の', '２', '会場', '大会', '日程', '（', '開会', '式', 'は', '午前', '十', '一', '時', '、', '他', 'の', '日', 'は', '午前', '９', '時', '三十', '分', 'から', '受付け', '）', '難しい', 'こと', 'より', '楽し', 'さ', '実感', 'を', '元', '五輪', '金', 'メダリスト', '落陽', '工高', 'コーチ', '横田', '忠義', 'さん', 'に', '聞く', '男子', 'バレーボール', 'の', '日本', '代表', 'チーム', 'で']",['受付け'],NO,受付け,NO,NO
8,受付け,。◎健診終了時間が遅くなることがあります。ゆとりをもって来てください。事業名期日受付け時間対象児４か月児健診二十五日（木）午後１時〜１時三十分二十年８月生まれの,"['。', '◎', '健診', '終了', '時間', 'が', '遅く', 'なる', 'こと', 'が', 'あり', 'ます', '。', 'ゆとり', 'を', 'もっ', 'て', '来', 'て', 'ください', '。', '事業', '名', '期日', '受付け', '時間', '対象', '児', '４', 'か月', '児', '健診', '二十', '五', '日', '（', '木', '）', '午後', '１', '時', '〜', '１', '時', '三十', '分', '二十', '年', '８', '月', '生まれ', 'の']",['受付け'],NO,受付け,NO,NO
9,受付け,３月十七日（月）までに「住宅借入金等特別税額控除申告書」を提出してください。公民館などでも申告の受付け・相談を行います公民館じかん十時〜十四時越廼地区ところ越廼総合支所じかん９時三十分〜,"['３', '月', '十', '七', '日', '（', '月', '）', 'まで', 'に', '「', '住宅', '借入', '金', '等', '特別', '税額', '控除', '申告', '書', '」', 'を', '提出', 'し', 'て', 'ください', '。', '公民', '館', 'など', 'で', 'も', '申告', 'の', '受付け', '・', '相談', 'を', '行い', 'ます', '公民', '館', 'じかん', '十', '時', '〜', '十', '四', '時', '越廼', '地区', 'ところ', '越廼', '総合', '支所', 'じかん', '９', '時', '三十', '分', '〜']",['受付け'],NO,受付け,NO,NO
