,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,差出し,というかと思いますが、今は無料で日時指定出来るのでしょうか？はい■配達日希望サービス差出しの際、配達日（原則として差出日の翌日から起算して十日以内の日）をご希望いただければ,"['と', 'いう', 'か', 'と', '思い', 'ます', 'が', '、', '今', 'は', '無料', 'で', '日時', '指定', '出来る', 'の', 'でしょう', 'か', '？', 'はい', '■', '配達', '日', '希望', 'サービス', '差出し', 'の', '際', '、', '配達', '日', '（', '原則', 'と', 'し', 'て', '差出', '日', 'の', '翌日', 'から', '起算', 'し', 'て', '十', '日', '以内', 'の', '日', '）', 'を', 'ご', '希望', 'いただけれ', 'ば']",['差出し'],NO,差出し,NO,NO
1,差出し,から他の供え物を減らしてくれと言って提案する．ここに工女に送る女人たちの差出しの成り立つのに，この工女差出を避けるための多様な方法たちが描かれた．,"['から', '他', 'の', '供え物', 'を', '減らし', 'て', 'くれ', 'と', '言っ', 'て', '提案', 'する', '．', 'ここ', 'に', '工女', 'に', '送る', '女人', 'たち', 'の', '差出し', 'の', '成り立つ', 'の', 'に', '，', 'この', '工女', '差出', 'を', '避ける', 'ため', 'の', '多様', 'な', '方法', 'たち', 'が', '描か', 'れ', 'た', '．']",['差出し'],NO,差出し,NO,NO
2,差出し,天保甲辰長崎雑録と廉斎の時局認識雑録第一の冒頭は、天保十五年の六月十六日カヒタンゟ差出しから始まる。註１第一天保甲辰長崎雑録、活字本第一集一ォ上〜ゥ上。アヘン戦争後のイギリスの日本進出,"['天保', '甲辰', '長崎', '雑録', 'と', '廉斎', 'の', '時局', '認識', '雑録', '第', '一', 'の', '冒頭', 'は', '、', '天保', '十', '五', '年', 'の', '六', '月', '十', '六', '日', 'カヒタン', 'ゟ', '差出し', 'から', '始まる', '。', '註', '１', '第', '一', '天保', '甲辰', '長崎', '雑録', '、', '活字', '本', '第', '一', '集', '一', 'ォ', '上', '〜', 'ゥ', '上', '。', 'アヘン', '戦争', '後', 'の', 'イギリス', 'の', '日本', '進出']",['差出し'],NO,差出し,NO,NO
3,差出し,１枚のみ）を書かされますが、コンビニ受付の場合、その伝票はありません。差出しが５通あれば、出荷シートも５枚になります。ちなみに、クロネコメール便を扱っているコンビニは,"['１', '枚', 'のみ', '）', 'を', '書かさ', 'れ', 'ます', 'が', '、', 'コンビニ', '受付', 'の', '場合', '、', 'その', '伝票', 'は', 'あり', 'ませ', 'ん', '。', '差出し', 'が', '５', '通', 'あれ', 'ば', '、', '出荷', 'シート', 'も', '５', '枚', 'に', 'なり', 'ます', '。', 'ちなみ', 'に', '、', 'クロネコ', 'メール', '便', 'を', '扱っ', 'て', 'いる', 'コンビニ', 'は']",['差出し'],NO,差出し,NO,NO
4,差出し,配達証明※差出しの際三百円差出し後四百二十円配達記録郵便通常郵便物及び冊子小包郵便物二百十円簡易書留（損害要償額,"['配達', '証明', '※', '差出し', 'の', '際', '三百', '円', '差出し', '後', '四百', '二十', '円', '配達', '記録', '郵便', '通常', '郵便', '物', '及び', '冊子', '小包', '郵便', '物', '二百', '十', '円', '簡易', '書留', '（', '損害', '要償', '額']",['差出し'],NO,差出し,NO,NO
5,差出し,配達証明※差出しの際三百円差出し後四百二十円配達記録郵便通常郵便物及び冊子小包郵便物二百十円簡易書留（損害要償額,"['配達', '証明', '※', '差出し', 'の', '際', '三百', '円', '差出し', '後', '四百', '二十', '円', '配達', '記録', '郵便', '通常', '郵便', '物', '及び', '冊子', '小包', '郵便', '物', '二百', '十', '円', '簡易', '書留', '（', '損害', '要償', '額']",['差出し'],NO,差出し,NO,NO
6,差出し,）をご希望いただければ、そのご希望の日に配達します（無料）。■配達時間帯希望サービス差出しの際、配達時間帯（午前（９：００頃〜十二：００頃）・午後（十二：００頃〜十四：００頃）・午後,"['）', 'を', 'ご', '希望', 'いただけれ', 'ば', '、', 'その', 'ご', '希望', 'の', '日', 'に', '配達', 'し', 'ます', '（', '無料', '）', '。', '■', '配達', '時間', '帯', '希望', 'サービス', '差出し', 'の', '際', '、', '配達', '時間', '帯', '（', '午前', '（', '９', '：', '００', '頃', '〜', '十', '二', '：', '００', '頃', '）', '・', '午後', '（', '十', '二', '：', '００', '頃', '〜', '十', '四', '：', '００', '頃', '）', '・', '午後']",['差出し'],NO,差出し,NO,NO
7,差出し,て山城木津に指出しの命令を出さしめた（『多聞院日記』）。続いて山城各地に差出しの命令が下り、さらに検地も実施されている（『言経卿記』『稲荷神社文書』ほか）,"['て', '山城', '木津', 'に', '指出し', 'の', '命令', 'を', '出さ', 'しめ', 'た', '（', '『', '多聞', '院', '日記', '』', '）', '。', '続い', 'て', '山城', '各地', 'に', '差出し', 'の', '命令', 'が', '下り', '、', 'さらに', '検地', 'も', '実施', 'さ', 'れ', 'て', 'いる', '（', '『', '言経', '卿', '記', '』', '『', '稲荷', '神社', '文書', '』', 'ほか', '）']",['差出し'],NO,差出し,NO,NO
8,差出し,二菖蒲秩父の山の水を集めた笛吹川が、差出しの塔の山に突き当ってゆっくりと東へ向きを変えるその下手に、万力林は,"['二', '菖蒲', '秩父', 'の', '山', 'の', '水', 'を', '集め', 'た', '笛吹', '川', 'が', '、', '差出し', 'の', '塔', 'の', '山', 'に', '突き当っ', 'て', 'ゆっくり', 'と', '東', 'へ', '向き', 'を', '変える', 'その', '下手', 'に', '、', '万力', '林', 'は']",['差出し'],NO,差出し,NO,NO
9,差出し,である。また、秀吉は、自身の上洛に先立ち、浅野長吉をして山城木津に差出しの命令を出さしめた（『多聞院日記』）。続いて山城各地に指出しの命令が,"['で', 'ある', '。', 'また', '、', '秀吉', 'は', '、', '自身', 'の', '上洛', 'に', '先立ち', '、', '浅野', '長吉', 'を', 'し', 'て', '山城', '木津', 'に', '差出し', 'の', '命令', 'を', '出さ', 'しめ', 'た', '（', '『', '多聞', '院', '日記', '』', '）', '。', '続い', 'て', '山城', '各地', 'に', '指出し', 'の', '命令', 'が']",['差出し'],NO,差出し,NO,NO
10,差出し,という。）内にあてられており，その二十八．八％（全体に対しては十七．三％）が，差出しのあった郵便局区内で配達されている（第１‐２‐８図参照）。第１‐２‐,"['と', 'いう', '。', '）', '内', 'に', 'あて', 'られ', 'て', 'おり', '，', 'その', '二十', '八', '．', '八', '％', '（', '全体', 'に', '対し', 'て', 'は', '十', '七', '．', '三', '％', '）', 'が', '，', '差出し', 'の', 'あっ', 'た', '郵便', '局', '区', '内', 'で', '配達', 'さ', 'れ', 'て', 'いる', '（', '第', '１', '‐', '２', '‐', '８', '図', '参照', '）', '。', '第', '１', '‐', '２', '‐']",['差出し'],NO,差出し,NO,NO
11,差出し,郵便物のあて地別割合全国の郵便局に差し出された郵便物全体についてみると，その六十．〇％が差出しのあった同一の都道府県（以下「府県」という。）内にあてられており,"['郵便', '物', 'の', 'あて地', '別', '割合', '全国', 'の', '郵便', '局', 'に', '差し出さ', 'れ', 'た', '郵便', '物', '全体', 'に', 'つい', 'て', 'みる', 'と', '，', 'その', '六十', '．', '〇', '％', 'が', '差出し', 'の', 'あっ', 'た', '同一', 'の', '都', '道', '府', '県', '（', '以下', '「', '府', '県', '」', 'と', 'いう', '。', '）', '内', 'に', 'あて', 'られ', 'て', 'おり']",['差出し'],NO,差出し,NO,NO
12,差出し,ねえと、そう言うだよ」「（絶望的に）ああ、もういけねえ、差出して銭の話始めやがった…もう一朱や二朱とはいくめえな…まず一両,"['ねえ', 'と', '、', 'そう', '言う', 'だ', 'よ', '」', '「', '（', '絶望', '的', 'に', '）', 'ああ', '、', 'もう', 'いけ', 'ねえ', '、', '差出し', 'て', '銭', 'の', '話', '始め', 'やがっ', 'た', '…', 'もう', '一', '朱', 'や', '二', '朱', 'と', 'は', 'いく', 'めえ', 'な', '…', 'まず', '一', '両']",['差出し'],NO,差出し,NO,NO
13,差出し,は便箋状の行が有り文章記入が可能。葉書の約３倍の文章が書けるそうです。差出しは、のりしろを貼り付けて封筒状にしてポストに投函します。購入代金に送料分も含ま,"['は', '便箋', '状', 'の', '行', 'が', '有り', '文章', '記入', 'が', '可能', '。', '葉書', 'の', '約', '３', '倍', 'の', '文章', 'が', '書ける', 'そう', 'です', '。', '差出し', 'は', '、', 'のりしろ', 'を', '貼り付け', 'て', '封筒', '状', 'に', 'し', 'て', 'ポスト', 'に', '投函', 'し', 'ます', '。', '購入', '代金', 'に', '送料', '分', 'も', '含ま']",['差出し'],NO,差出し,NO,NO
14,差出し,他のどこかへ「どうぞお好きなようにお使いください」と差し出すとしたら、そうした差出しは、日本の意思にもとづき、日本国の名、日本国の権威（授権）によっておこなわ,"['他', 'の', 'どこ', 'か', 'へ', '「', 'どうぞ', 'お', '好き', 'な', 'よう', 'に', 'お', '使い', 'ください', '」', 'と', '差し出す', 'と', 'し', 'たら', '、', 'そう', 'し', 'た', '差出し', 'は', '、', '日本', 'の', '意思', 'に', 'もとづき', '、', '日本', '国', 'の', '名', '、', '日本', '国', 'の', '権威', '（', '授権', '）', 'に', 'よっ', 'て', 'おこなわ']",['差出し'],NO,差出し,NO,NO
