,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,取組,ない。全てＩＴでリアルタイムに決裁を行なう。一方で、スピードとクオリティを両立するための取組も盛ん。その典型例として「発散会議」と「収束会議」の二つがキヤノンにはある,"['ない', '。', '全て', 'ＩＴ', 'で', 'リアルタイム', 'に', '決裁', 'を', '行なう', '。', '一方', 'で', '、', 'スピード', 'と', 'クオリティ', 'を', '両立', 'する', 'ため', 'の', '取組', 'も', '盛ん', '。', 'その', '典型', '例', 'として', '「', '発散', '会議', '」', 'と', '「', '収束', '会議', '」', 'の', '二つ', 'が', 'キヤノン', 'に', 'は', 'ある']",['取組'],NO,取組,NO,NO
1,取組,の発音をじっくり聴き取ったり、海外のドラマや映画を懸命に見たりといったさまざまな取組を行うチャンスが現代の日本にはあふれています。本気になればいくらでも,"['の', '発音', 'を', 'じっくり', '聴き', '取っ', 'たり', '、', '海外', 'の', 'ドラマ', 'や', '映画', 'を', '懸命', 'に', '見', 'たり', 'といった', 'さまざま', 'な', '取組', 'を', '行う', 'チャンス', 'が', '現代', 'の', '日本', 'に', 'は', 'あふれ', 'て', 'い', 'ます', '。', '本気', 'に', 'なれ', 'ば', 'いくら', 'で', 'も']",['取組'],NO,取組,NO,NO
2,取組,第１号被保険者の保険料を単独で減免する市町村も一部にみられ，再び，徴収に向けた取組が行われている。被保険者の負担能力を市町村民税で決めたことによる徴収額やサービス利用者負担額に不公平,"['第', '１', '号', '被', '保険', '者', 'の', '保険', '料', 'を', '単独', 'で', '減免', 'する', '市町村', 'も', '一部', 'に', 'み', 'られ', '，', '再び', '，', '徴収', 'に', '向け', 'た', '取組', 'が', '行わ', 'れ', 'て', 'いる', '。', '被', '保険', '者', 'の', '負担', '能力', 'を', '市町', '村民', '税', 'で', '決め', 'た', 'こと', 'による', '徴収', '額', 'や', 'サービス', '利用', '者', '負担', '額', 'に', '不公平']",['取組'],NO,取組,NO,NO
3,取組,とわたしたち―環境との共生をめざして―なぜ取り組んだのかこれまでの取組の中で，先輩から後輩へ「人にやさしい環境」を考えるさまざまな活動が,"['と', 'わたし', 'たち', '―', '環境', 'と', 'の', '共生', 'を', 'めざし', 'て', '―', 'なぜ', '取り組ん', 'だ', 'の', 'か', 'これ', 'まで', 'の', '取組', 'の', '中', 'で', '，', '先輩', 'から', '後輩', 'へ', '「', '人', 'に', 'やさしい', '環境', '」', 'を', '考える', 'さまざま', 'な', '活動', 'が']",['取組'],NO,取組,NO,NO
4,取組,高い取組割合を示しているのではないだろうか。図５‐二十一には、そのような取組を行った集落を地図上に示したものであるが、県の東部地域（周防地域）で,"['高い', '取組', '割合', 'を', '示し', 'て', 'いる', 'の', 'で', 'は', 'ない', 'だろ', 'う', 'か', '。', '図', '５', '‐', '二', '十', '一', 'に', 'は', '、', 'その', 'よう', 'な', '取組', 'を', '行っ', 'た', '集落', 'を', '地図', '上', 'に', '示し', 'た', 'もの', 'で', 'ある', 'が', '、', '県', 'の', '東部', '地域', '（', '周防', '地域', '）', 'で']",['取組'],NO,取組,NO,NO
5,取組,高い取組割合を示しているのではないだろうか。図５‐二十一には、そのような取組を行った集落を地図上に示したものであるが、県の東部地域（周防地域）で,"['高い', '取組', '割合', 'を', '示し', 'て', 'いる', 'の', 'で', 'は', 'ない', 'だろ', 'う', 'か', '。', '図', '５', '‐', '二', '十', '一', 'に', 'は', '、', 'その', 'よう', 'な', '取組', 'を', '行っ', 'た', '集落', 'を', '地図', '上', 'に', '示し', 'た', 'もの', 'で', 'ある', 'が', '、', '県', 'の', '東部', '地域', '（', '周防', '地域', '）', 'で']",['取組'],NO,取組,NO,NO
6,取組,の保育園・公立幼稚園をこども園として統一することなどが挙げられます。そこで、これらの主な取組を今号と３月十五日号で紹介します。地域子育て支援センター・子どもつどいの広場４月から、宮口こども園の開園に,"['の', '保育園', '・', '公立', '幼稚園', 'を', 'こども', '園', 'として', '統一', 'する', 'こと', 'など', 'が', '挙げ', 'られ', 'ます', '。', 'そこで', '、', 'これら', 'の', '主', 'な', '取組', 'を', '今', '号', 'と', '３月', '十', '五', '日', '号', 'で', '紹介', 'し', 'ます', '。', '地域', '子育て', '支援', 'センター', '・', '子ども', 'つどい', 'の', '広場', '４月', 'から', '、', '宮口', 'こども', '園', 'の', '開園', 'に']",['取組'],NO,取組,NO,NO
7,取組,も昨年、この問題については大変貴重な意見として伺っておきたい、これから具体的な取組の中でこの問題を検討するというお約束をいただいたのですけれども、その後の取組,"['も', '昨年', '、', 'この', '問題', 'について', 'は', '大変', '貴重', 'な', '意見', 'として', '伺っ', 'て', 'おき', 'たい', '、', 'これから', '具体', '的', 'な', '取組', 'の', '中', 'で', 'この', '問題', 'を', '検討', 'する', 'という', 'お', '約束', 'を', 'いただい', 'た', 'の', 'です', 'けれども', '、', 'その後', 'の', '取組']",['取組'],NO,取組,NO,NO
8,取組,も昨年、この問題については大変貴重な意見として伺っておきたい、これから具体的な取組の中でこの問題を検討するというお約束をいただいたのですけれども、その後の取組,"['も', '昨年', '、', 'この', '問題', 'について', 'は', '大変', '貴重', 'な', '意見', 'として', '伺っ', 'て', 'おき', 'たい', '、', 'これから', '具体', '的', 'な', '取組', 'の', '中', 'で', 'この', '問題', 'を', '検討', 'する', 'という', 'お', '約束', 'を', 'いただい', 'た', 'の', 'です', 'けれども', '、', 'その後', 'の', '取組']",['取組'],NO,取組,NO,NO
9,取組,また、「あらゆる形態の人種差別の撤廃に関する国際条約」批准など少数民族に関する国連での人権伸長に関する取組に、わが国の政府ももっと積極的に取り組んでいただきたいと願っております。「アイヌ文化,"['また', '、', '「', 'あらゆる', '形態', 'の', '人種', '差別', 'の', '撤廃', 'に関する', '国際', '条約', '」', '批准', 'など', '少数', '民族', 'に関する', '国連', 'で', 'の', '人権', '伸長', 'に関する', '取組', 'に', '、', 'わが国', 'の', '政府', 'も', 'もっと', '積極', '的', 'に', '取り組ん', 'で', 'いただき', 'たい', 'と', '願っ', 'て', 'おり', 'ます', '。', '「', 'アイヌ', '文化']",['取組'],NO,取組,NO,NO
