,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,押売,ｈｉｓ２ｃｅｎｔｓ’ｗｏｒｔｈという表現の原意を生かして「安っぽい」と「押売」という日本語を用いたのはおもしろいが，この直訳風の意訳では，原文と,"['ｈｉｓ', '２', 'ｃｅｎｔｓ', '’', 'ｗｏｒｔｈ', 'と', 'いう', '表現', 'の', '原', '意', 'を', '生かして', '「', '安っぽい', '」', 'と', '「', '押売', '」', 'と', 'いう', '日本', '語', 'を', '用いた', 'の', 'は', 'おもしろい', 'が', '，', 'この', '直訳', '風', 'の', '意訳', 'で', 'は', '，', '原文', 'と']",['押売'],NO,押売,NO,NO
1,押売,言うことを聞いていては暮らしが成り立つまいと、いつもそのジレンマに悩んで押売の前で首をひねるのだが、基本的には、押売は撃退すべきものだと,"['言う', 'こと', 'を', '聞いて', 'いて', 'は', '暮らし', 'が', '成り立つ', 'まい', 'と', '、', 'いつも', 'その', 'ジレンマ', 'に', '悩んで', '押売', 'の', '前', 'で', '首', 'を', 'ひねる', 'のだ', 'が', '、', '基本', '的に', 'は', '、', '押売', 'は', '撃退', 'す', 'べき', 'もの', 'だ', 'と']",['押売'],NO,押売,NO,NO
2,押売,言うことを聞いていては暮らしが成り立つまいと、いつもそのジレンマに悩んで押売の前で首をひねるのだが、基本的には、押売は撃退すべきものだと,"['言う', 'こと', 'を', '聞いて', 'いて', 'は', '暮らし', 'が', '成り立つ', 'まい', 'と', '、', 'いつも', 'その', 'ジレンマ', 'に', '悩んで', '押売', 'の', '前', 'で', '首', 'を', 'ひねる', 'のだ', 'が', '、', '基本', '的に', 'は', '、', '押売', 'は', '撃退', 'す', 'べき', 'もの', 'だ', 'と']",['押売'],NO,押売,NO,NO
3,押売,せるようにしてますからね。自宅にかかってくるのは、間違い電話か、押売ばかり・・ちなみに、誰かに教わらなくても、きちんと話す事は出来ました,"['せる', 'ように', 'して', 'ます', 'から', 'ね', '。', '自宅', 'に', 'かかって', 'くる', 'の', 'は', '、', '間違い', '電話', 'か', '、', '押売', 'ばかり', '・', '・', 'ちなみに', '、', '誰', 'か', 'に', '教わら', 'なくて', 'も', '、', 'きちんと', '話す', '事', 'は', '出来', 'ました']",['押売'],NO,押売,NO,NO
4,押売,その考えも行動もすばやかった。彼らはなんと近所のレストランに飛びこんでアルバイトの押売をし、そのお金で宿をとったのだ。これが大変な騒動になっ,"['その', '考え', 'も', '行動', 'も', 'すばやかった', '。', '彼', 'ら', 'は', 'なんと', '近所', 'の', 'レストラン', 'に', '飛びこ', 'んで', 'アルバイト', 'の', '押売', 'を', 'し', '、', 'その', 'お', '金', 'で', '宿', 'を', 'とった', 'のだ', '。', 'これ', 'が', '大変な', '騒動', 'に', 'なっ']",['押売'],NO,押売,NO,NO
5,押売,売手売主売値売渡価格売渡先絵巻物襟巻沖合置物奥書奥付押売押出機覚書｟博多｠織折返線織元織物卸売買上品買受人買掛金,"['売手', '売主', '売値', '売', '渡', '価格', '売', '渡', '先', '絵巻物', '襟巻', '沖合', '置物', '奥', '書', '奥', '付', '押売', '押出', '機', '覚書', '｟', '博多', '｠', '織', '折', '返', '線', '織', '元', '織物', '卸売', '買上', '品', '買受', '人', '買掛金']",['押売'],NO,押売,NO,NO
6,押売,愛の深さがわかってもらえた、と思うし〉紫の上は、幸福の押売をする源氏に、（わかってないのねえ、男って…）と深い嘆息を,"['愛', 'の', '深', 'さ', 'が', 'わかって', 'もらえた', '、', 'と', '思う', 'し', '〉', '紫', 'の', '上', 'は', '、', '幸福', 'の', '押売', 'を', 'する', '源氏', 'に', '、', '（', 'わかって', 'ない', 'の', 'ねえ', '、', '男', 'って', '…', '）', 'と', '深い', '嘆息', 'を']",['押売'],NO,押売,NO,NO
7,押売,男達からもよく声をかけられる。一度はマンションの近くまでつけられ、またしつこく押売に迫られたこともあるといっていた。そんな男達が、霧子の部屋に押し込み,"['男', '達', 'から', 'も', 'よく', '声', 'を', 'かけ', 'られる', '。', '一', '度', 'は', 'マンション', 'の', '近く', 'まで', 'つけ', 'られ', '、', 'また', 'しつこく', '押売', 'に', '迫ら', 'れた', 'こと', 'も', 'ある', 'と', 'いって', 'いた', '。', 'そんな', '男', '達', 'が', '、', '霧', '子', 'の', '部屋', 'に', '押し', '込み']",['押売'],NO,押売,NO,NO
8,押売,てきた甲斐あって、町民のみなさんからパトロール中に声をかけていただくことや、押売、不審者などの相談が寄せられるようになり、その際には犯罪を未然に,"['てき', 'た', '甲斐', 'あって', '、', '町民', 'の', 'みなさん', 'から', 'パトロール', '中', 'に', '声', 'を', 'かけて', 'いただく', 'こと', 'や', '、', '押売', '、', '不審', '者', 'など', 'の', '相談', 'が', '寄せ', 'られる', 'ように', 'なり', '、', 'その', '際', 'に', 'は', '犯罪', 'を', '未然', 'に']",['押売'],NO,押売,NO,NO
9,押売,ネックレスを身につければ頭がすっきりする。「パワーストーン」と銘打つと、新興宗教とか押売とか非科学的なヒーリングに通じるからでしょうね。私は自分が大病をしたこともあっ,"['ネックレス', 'を', '身', 'に', 'つければ', '頭', 'が', 'すっきり', 'する', '。', '「', 'パワーストーン', '」', 'と', '銘打つ', 'と', '、', '新興', '宗教', 'と', 'か', '押売', 'と', 'か', '非', '科学', '的な', 'ヒーリング', 'に', '通じる', 'から', 'でしょう', 'ね', '。', '私', 'は', '自分', 'が', '大病', 'を', 'した', 'こと', 'も', 'あっ']",['押売'],NO,押売,NO,NO
10,押売,と，男は驚いて立ち上がり，急にそわそわし始め，態度に落ち着きがなくなった。押売の容疑でひとまず駐在所に同行して調べたところ，男は詐欺で指名手配中の者であること,"['と', '，', '男', 'は', '驚いて', '立ち', '上がり', '，', '急に', 'そわそわ', 'し', '始め', '，', '態度', 'に', '落ち着き', 'が', 'なくなった', '。', '押売', 'の', '容疑', 'で', 'ひとまず', '駐在', '所', 'に', '同行', 'して', '調べた', 'ところ', '，', '男', 'は', '詐欺', 'で', '指名', '手配', '中', 'の', '者', 'である', 'こと']",['押売'],NO,押売,NO,NO
11,押売,」というふうに切り込んでくるんだそうです。物を売る人がいるでしょう、押売が。「刑務所から出てきたばかりで生活に困ってるんで、このゴムひもを,"['」', 'と', 'いう', 'ふうに', '切り', '込んで', 'くる', 'んだ', 'そうです', '。', '物', 'を', '売る', '人', 'が', 'いる', 'でしょう', '、', '押売', 'が', '。', '「', '刑務所', 'から', '出て', 'きた', 'ばかりで', '生活', 'に', '困って', 'る', 'んで', '、', 'この', 'ゴム', 'ひも', 'を']",['押売'],NO,押売,NO,NO
12,押売,上手く断ることができる言い方などってあるのでしょうか。悪い人ではないでしょうが、親切の押売は疲れてしまいます。お節介焼きなのですね。本人には分らないのですから困り者です,"['上手く', '断る', 'こと', 'が', 'できる', '言い', '方', 'など', 'って', 'ある', 'のでしょう', 'か', '。', '悪い', '人', 'で', 'は', 'ない', 'でしょう', 'が', '、', '親切', 'の', '押売', 'は', '疲れて', 'しまい', 'ます', '。', 'お節介', '焼き', 'な', 'のです', 'ね', '。', '本人', 'に', 'は', '分ら', 'ない', 'のです', 'から', '困り者', 'です']",['押売'],NO,押売,NO,NO
13,押売,べきですね〜。ちなみに三十代はどれも七千円くらいするものを勧められましたが押売ではなく必要なモノ！と言い切っていました。別の友人はＳＫ２を使っ,"['べきです', 'ね', '〜', '。', 'ちなみに', '三十', '代', 'は', 'どれ', 'も', '七千', '円', 'くらい', 'する', 'もの', 'を', '勧め', 'られ', 'ました', 'が', '押売', 'で', 'は', 'なく', '必要な', 'モノ', '！', 'と', '言い', '切って', 'い', 'ました', '。', '別の', '友人', 'は', 'ＳＫ', '２', 'を', '使っ']",['押売'],NO,押売,NO,NO
14,押売,、さらに三年でも五年でもお好きに引いてけっこうです。役所の「ボケの押売」お断り私の知人が、古稀の祝いをしたので「あなたもやっと私,"['、', 'さらに', '三', '年', 'でも', '五', '年', 'でも', 'お', '好きに', '引いて', 'けっこうです', '。', '役所', 'の', '「', 'ボケ', 'の', '押売', '」', 'お', '断り', '私', 'の', '知人', 'が', '、', '古稀', 'の', '祝い', 'を', 'した', 'ので', '「', 'あなた', 'も', 'やっと', '私']",['押売'],NO,押売,NO,NO
15,押売,この世を去り、藤田家は伝三郎の子、平太郎が継いでいた。「親切の押売」とも言われた元来の性格から、岩下は藤田家の運営について平太郎に苦言,"['この世', 'を', '去り', '、', '藤田', '家', 'は', '伝', '三郎', 'の', '子', '、', '平', '太郎', 'が', '継いで', 'いた', '。', '「', '親切', 'の', '押売', '」', 'と', 'も', '言わ', 'れた', '元来', 'の', '性格', 'から', '、', '岩下', 'は', '藤田', '家', 'の', '運営', 'に', 'ついて', '平', '太郎', 'に', '苦言']",['押売'],NO,押売,NO,NO
