,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,申込,火）までに電話（☎３２‐０８９１）でお申込ください。※託児（無料）あります。申込の際にご予約ください。（託児対象：満１歳〜就学前児）市民活動センター登録団体活動わくわく体験クラブ主催：ＮＰＯ法人おやこ劇場松江センター,"['火', '）', 'まで', 'に', '電話', '（', '☎', '３２', '‐', '０８９１', '）', 'で', 'お', '申込', 'ください', '。', '※', '託児', '（', '無料', '）', 'あり', 'ます', '。', '申込', 'の', '際', 'に', 'ご', '予約', 'ください', '。', '（', '託児', '対象', '：', '満', '１', '歳', '〜', '就学', '前', '児', '）', '市民', '活動', 'センター', '登録', '団体', '活動', 'わくわく', '体験', 'クラブ', '主催', '：', 'ＮＰＯ', '法人', 'おやこ', '劇場', '松江', 'センター']",['申込'],NO,申込,NO,NO
1,申込,火）までに電話（☎３２‐０８９１）でお申込ください。※託児（無料）あります。申込の際にご予約ください。（託児対象：満１歳〜就学前児）市民活動センター登録団体活動わくわく体験クラブ主催：ＮＰＯ法人おやこ劇場松江センター,"['火', '）', 'まで', 'に', '電話', '（', '☎', '３２', '‐', '０８９１', '）', 'で', 'お', '申込', 'ください', '。', '※', '託児', '（', '無料', '）', 'あり', 'ます', '。', '申込', 'の', '際', 'に', 'ご', '予約', 'ください', '。', '（', '託児', '対象', '：', '満', '１', '歳', '〜', '就学', '前', '児', '）', '市民', '活動', 'センター', '登録', '団体', '活動', 'わくわく', '体験', 'クラブ', '主催', '：', 'ＮＰＯ', '法人', 'おやこ', '劇場', '松江', 'センター']",['申込'],NO,申込,NO,NO
2,申込,１月８日午前十時から直接または電話で中央図書館４階メインカウンター（☎七百二十八．八二二〇）へ。※１回の申込で２人まで可子どもセンターばあん【ばあんシアター「胡弓コンサート〜心温まる芳晴の歌とお話,"['１', '月', '８', '日', '午前', '十', '時', 'から', '直接', 'また', 'は', '電話', 'で', '中央', '図書', '館', '４', '階', 'メイン', 'カウンター', '（', '☎', '七百', '二十', '八', '．', '八', '二', '二', '〇', '）', 'へ', '。', '※', '１', '回', 'の', '申込', 'で', '２人', 'まで', '可', '子ども', 'センター', 'ばあん', '【', 'ばあん', 'シアター', '「', '胡弓', 'コンサート', '〜', '心', '温まる', '芳晴', 'の', '歌', 'と', 'お', '話']",['申込'],NO,申込,NO,NO
3,申込,十一月９日（日）、午後１時三十分〜３時対象：どなたでも百五十人（無料）申込：十月十日（金）、午後１時〜、電話で長田生涯学習センターへどうぞ（申込順）大里生涯学習センター,"['十', '一', '月', '９', '日', '（', '日', '）', '、', '午後', '１', '時', '三十', '分', '〜', '３', '時', '対象', '：', 'どなた', 'で', 'も', '百', '五十', '人', '（', '無料', '）', '申込', '：', '十', '月', '十', '日', '（', '金', '）', '、', '午後', '１', '時', '〜', '、', '電話', 'で', '長田', '生涯', '学習', 'センター', 'へ', 'どうぞ', '（', '申込', '順', '）', '大里', '生涯', '学習', 'センター']",['申込'],NO,申込,NO,NO
4,申込,十一月９日（日）、午後１時三十分〜３時対象：どなたでも百五十人（無料）申込：十月十日（金）、午後１時〜、電話で長田生涯学習センターへどうぞ（申込順）大里生涯学習センター,"['十', '一', '月', '９', '日', '（', '日', '）', '、', '午後', '１', '時', '三十', '分', '〜', '３', '時', '対象', '：', 'どなた', 'で', 'も', '百', '五十', '人', '（', '無料', '）', '申込', '：', '十', '月', '十', '日', '（', '金', '）', '、', '午後', '１', '時', '〜', '、', '電話', 'で', '長田', '生涯', '学習', 'センター', 'へ', 'どうぞ', '（', '申込', '順', '）', '大里', '生涯', '学習', 'センター']",['申込'],NO,申込,NO,NO
5,申込,午前十時三十分〜正午（いずれか１日）会場／アルヴェ４階和室定員／各十五組申込／十月二十二日（水）午前９時から子ども未来センター☎（八百八十七）五千三百四十ばっけの会,"['午前', '十', '時', '三十', '分', '〜', '正午', '（', 'いずれ', 'か', '１日', '）', '会場', '／', 'アルヴェ', '４', '階', '和室', '定員', '／', '各', '十', '五', '組', '申込', '／', '十', '月', '二十', '二', '日', '（', '水', '）', '午前', '９', '時', 'から', '子ども', '未来', 'センター', '☎', '（', '八百', '八十', '七', '）', '五千', '三百', '四十', 'ばっけ', 'の', '会']",['申込'],NO,申込,NO,NO
6,申込,先着各十二人。費用受講料千八百円（材料費込み）。持ち物エプロン、三角巾、持ち帰り用容器。申込十月二十三日（木）午前９時から窓口または電話で申込。申込先・詳細星置地区センター,"['先着', '各', '十', '二', '人', '。', '費用', '受講', '料', '千', '八百', '円', '（', '材料', '費', '込み', '）', '。', '持ち物', 'エプロン', '、', '三角', '巾', '、', '持ち帰り', '用', '容器', '。', '申込', '十', '月', '二十', '三', '日', '（', '木', '）', '午前', '９', '時', 'から', '窓口', 'また', 'は', '電話', 'で', '申込', '。', '申込', '先', '・', '詳細', '星置', '地区', 'センター']",['申込'],NO,申込,NO,NO
7,申込,先着各十二人。費用受講料千八百円（材料費込み）。持ち物エプロン、三角巾、持ち帰り用容器。申込十月二十三日（木）午前９時から窓口または電話で申込。申込先・詳細星置地区センター,"['先着', '各', '十', '二', '人', '。', '費用', '受講', '料', '千', '八百', '円', '（', '材料', '費', '込み', '）', '。', '持ち物', 'エプロン', '、', '三角', '巾', '、', '持ち帰り', '用', '容器', '。', '申込', '十', '月', '二十', '三', '日', '（', '木', '）', '午前', '９', '時', 'から', '窓口', 'また', 'は', '電話', 'で', '申込', '。', '申込', '先', '・', '詳細', '星置', '地区', 'センター']",['申込'],NO,申込,NO,NO
8,申込,先着各十二人。費用受講料千八百円（材料費込み）。持ち物エプロン、三角巾、持ち帰り用容器。申込十月二十三日（木）午前９時から窓口または電話で申込。申込先・詳細星置地区センター,"['先着', '各', '十', '二', '人', '。', '費用', '受講', '料', '千', '八百', '円', '（', '材料', '費', '込み', '）', '。', '持ち物', 'エプロン', '、', '三角', '巾', '、', '持ち帰り', '用', '容器', '。', '申込', '十', '月', '二十', '三', '日', '（', '木', '）', '午前', '９', '時', 'から', '窓口', 'また', 'は', '電話', 'で', '申込', '。', '申込', '先', '・', '詳細', '星置', '地区', 'センター']",['申込'],NO,申込,NO,NO
9,申込,２月は、保健師が来ますので育児相談もできます。対象・定員・費用乳幼児とその親三十組・無料申込不要直接公民館へ中央図書館（浦和区東高砂町）ＴＥＬ八百七十一．二一〇〇ＦＡＸ八百八十四．五五〇〇休館日：２月４日（,"['２', '月', 'は', '、', '保健', '師', 'が', '来', 'ます', 'の', 'で', '育児', '相談', 'も', 'でき', 'ます', '。', '対象', '・', '定員', '・', '費用', '乳幼児', 'と', 'その', '親', '三十', '組', '・', '無料', '申込', '不要', '直接', '公民', '館', 'へ', '中央', '図書', '館', '（', '浦和', '区', '東高', '砂町', '）', 'ＴＥＬ', '八百', '七十', '一', '．', '二', '一', '〇', '〇', 'ＦＡＸ', '八百', '八十', '四', '．', '五', '五', '〇', '〇', '休館', '日', '：', '２', '月', '４', '日', '（']",['申込'],NO,申込,NO,NO
