,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,飛込,よいと思います。いい香りがして人が並んでるとまず間違いなくおいしいパン屋さん。飛込で買ってしまいましょう！ただ、時間が経つと全然味が変わってしまいますので早めに,"['よい', 'と', '思い', 'ます', '。', 'いい', '香り', 'が', 'し', 'て', '人', 'が', '並ん', 'でる', 'と', 'まず', '間違い', 'なく', 'おいしい', 'パン', '屋', 'さん', '。', '飛', '込', 'で', '買っ', 'て', 'しまい', 'ましょう', '！', 'ただ', '、', '時間', 'が', '経つ', 'と', '全然', '味', 'が', '変わっ', 'て', 'しまい', 'ます', 'の', 'で', '早め', 'に']","['飛', '込']",YES,飛込,NO,NO
1,飛込,をサービスする資格はないだろう。こういったチェックポイントを押さえれば、知らない店に飛込で入ってみるのも楽しいものだ。２席に着いてからのチェックポイントバー,"['を', 'サービス', 'する', '資格', 'は', 'ない', 'だろう', '。', 'こう', 'いっ', 'た', 'チェックポイント', 'を', '押さえれ', 'ば', '、', '知ら', 'ない', '店', 'に', '飛', '込', 'で', '入っ', 'て', 'みる', 'の', 'も', '楽しい', 'もの', 'だ', '。', '２', '席', 'に', '着い', 'て', 'から', 'の', 'チェックポイント', 'バー']","['飛', '込']",YES,飛込,NO,NO
2,飛込,た相手のお女郎さんが、わたしのためにというので、その川へ飛んでいって飛込のアト追い自殺をしたのよ、それが夜中の十二時。だから夜中の十二時になる,"['た', '相手', 'の', 'お', '女郎', 'さん', 'が', '、', 'わたし', 'の', 'ため', 'に', 'と', 'いう', 'の', 'で', '、', 'その', '川', 'へ', '飛ん', 'で', 'いっ', 'て', '飛', '込', 'の', 'アト追い', '自殺', 'を', 'し', 'た', 'の', 'よ', '、', 'それ', 'が', '夜中', 'の', '十', '二', '時', '。', 'だ', 'から', '夜中', 'の', '十', '二', '時', 'に', 'なる']","['飛', '込']",YES,飛込,NO,NO
3,飛込,つかるのは心臓に悪いといいますが、水泳をしている人、特に潜水や飛込をしている人ましてや海女さんなんかは大丈夫なんでしょうか？お風呂に入る場合、内臓,"['つかる', 'の', 'は', '心臓', 'に', '悪い', 'と', 'いい', 'ます', 'が', '、', '水泳', 'を', 'し', 'て', 'いる', '人', '、', '特に', '潜水', 'や', '飛', '込', 'を', 'し', 'て', 'いる', '人', 'まして', 'や', '海女', 'さん', 'なんか', 'は', '大丈夫', 'な', 'ん', 'でしょう', 'か', '？', 'お', '風呂', 'に', '入る', '場合', '、', '内臓']","['飛', '込']",YES,飛込,NO,NO
4,飛込,からいろいろ予備知識を得てから来られます」「なるほどそうですか。すると、飛込の人は無理だということですよね」「大丈夫です。その場合は、,"['から', 'いろいろ', '予備', '知識', 'を', '得', 'て', 'から', '来', 'られ', 'ます', '」', '「', 'なるほど', 'そう', 'です', 'か', '。', 'する', 'と', '、', '飛', '込', 'の', '人', 'は', '無理', 'だ', 'と', 'いう', 'こと', 'です', 'よ', 'ね', '」', '「', '大丈夫', 'です', '。', 'その', '場合', 'は', '、']","['飛', '込']",YES,飛込,NO,NO
5,飛込,た青春映画としては、奇を衒わずに、正攻法に作ってきたと思います。飛込というスポーツを軸にした競い合いと友情、そこに親子関係やちょっとした恋愛要素も落とさ,"['た', '青春', '映画', 'と', 'し', 'て', 'は', '、', '奇', 'を', '衒わ', 'ず', 'に', '、', '正攻', '法', 'に', '作っ', 'て', 'き', 'た', 'と', '思い', 'ます', '。', '飛', '込', 'と', 'いう', 'スポーツ', 'を', '軸', 'に', 'し', 'た', '競い合い', 'と', '友情', '、', 'そこ', 'に', '親子', '関係', 'や', 'ちょっと', 'し', 'た', '恋愛', '要素', 'も', '落とさ']","['飛', '込']",YES,飛込,NO,NO
6,飛込,「お前こそ、ニュースとか見てるのか」「見てない。でも飛込であんたと会えるってことはそうだろ」「まあな」「どんな芝居だっ,"['「', 'お前', 'こそ', '、', 'ニュース', 'と', 'か', '見', 'てる', 'の', 'か', '」', '「', '見', 'て', 'ない', '。', 'で', 'も', '飛', '込', 'で', 'あんた', 'と', '会える', 'って', 'こと', 'は', 'そう', 'だろ', '」', '「', 'まあ', 'な', '」', '「', 'どんな', '芝居', 'だっ']","['飛', '込']",YES,飛込,NO,NO
7,飛込,林家小染（四代目）昭和五十九年一月三十一日死去・享年三十六（同年、一月二十九日未明、酔ってトラックに飛込）桂さん福平成三年九月二十一日死去・享年三十三（同年、アフリカへ旅行中ジープに跳ねられ一旦回復。,"['林家', '小', '染', '（', '四', '代', '目', '）', '昭和', '五十', '九', '年', '一', '月', '三十', '一', '日', '死去', '・', '享年', '三十', '六', '（', '同年', '、', '一', '月', '二十', '九', '日', '未明', '、', '酔っ', 'て', 'トラック', 'に', '飛', '込', '）', '桂', 'さん', '福', '平成', '三', '年', '九', '月', '二十', '一', '日', '死去', '・', '享年', '三十', '三', '（', '同年', '、', 'アフリカ', 'へ', '旅行', '中', 'ジープ', 'に', '跳ね', 'られ', '一旦', '回復', '。']","['飛', '込']",YES,飛込,NO,NO
8,飛込,。この補助の鎌まで躱そうとすれば、それだけ大きく動かなければならない。その分、飛込が遅れる。前進するどころか、武蔵は胤舜の連続突きを左右の木刀でひたすら払う,"['。', 'この', '補助', 'の', '鎌', 'まで', '躱そう', 'と', 'すれ', 'ば', '、', 'それ', 'だけ', '大きく', '動か', 'なけれ', 'ば', 'なら', 'ない', '。', 'その', '分', '、', '飛', '込', 'が', '遅れる', '。', '前進', 'する', 'どころ', 'か', '、', '武蔵', 'は', '胤舜', 'の', '連続', '突き', 'を', '左右', 'の', '木刀', 'で', 'ひたすら', '払う']","['飛', '込']",YES,飛込,NO,NO
9,飛込,澄んだ吉田川は、夏は恰好の水泳場。高さ十二ｍの新橋で行なわれる度胸試しの飛込は、見るだけでも爽快だ。→ＪＲ東海道本線岐阜駅から、高速バスで約１時間十五分『城下町プラザ』,"['澄ん', 'だ', '吉田', '川', 'は', '、', '夏', 'は', '恰好', 'の', '水泳', '場', '。', '高', 'さ', '十', '二', 'ｍ', 'の', '新橋', 'で', '行なわ', 'れる', '度胸', '試し', 'の', '飛', '込', 'は', '、', '見る', 'だけ', 'で', 'も', '爽快', 'だ', '。', '→', 'ＪＲ', '東海道', '本線', '岐阜', '駅', 'から', '、', '高速', 'バス', 'で', '約', '１', '時間', '十', '五', '分', '『', '城下', '町', 'プラザ', '』']","['飛', '込']",YES,飛込,NO,NO
10,飛込,は８人中、北尾佳奈子（井村シンクロク）を除く７人が、前回銀メダルのメンバーとなった。飛込は前回の男子３メートル板飛込で銅メダルを獲得した寺内健（ＪＳＳ宝塚）ら５人で、全員が,"['は', '８', '人', '中', '、', '北尾', '佳奈子', '（', '井村', 'シンク', 'ロク', '）', 'を', '除く', '７', '人', 'が', '、', '前回', '銀', 'メダル', 'の', 'メンバー', 'と', 'なっ', 'た', '。', '飛', '込', 'は', '前回', 'の', '男子', '３', 'メートル', '板', '飛', '込', 'で', '銅', 'メダル', 'を', '獲得', 'し', 'た', '寺内', '健', '（', 'ＪＳＳ', '宝塚', '）', 'ら', '５', '人', 'で', '、', '全員', 'が']","['飛', '込']",YES,飛込,NO,NO
11,飛込,は８人中、北尾佳奈子（井村シンクロク）を除く７人が、前回銀メダルのメンバーとなった。飛込は前回の男子３メートル板飛込で銅メダルを獲得した寺内健（ＪＳＳ宝塚）ら５人で、全員が,"['は', '８', '人', '中', '、', '北尾', '佳奈子', '（', '井村', 'シンク', 'ロク', '）', 'を', '除く', '７', '人', 'が', '、', '前回', '銀', 'メダル', 'の', 'メンバー', 'と', 'なっ', 'た', '。', '飛', '込', 'は', '前回', 'の', '男子', '３', 'メートル', '板', '飛', '込', 'で', '銅', 'メダル', 'を', '獲得', 'し', 'た', '寺内', '健', '（', 'ＪＳＳ', '宝塚', '）', 'ら', '５', '人', 'で', '、', '全員', 'が']","['飛', '込']",YES,飛込,NO,NO
12,飛込,にちがったりとか・・難度ではありません。難易率と言って、飛込の技によって決まっています。大会ごとに違うという事はありません。選手は前,"['に', 'ちがっ', 'たり', 'と', 'か', '・', '・', '難度', 'で', 'は', 'あり', 'ませ', 'ん', '。', '難易', '率', 'と', '言っ', 'て', '、', '飛', '込', 'の', '技', 'に', 'よっ', 'て', '決まっ', 'て', 'い', 'ます', '。', '大会', 'ごと', 'に', '違う', 'と', 'いう', '事', 'は', 'あり', 'ませ', 'ん', '。', '選手', 'は', '前']","['飛', '込']",YES,飛込,NO,NO
13,飛込,。→飛び道具系の技がきたら…←ダブルラリアットでかわせるコンビネーション基本技からスクリューを狙え飛込からのスクリュー（１）↑飛込攻撃から、着地するまでの間にコマンドを入力し、スクリュー,"['。', '→', '飛び', '道具', '系', 'の', '技', 'が', 'き', 'たら', '…', '←', 'ダブル', 'ラリアット', 'で', 'かわせる', 'コンビネーション', '基本', '技', 'から', 'スクリュー', 'を', '狙え', '飛', '込', 'から', 'の', 'スクリュー', '（', '１', '）', '↑', '飛', '込', '攻撃', 'から', '、', '着地', 'する', 'まで', 'の', '間', 'に', 'コマンド', 'を', '入力', 'し', '、', 'スクリュー']","['飛', '込']",YES,飛込,NO,NO
14,飛込,。→飛び道具系の技がきたら…←ダブルラリアットでかわせるコンビネーション基本技からスクリューを狙え飛込からのスクリュー（１）↑飛込攻撃から、着地するまでの間にコマンドを入力し、スクリュー,"['。', '→', '飛び', '道具', '系', 'の', '技', 'が', 'き', 'たら', '…', '←', 'ダブル', 'ラリアット', 'で', 'かわせる', 'コンビネーション', '基本', '技', 'から', 'スクリュー', 'を', '狙え', '飛', '込', 'から', 'の', 'スクリュー', '（', '１', '）', '↑', '飛', '込', '攻撃', 'から', '、', '着地', 'する', 'まで', 'の', '間', 'に', 'コマンド', 'を', '入力', 'し', '、', 'スクリュー']","['飛', '込']",YES,飛込,NO,NO
15,飛込,貸衣装は、美容院に紹介してもらってはダメ！美容院のリベートって、すごいんですよ！飛込で、その貸衣装屋にいくと３点三十万の衣装も、美容院を通すと五十万になり,"['貸', '衣装', 'は', '、', '美容', '院', 'に', '紹介', 'し', 'て', 'もらっ', 'て', 'は', 'ダメ', '！', '美容', '院', 'の', 'リベート', 'って', '、', 'すごい', 'ん', 'です', 'よ', '！', '飛', '込', 'で', '、', 'その', '貸', '衣装', '屋', 'に', 'いく', 'と', '３', '点', '三十', '万', 'の', '衣装', 'も', '、', '美容', '院', 'を', '通す', 'と', '五十', '万', 'に', 'なり']","['飛', '込']",YES,飛込,NO,NO
16,飛込,は、パソコンの調子がおかしかったので、書けなかった…昨日の練習の後半は飛込の練習。飛込よりも、リレーの引き継ぎをたくさんやってきたよ。普通に,"['は', '、', 'パソコン', 'の', '調子', 'が', 'おかしかっ', 'た', 'の', 'で', '、', '書け', 'なかっ', 'た', '…', '昨日', 'の', '練習', 'の', '後半', 'は', '飛', '込', 'の', '練習', '。', '飛', '込', 'より', 'も', '、', 'リレー', 'の', '引き継ぎ', 'を', 'たくさん', 'やっ', 'て', 'き', 'た', 'よ', '。', '普通', 'に']","['飛', '込']",YES,飛込,NO,NO
