,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,振り込む,、振り込め期限が・・・あれもこれもと・・・今回は頼まれて振り込めに行っただけで、そのほかはノータッチ。今回のことは、娘が友だちと,"['、', '振り込め', '期限', 'が', '・', '・', '・', 'あれ', 'も', 'これ', 'もと', '・', '・', '・', '今回', 'は', '頼ま', 'れて', '振り込め', 'に', '行った', 'だけ', 'で', '、', 'そのほか', 'は', 'ノータッチ', '。', '今回', 'の', 'こと', 'は', '、', '娘', 'が', '友だち', 'と']",['振り込め'],NO,振り込め,NO,NO
1,振り込む,、振り込め期限が・・・あれもこれもと・・・今回は頼まれて振り込めに行っただけで、そのほかはノータッチ。今回のことは、娘が友だちと,"['、', '振り込め', '期限', 'が', '・', '・', '・', 'あれ', 'も', 'これ', 'もと', '・', '・', '・', '今回', 'は', '頼ま', 'れて', '振り込め', 'に', '行った', 'だけ', 'で', '、', 'そのほか', 'は', 'ノータッチ', '。', '今回', 'の', 'こと', 'は', '、', '娘', 'が', '友だち', 'と']",['振り込め'],NO,振り込め,NO,NO
2,振り込む,ため、振込み操作を中止すると思います。ネットバンキングの場合：振り込まれず、名義違いで振り込んだ人の口座に戻ります。手数料が２回分発生してしまいます。こちらから,"['ため', '、', '振込み', '操作', 'を', '中止', 'する', 'と', '思い', 'ます', '。', 'ネットバンキング', 'の', '場合', '：', '振り込ま', 'れ', 'ず', '、', '名義', '違い', 'で', '振り込んだ', '人', 'の', '口座', 'に', '戻り', 'ます', '。', '手数', '料', 'が', '２', '回', '分', '発生', 'して', 'しまい', 'ます', '。', 'こちら', 'から']",['振り込ま'],NO,振り込ま,NO,NO
3,振り込む,ため、振込み操作を中止すると思います。ネットバンキングの場合：振り込まれず、名義違いで振り込んだ人の口座に戻ります。手数料が２回分発生してしまいます。こちらから,"['ため', '、', '振込み', '操作', 'を', '中止', 'する', 'と', '思い', 'ます', '。', 'ネットバンキング', 'の', '場合', '：', '振り込ま', 'れ', 'ず', '、', '名義', '違い', 'で', '振り込んだ', '人', 'の', '口座', 'に', '戻り', 'ます', '。', '手数', '料', 'が', '２', '回', '分', '発生', 'して', 'しまい', 'ます', '。', 'こちら', 'から']",['振り込んだ'],NO,振り込ん,NO,YES
4,振り込む,てそこのブラジル大使館で日系人のおばちゃんと知り合った。ここの大使館は手数料を銀行に振り込まなければならない為、一緒に銀行に行って通訳してもらった。いろいろと話をしていると,"['て', 'そこ', 'の', 'ブラジル', '大使', '館', 'で', '日', '系', '人', 'の', 'おばちゃん', 'と', '知り合った', '。', 'ここ', 'の', '大使', '館', 'は', '手数', '料', 'を', '銀行', 'に', '振り込ま', 'なければ', 'なら', 'ない', '為', '、', '一緒に', '銀行', 'に', '行って', '通訳', 'して', 'もらった', '。', 'いろいろ', 'と', '話', 'を', 'して', 'いる', 'と']",['振り込ま'],NO,振り込ま,NO,NO
5,振り込む,ドルを持ってても問題ないわ。どこの銀行からでも外国にドルを振り込むことが出来る」エフィーは、目をくるくる廻し、いたずらっぽく言った。「もし、その,"['ドル', 'を', '持って', 'て', 'も', '問題', 'ない', 'わ', '。', 'どこ', 'の', '銀行', 'から', 'でも', '外国', 'に', 'ドル', 'を', '振り込む', 'こと', 'が', '出来る', '」', 'エフィー', 'は', '、', '目', 'を', 'くるくる', '廻し', '、', 'いたずら', 'っぽく', '言った', '。', '「', 'もし', '、', 'その']",['振り込む'],NO,振り込む,NO,NO
6,振り込む,場合、皆様どのくらいなら待てますか？「明日振込みます」と言って１週間後に振り込まれた事があります。評価の良い人なら１週間くらい待つけど、悪い評価が多い人,"['場合', '、', '皆様', 'どの', 'くらい', 'なら', '待て', 'ます', 'か', '？', '「', '明日', '振込み', 'ます', '」', 'と', '言って', '１', '週間', '後', 'に', '振り込ま', 'れた', '事', 'が', 'あり', 'ます', '。', '評価', 'の', '良い', '人', 'なら', '１', '週間', 'くらい', '待つ', 'けど', '、', '悪い', '評価', 'が', '多い', '人']",['振り込ま'],NO,振り込ま,NO,NO
7,振り込む,ですが、手数料はかかりますか？今日落札したのですが、他銀行に新生銀行から振り込みますが、落札額と送料のみしかかからないのですか？教えてください。私も先日作っ,"['ですが', '、', '手数', '料', 'は', 'かかり', 'ます', 'か', '？', '今日', '落札', 'した', 'のです', 'が', '、', '他', '銀行', 'に', '新生', '銀行', 'から', '振り込み', 'ます', 'が', '、', '落札', '額', 'と', '送料', 'のみ', 'しか', 'かから', 'ない', 'のです', 'か', '？', '教えて', 'ください', '。', '私', 'も', '先日', '作っ']",['振り込み'],NO,振り込み,NO,NO
8,振り込む,時給は六百八十円です。）普通、給料日が土日だったら金曜日か翌週の月曜には振り込みますよね？「口座振り込みする」といわれ、郵便局の通帳のコピーを渡してあるんです,"['時給', 'は', '六百八十', '円', 'です', '。', '）', '普通', '、', '給料', '日', 'が', '土', '日', 'だったら', '金曜日', 'か', '翌週', 'の', '月曜', 'に', 'は', '振り込み', 'ます', 'よ', 'ね', '？', '「', '口座', '振り込み', 'する', '」', 'と', 'いわ', 'れ', '、', '郵便', '局', 'の', '通帳', 'の', 'コピー', 'を', '渡して', 'ある', 'んです']",['振り込み'],NO,振り込み,NO,NO
9,振り込む,時給は六百八十円です。）普通、給料日が土日だったら金曜日か翌週の月曜には振り込みますよね？「口座振り込みする」といわれ、郵便局の通帳のコピーを渡してあるんです,"['時給', 'は', '六百八十', '円', 'です', '。', '）', '普通', '、', '給料', '日', 'が', '土', '日', 'だったら', '金曜日', 'か', '翌週', 'の', '月曜', 'に', 'は', '振り込み', 'ます', 'よ', 'ね', '？', '「', '口座', '振り込み', 'する', '」', 'と', 'いわ', 'れ', '、', '郵便', '局', 'の', '通帳', 'の', 'コピー', 'を', '渡して', 'ある', 'んです']",['振り込み'],NO,振り込み,NO,NO
