,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,書込む,六万四千四百九十一番地には特定の内容のパターン（１と０の並び）がひとまとめにして書込まれていて、指令として解釈されたときには、コンピューターの小さなスピーカーからピッピッという,"['六', '万', '四', '千', '四', '百', '九', '十', '一', '番地', 'に', 'は', '特定', 'の', '内容', 'の', 'パターン', '（', '１', 'と', '０', 'の', '並び', '）', 'が', 'ひとまとめ', 'に', 'し', 'て', '書', '込ま', 'れ', 'て', 'い', 'て', '、', '指令', 'として', '解釈', 'さ', 'れ', 'た', 'とき', 'に', 'は', '、', 'コンピューター', 'の', '小さな', 'スピーカー', 'から', 'ピッ', 'ピッ', 'と', 'いう']","['書', '込ま']",YES,書込ま,NO,NO
1,書込む,？スミマセン。知恵袋歴浅いので・・・・簡単に言うと、いろんな事を書込んだり、読んだり、なんやかんやするでっかいサイト,"['？', 'スミマセン', '。', '知恵袋', '歴', '浅い', 'ので', '・', '・', '・', '・', '簡単', 'に', '言う', 'と', '、', 'いろんな', '事', 'を', '書', '込ん', 'だり', '、', '読ん', 'だり', '、', 'なん', 'やかん', 'や', 'する', 'でっかい', 'サイト']","['書', '込ん']",YES,書込ん,NO,NO
2,書込む,自民党は、いつまで公明党と手を組むのでしょうと、書込んだんですが、天罰というような表現は、誤解を受けたので反省しています,"['自民党', 'は', '、', 'いつ', 'まで', '公明党', 'と', '手', 'を', '組む', 'の', 'でしょ', 'う', 'と', '、', '書', '込ん', 'だ', 'ん', 'です', 'が', '、', '天罰', 'という', 'よう', 'な', '表現', 'は', '、', '誤解', 'を', '受け', 'た', 'ので', '反省', 'し', 'て', 'い', 'ます']","['書', '込ん']",YES,書込ん,NO,NO
3,書込む,Ｈ二十．７．二十日経記事耕作放棄地を実態調査から書込むと。食糧問題、、石油の価額大幅値上がり,"['Ｈ', '二', '十', '．', '７', '．', '二', '十', '日', '経', '記事', '耕作', '放棄', '地', 'を', '実態', '調査', 'から', '書', '込む', 'と', '。', '食糧', '問題', '、', '、', '石油', 'の', '価額', '大幅', '値上がり']","['書', '込む']",YES,書込む,NO,NO
4,書込む,の目標設定事業部レベルの戦略マップを書くとき、庶務担当者の業務に直接関係するような戦略目標は書込まれないことが多い。その場合は、庶務担当者との面談（目標管理制度における目標設定面談など）,"['の', '目標', '設定', '事業', '部', 'レベル', 'の', '戦略', 'マップ', 'を', '書く', 'とき', '、', '庶務', '担当', '者', 'の', '業務', 'に', '直接', '関係', 'する', 'よう', 'な', '戦略', '目標', 'は', '書', '込ま', 'れ', 'ない', 'こと', 'が', '多い', '。', 'その', '場合', 'は', '、', '庶務', '担当', '者', 'と', 'の', '面談', '（', '目標', '管理', '制度', 'における', '目標', '設定', '面談', 'など', '）']","['書', '込ま']",YES,書込ま,NO,NO
5,書込む,行われ、更にこういう風潮が広がっているようにも思える。国旗に文字等を書込むことは、国旗の尊厳を損なうものであり、厳に慎まなければならないことである。国旗は,"['行わ', 'れ', '、', '更に', 'こういう', '風潮', 'が', '広がっ', 'て', 'いる', 'よう', 'に', 'も', '思える', '。', '国旗', 'に', '文字', '等', 'を', '書', '込む', 'こと', 'は', '、', '国旗', 'の', '尊厳', 'を', '損なう', 'もの', 'で', 'あり', '、', '厳に', '慎ま', 'なけれ', 'ば', 'なら', 'ない', 'こと', 'で', 'ある', '。', '国旗', 'は']","['書', '込む']",YES,書込む,NO,NO
6,書込む,種族の者かさえ判らぬ狂者たち。全身に得体の知れない印を滅多やたらと書込んだ姿で、錆びた楽器を搔き鳴らし、刃の欠けた枯剣を振り上げ、手に,"['種族', 'の', '者', 'か', 'さえ', '判ら', 'ぬ', '狂者', 'たち', '。', '全身', 'に', '得体', 'の', '知れ', 'ない', '印', 'を', '滅多', 'やたら', 'と', '書', '込ん', 'だ', '姿', 'で', '、', '錆び', 'た', '楽器', 'を', '搔', 'き', '鳴らし', '、', '刃', 'の', '欠け', 'た', '枯剣', 'を', '振り上げ', '、', '手', 'に']","['書', '込ん']",YES,書込ん,NO,NO
7,書込む,見えますね。これと同じでコブも意外に縦長なのです。これに滑走ラインを書込んでみましょう。一般的に減速して滑るときは、スキー板の振りの大きな図２右のライン,"['見え', 'ます', 'ね', '。', 'これ', 'と', '同じ', 'で', 'コブ', 'も', '意外', 'に', '縦長', 'な', 'の', 'です', '。', 'これ', 'に', '滑走', 'ライン', 'を', '書', '込ん', 'で', 'み', 'ましょ', 'う', '。', '一般', '的', 'に', '減速', 'し', 'て', '滑る', 'とき', 'は', '、', 'スキー', '板', 'の', '振り', 'の', '大きな', '図', '２', '右', 'の', 'ライン']","['書', '込ん']",YES,書込ん,NO,NO
8,書込む,ん。わかりません。とりあえずＤＶＤ−Ｒに書込み、ＰＣのビデオ再生で観れます。ＩＳＯファイルで書込みました。ファナライズ・・・ってどうやってやるんですか・・・違法行為といわれてしまうと・,"['ん', '。', 'わかり', 'ませ', 'ん', '。', 'とりあえず', 'ＤＶＤ', '−', 'Ｒ', 'に', '書込み', '、', 'ＰＣ', 'の', 'ビデオ', '再生', 'で', '観', 'れ', 'ます', '。', 'ＩＳＯ', 'ファイル', 'で', '書込み', 'まし', 'た', '。', 'ファナライズ・・・', 'って', 'どう', 'やっ', 'て', 'やる', 'ん', 'です', 'か', '・', '・', '・', '違法', '行為', 'と', 'いわ', 'れ', 'て', 'しまう', 'と', '・']",['書込み'],NO,書込み,NO,NO
9,書込む,ん。わかりません。とりあえずＤＶＤ−Ｒに書込み、ＰＣのビデオ再生で観れます。ＩＳＯファイルで書込みました。ファナライズ・・・ってどうやってやるんですか・・・違法行為といわれてしまうと・,"['ん', '。', 'わかり', 'ませ', 'ん', '。', 'とりあえず', 'ＤＶＤ', '−', 'Ｒ', 'に', '書込み', '、', 'ＰＣ', 'の', 'ビデオ', '再生', 'で', '観', 'れ', 'ます', '。', 'ＩＳＯ', 'ファイル', 'で', '書込み', 'まし', 'た', '。', 'ファナライズ・・・', 'って', 'どう', 'やっ', 'て', 'やる', 'ん', 'です', 'か', '・', '・', '・', '違法', '行為', 'と', 'いわ', 'れ', 'て', 'しまう', 'と', '・']",['書込み'],NO,書込み,NO,NO
