,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,差出す,みて、翌千七百八十一年にはバージニア州も同様の決定をくだした。ただ連邦に土地を差出すにあたって、バージニアは次のような条件をつけた。（１）将来西部,"['みて', '、', '翌', '千七百八十一', '年', 'に', 'は', 'バージニア', '州', 'も', '同様の', '決定', 'を', 'くだした', '。', 'ただ', '連邦', 'に', '土地', 'を', '差出す', 'に', 'あたって', '、', 'バージニア', 'は', '次', 'の', 'ような', '条件', 'を', 'つけた', '。', '（', '１', '）', '将来', '西部']",['差出す'],NO,差出す,NO,NO
1,差出す,前に、わしの連れが挨拶したいそうですわ」松村に私は名刺を差出した。「大阪府警捜査一課…どうも剣吞ですな」「吉永はんは例の,"['前', 'に', '、', 'わし', 'の', '連れ', 'が', '挨拶', 'し', 'たい', 'そうです', 'わ', '」', '松村', 'に', '私', 'は', '名刺', 'を', '差出した', '。', '「', '大阪', '府警', '捜査', '一', '課', '…', 'どうも', '剣', '吞', 'です', 'な', '」', '「', '吉永', 'はん', 'は', '例の']",['差出した'],NO,差出し,NO,YES
2,差出す,たので、要領の悪い給仕のように突っ立ったまま、ティッシュの箱を取って差出した。コンスエロは立ちあがって、ふたたび椅子にすわった。息づかいは荒く、瞳は濡れ,"['た', 'ので', '、', '要領', 'の', '悪い', '給仕', 'の', 'ように', '突っ立った', 'まま', '、', 'ティッシュ', 'の', '箱', 'を', '取って', '差出した', '。', 'コンスエロ', 'は', '立ち', 'あがって', '、', 'ふたたび', '椅子', 'に', 'すわった', '。', '息づかい', 'は', '荒く', '、', '瞳', 'は', '濡れ']",['差出した'],NO,差出し,NO,YES
3,差出す,ライステラスが描かれている。「ご覧になりますか？」富岡さんはスケッチブックを差出してくれた。「よろしいんですか？」わたしはありがたく拝見することにした。一ページ目,"['ライステラス', 'が', '描か', 'れて', 'いる', '。', '「', 'ご覧', 'に', 'なり', 'ます', 'か', '？', '」', '富岡', 'さん', 'は', 'スケッチ', 'ブック', 'を', '差出して', 'くれた', '。', '「', 'よろしい', 'んです', 'か', '？', '」', 'わたし', 'は', 'ありがたく', '拝見', 'する', 'こと', 'に', 'した', '。', '一', 'ページ', '目']",['差出して'],NO,差出し,NO,YES
4,差出す,れる人が地域にいても，近隣の誰もが簡単に援助の手を差出すことがむずかしくなってきた。また，職住の分離などで自分の住んでいる地域へ,"['れる', '人', 'が', '地域', 'に', 'いて', 'も', '，', '近隣', 'の', '誰', 'も', 'が', '簡単に', '援助', 'の', '手', 'を', '差出す', 'こと', 'が', 'むずかしく', 'なって', 'きた', '。', 'また', '，', '職', '住', 'の', '分離', 'など', 'で', '自分', 'の', '住んで', 'いる', '地域', 'へ']",['差出す'],NO,差出す,NO,NO
5,差出す,組んで、何かを隠し持っているらしい。「えへへ」と笑うと、メロンパンを差出した。「みんなで一緒に食べようよ」「そ、そうですね」,"['組んで', '、', '何', 'か', 'を', '隠し持って', 'いる', 'らしい', '。', '「', 'え', 'へ', 'へ', '」', 'と', '笑う', 'と', '、', 'メロンパン', 'を', '差出した', '。', '「', 'みんな', 'で', '一緒に', '食べよう', 'よ', '」', '「', 'そ', '、', 'そう', 'です', 'ね', '」']",['差出した'],NO,差出し,NO,YES
6,差出す,わけか、急に丁寧な口調になって、右京之介は一本の筆と徳利を差出してきた。その中に入ったドロリとしたものを見て、弥太は首,"['わけ', 'か', '、', '急に', '丁寧な', '口調', 'に', 'なって', '、', '右京', '之介', 'は', '一', '本', 'の', '筆', 'と', '徳利', 'を', '差出して', 'きた', '。', 'その', '中', 'に', '入った', 'ドロリ', 'と', 'した', 'もの', 'を', '見て', '、', '弥', '太', 'は', '首']",['差出して'],NO,差出し,NO,YES
7,差出す,太刀を」信長は床几からずかりと腰をあげて、前髪立の小姓の差出す愛刀を握った。小姓に思いつめた表情がある。森蘭丸という。森可成,"['太刀', 'を', '」', '信', '長', 'は', '床几', 'から', 'ず', 'かり', 'と', '腰', 'を', 'あげて', '、', '前髪', '立の', '小', '姓', 'の', '差出す', '愛', '刀', 'を', '握った', '。', '小', '姓', 'に', '思い', 'つめた', '表情', 'が', 'ある', '。', '森', '蘭', '丸', 'と', 'いう', '。', '森', '可', '成']",['差出す'],NO,差出す,NO,NO
8,差出す,てきた。「よかったら、どうぞ」彼は私にサンドイッチの包みを差出した。よく見ると、彼の手にはもうひとつの包みがあった。,"['てき', 'た', '。', '「', 'よかったら', '、', 'どうぞ', '」', '彼', 'は', '私', 'に', 'サンドイッチ', 'の', '包み', 'を', '差出した', '。', 'よく', '見る', 'と', '、', '彼', 'の', '手', 'に', 'は', 'もう', 'ひと', 'つ', 'の', '包み', 'が', 'あった', '。']",['差出した'],NO,差出し,NO,YES
9,差出す,、お使いだよ。さあ、これ手紙」といって、白いふうとうを、たけしくんに差出しました。たけしくんが、それを受け取ると、へんな子どもは、くるっと後ろを,"['、', 'お', '使い', 'だ', 'よ', '。', 'さあ', '、', 'これ', '手紙', '」', 'と', 'いって', '、', '白い', 'ふうとう', 'を', '、', 'たけし', 'くん', 'に', '差出し', 'ました', '。', 'たけし', 'くん', 'が', '、', 'それ', 'を', '受け取る', 'と', '、', 'へんな', '子ども', 'は', '、', 'くる', 'っと', '後ろ', 'を']",['差出し'],NO,差出し,NO,NO
